cluster_id,C_albicans,C_glabrata,K_lactis,S_cerevisiae,unknown,species_count
Cluster1,0,0,0,1,0,1
Cluster10,0,0,0,1,0,1
Cluster100,1,1,1,1,0,4
Cluster1000,0,0,0,1,0,1
Cluster1001,0,1,0,0,0,1
Cluster1002,0,0,0,0,1,1
Cluster1003,0,0,0,0,1,1
Cluster1004,0,0,0,0,1,1
Cluster1005,1,0,0,0,0,1
Cluster1006,1,1,1,1,0,4
Cluster1007,1,1,1,1,0,4
Cluster1008,0,0,0,0,1,1
Cluster1009,0,0,0,0,1,1
Cluster101,1,0,1,1,0,3
Cluster1010,1,1,1,1,0,4
Cluster1011,1,1,1,1,0,4
Cluster1012,1,1,1,1,0,4
Cluster1013,1,1,1,1,0,4
Cluster1014,0,1,0,0,0,1
Cluster1015,0,1,0,0,0,1
Cluster1016,0,0,0,1,0,1
Cluster1017,1,0,0,0,0,1
Cluster1018,0,0,0,1,0,1
Cluster1019,0,0,0,1,0,1
Cluster102,1,1,0,1,0,3
Cluster1020,0,1,0,0,0,1
Cluster1021,0,1,0,1,0,2
Cluster1022,0,1,0,1,0,2
Cluster1023,0,1,0,1,0,2
Cluster1024,1,1,1,1,0,4
Cluster1025,1,1,1,1,0,4
Cluster1026,1,1,1,1,0,4
Cluster1027,1,1,1,1,0,4
Cluster1028,1,1,1,1,0,4
Cluster1029,1,1,1,1,0,4
Cluster103,2,0,1,0,0,2
Cluster1030,1,1,1,2,0,4
Cluster1031,1,1,1,1,0,4
Cluster1032,1,1,1,1,0,4
Cluster1033,1,1,1,1,0,4
Cluster1034,0,0,1,0,0,1
Cluster1035,1,0,0,0,0,1
Cluster1036,0,1,1,1,0,3
Cluster1037,1,0,0,0,0,1
Cluster1038,0,0,0,1,0,1
Cluster1039,1,0,0,0,0,1
Cluster104,1,0,0,0,0,1
Cluster1040,0,0,0,1,0,1
Cluster1041,0,0,0,1,0,1
Cluster1042,1,0,0,0,0,1
Cluster1043,1,0,0,0,0,1
Cluster1044,0,0,0,1,0,1
