species1,gene1,species2,gene2,cluster_id
S. cerevisiae,gene-YGR132C,C. albicans,orf19.357,Cluster100
C. albicans,orf19.1744,S. cerevisiae,gene-YOR278W,Cluster1006
C. albicans,orf19.5395,S. cerevisiae,gene-YJR033C,Cluster1007
S. cerevisiae,gene-YHR076W,C. albicans,orf19.5661,Cluster101
S. cerevisiae,gene-YDR268W,C. albicans,orf19.4299,Cluster1010
C. albicans,orf19.5927,S. cerevisiae,gene-YOL040C,Cluster1011
S. cerevisiae,gene-YJL122W,C. albicans,orf19.7107,Cluster1012
S. cerevisiae,gene-YOR249C,C. albicans,orf19.6861,Cluster1013
C. albicans,orf19.3838,S. cerevisiae,gene-YAL003W,Cluster102
C. albicans,orf19.3831,S. cerevisiae,gene-YGR280C,Cluster1024
S. cerevisiae,gene-YDR236C,C. albicans,orf19.4373,Cluster1025
C. albicans,orf19.2707.1,S. cerevisiae,gene-YGR183C,Cluster1026
S. cerevisiae,gene-YBR153W,C. albicans,orf19.6341,Cluster1027
S. cerevisiae,gene-YIL098C,C. albicans,orf19.4825,Cluster1028
C. albicans,orf19.4718,S. cerevisiae,gene-YGL026C,Cluster1029
C. albicans,orf19.2435,S. cerevisiae,gene-YBR169C,Cluster1030
C. albicans,orf19.2435,S. cerevisiae,gene-YPL106C,Cluster1030
S. cerevisiae,gene-YDR221W,C. albicans,orf19.3286,Cluster1031
C. albicans,orf19.6061,S. cerevisiae,gene-YPL103C,Cluster1032
C. albicans,orf19.2443,S. cerevisiae,gene-YBR260C,Cluster1033
S. cerevisiae,gene-YJL098W,C. albicans,orf19.5160,Cluster1049
S. cerevisiae,gene-YKR028W,C. albicans,orf19.5160,Cluster1049
S. cerevisiae,gene-YNL130C,C. albicans,orf19.3695,Cluster1050
C. albicans,orf19.4371,S. cerevisiae,gene-YGR043C,Cluster1051
S. cerevisiae,gene-YIL043C,C. albicans,orf19.1801,Cluster1057
C. albicans,orf19.7238,S. cerevisiae,gene-YDR432W,Cluster1059
C. albicans,orf19.6701,S. cerevisiae,gene-YHR020W,Cluster1060
S. cerevisiae,gene-YPL043W,C. albicans,orf19.5198,Cluster1062
S. cerevisiae,gene-YPL190C,C. albicans,orf19.5530,Cluster1063
C. albicans,orf19.4297,S. cerevisiae,gene-YOR039W,Cluster1064
S. cerevisiae,gene-YPL104W,C. albicans,orf19.4478,Cluster1065
C. albicans,orf19.470,S. cerevisiae,gene-YDR145W,Cluster1066
C. albicans,orf19.6820,S. cerevisiae,gene-YDR145W,Cluster1066
C. albicans,orf19.5847,S. cerevisiae,gene-YOR207C,Cluster1084
C. albicans,orf19.754,S. cerevisiae,gene-YBR025C,Cluster1110
C. albicans,orf19.391,S. cerevisiae,gene-YLR228C,Cluster1111
C. albicans,orf19.391,S. cerevisiae,gene-YDR213W,Cluster1111
C. albicans,orf19.7293,S. cerevisiae,gene-YDL028C,Cluster1112
C. albicans,orf19.926,S. cerevisiae,gene-YDR263C,Cluster1113
C. albicans,orf19.926,S. cerevisiae,gene-YOR033C,Cluster1113
S. cerevisiae,gene-YLR098C,C. albicans,orf19.6985,Cluster1117
C. albicans,orf19.4835,S. cerevisiae,gene-YER082C,Cluster1121
C. albicans,orf19.3521,S. cerevisiae,gene-YDR376W,Cluster1131
S. cerevisiae,gene-YDR057W,C. albicans,orf19.7578,Cluster1134
C. albicans,orf19.4519,S. cerevisiae,gene-YPL029W,Cluster1135
C. albicans,orf19.5236,S. cerevisiae,gene-YMR101C,Cluster1136
C. albicans,orf19.747,S. cerevisiae,gene-YGL091C,Cluster1137
C. albicans,orf19.5232,S. cerevisiae,gene-YOL077C,Cluster1138
C. albicans,orf19.3465,S. cerevisiae,gene-YGL135W,Cluster1139
C. albicans,orf19.3465,S. cerevisiae,gene-YPL220W,Cluster1139
S. cerevisiae,gene-YLL032C,C. albicans,orf19.6008,Cluster1140
C. albicans,orf19.3613,S. cerevisiae,gene-YBR279W,Cluster1141
S. cerevisiae,gene-YBL023C,C. albicans,orf19.4354,Cluster1142
S. cerevisiae,gene-YLR164W,C. albicans,orf19.4468,Cluster1143
C. albicans,orf19.4028,S. cerevisiae,gene-YBR002C,Cluster1144
C. albicans,orf19.6901,S. cerevisiae,gene-YLR270W,Cluster1146
C. albicans,orf19.4589,S. cerevisiae,gene-YMR020W,Cluster1148
S. cerevisiae,gene-YMR020W,C. albicans,orf19.7323,Cluster1148
C. albicans,orf19.5227,S. cerevisiae,gene-YLR021W,Cluster116
C. albicans,orf19.3265,S. cerevisiae,gene-YDR120C,Cluster1160
S. cerevisiae,gene-YLR099W-A,C. albicans,orf19.3265.1,Cluster1161
S. cerevisiae,gene-YDR041W,C. albicans,orf19.6752,Cluster1162
C. albicans,orf19.1039,S. cerevisiae,gene-YJL031C,Cluster1163
S. cerevisiae,gene-YKL067W,C. albicans,orf19.4311,Cluster1164
S. cerevisiae,gene-YGR195W,C. albicans,orf19.4582,Cluster1165
S. cerevisiae,gene-YLR106C,C. albicans,orf19.4697,Cluster1166
S. cerevisiae,gene-YNL139C,C. albicans,orf19.4123,Cluster1168
S. cerevisiae,gene-YNR049C,C. albicans,orf19.5248,Cluster1169
C. albicans,orf19.7440,S. cerevisiae,gene-YKL209C,Cluster117
S. cerevisiae,gene-YPL129W,C. albicans,orf19.798,Cluster1170
C. albicans,orf19.7448,S. cerevisiae,gene-YNR050C,Cluster118
C. albicans,orf19.1007,S. cerevisiae,gene-YDR017C,Cluster1185
C. albicans,orf19.7603,S. cerevisiae,gene-YMR244C-A,Cluster1187
C. albicans,orf19.4273,S. cerevisiae,gene-YLR139C,Cluster1188
C. albicans,orf19.1966,S. cerevisiae,gene-YCR047C,Cluster1189
S. cerevisiae,gene-YBR166C,C. albicans,orf19.4605,Cluster119
C. albicans,orf19.3132,S. cerevisiae,gene-YDR205W,Cluster1190
S. cerevisiae,gene-YJL145W,C. albicans,orf19.4897,Cluster1191
S. cerevisiae,gene-YOR197W,C. albicans,orf19.5995,Cluster1194
S. cerevisiae,gene-YPR127W,C. albicans,orf19.7306,Cluster1198
C. albicans,orf19.3921,S. cerevisiae,gene-YMR222C,Cluster120
S. cerevisiae,gene-YGR188C,C. albicans,orf19.2678,Cluster1205
C. albicans,orf19.6539,S. cerevisiae,gene-YPL235W,Cluster1207
C. albicans,orf19.498,S. cerevisiae,gene-YNL137C,Cluster1208
S. cerevisiae,gene-YDR468C,C. albicans,orf19.3898,Cluster1209
C. albicans,orf19.4683,S. cerevisiae,gene-YKR095W,Cluster121
C. albicans,orf19.5241,S. cerevisiae,gene-YCR033W,Cluster1212
C. albicans,orf19.7089,S. cerevisiae,gene-YGL167C,Cluster1223
C. albicans,orf19.1248,S. cerevisiae,gene-YIL021W,Cluster1224
C. albicans,orf19.4375.1,S. cerevisiae,gene-YLR287C-A,Cluster1229
C. albicans,orf19.4375.1,S. cerevisiae,gene-YOR182C,Cluster1229
S. cerevisiae,gene-YNL279W,C. albicans,orf19.669,Cluster1232
S. cerevisiae,gene-YIL007C,C. albicans,orf19.2301,Cluster1234
C. albicans,orf19.6597,S. cerevisiae,gene-YLR287C,Cluster1235
C. albicans,orf19.5531,S. cerevisiae,gene-YDR168W,Cluster1237
C. albicans,orf19.2369,S. cerevisiae,gene-YNL261W,Cluster1249
C. albicans,orf19.2378,S. cerevisiae,gene-YMR123W,Cluster1250
S. cerevisiae,gene-YHL016C,C. albicans,orf19.781,Cluster1251
S. cerevisiae,gene-YPR139C,C. albicans,orf19.1043,Cluster1252
S. cerevisiae,gene-YMR250W,C. albicans,orf19.1153,Cluster1253
S. cerevisiae,gene-YER068W,C. albicans,orf19.2379,Cluster1255
C. albicans,orf19.6100,S. cerevisiae,gene-YDL142C,Cluster1256
S. cerevisiae,gene-YMR049C,C. albicans,orf19.1047,Cluster1257
S. cerevisiae,gene-YGL129C,C. albicans,orf19.3480,Cluster1258
C. albicans,orf19.1413,S. cerevisiae,gene-YDL120W,Cluster1281
C. albicans,orf19.7437,S. cerevisiae,gene-YJL218W,Cluster1282
C. albicans,orf19.1409,S. cerevisiae,gene-YNL054W,Cluster1283
S. cerevisiae,gene-YPL094C,C. albicans,orf19.3031,Cluster1284
S. cerevisiae,gene-YOL137W,C. albicans,orf19.7490,Cluster1285
S. cerevisiae,gene-YOR365C,C. albicans,orf19.2198,Cluster1287
C. albicans,orf19.1813,S. cerevisiae,gene-YAL053W,Cluster1288
C. albicans,orf19.7261,S. cerevisiae,gene-YER136W,Cluster1289
C. albicans,orf19.5342.1,S. cerevisiae,gene-YKL186C,Cluster1291
C. albicans,orf19.3951,S. cerevisiae,gene-YGR172C,Cluster1292
S. cerevisiae,gene-YHR164C,C. albicans,orf19.1192,Cluster1293
S. cerevisiae,gene-YJL180C,C. albicans,orf19.3686,Cluster1294
C. albicans,orf19.4464,S. cerevisiae,gene-YMR059W,Cluster1295
C. albicans,orf19.3228,S. cerevisiae,gene-YER113C,Cluster1296
C. albicans,orf19.4625,S. cerevisiae,gene-YKL058W,Cluster1297
C. albicans,orf19.2332,S. cerevisiae,gene-YDR446W,Cluster1298
C. albicans,orf19.5226,S. cerevisiae,gene-YOL097C,Cluster1299
S. cerevisiae,gene-YJR014W,C. albicans,orf19.4164,Cluster1300
S. cerevisiae,gene-YNR053C,C. albicans,orf19.5732,Cluster1324
C. albicans,orf19.3736,S. cerevisiae,gene-YCL055W,Cluster1325
C. albicans,orf19.3014,S. cerevisiae,gene-YDR099W,Cluster133
S. cerevisiae,gene-YGL225W,C. albicans,orf19.1232,Cluster1331
C. albicans,orf19.1232,S. cerevisiae,gene-YER039C,Cluster1331
S. cerevisiae,gene-YNL271C,C. albicans,orf19.4927,Cluster1332
C. albicans,orf19.1691,S. cerevisiae,gene-YNR018W,Cluster1334
S. cerevisiae,gene-YNR018W,C. albicans,orf19.409,Cluster1334
C. albicans,orf19.4963,S. cerevisiae,gene-YDR161W,Cluster1335
S. cerevisiae,gene-YGL162W,C. albicans,orf19.4342,Cluster1336
S. cerevisiae,gene-YER162C,C. albicans,orf19.6722,Cluster1337
S. cerevisiae,gene-YNL181W,C. albicans,orf19.6233,Cluster1338
C. albicans,orf19.7537,S. cerevisiae,gene-YIL159W,Cluster1339
C. albicans,orf19.1386,S. cerevisiae,gene-YIL004C,Cluster1340
S. cerevisiae,gene-YER077C,C. albicans,orf19.1772,Cluster1344
S. cerevisiae,gene-YGR278W,C. albicans,orf19.1771,Cluster1345
C. albicans,orf19.6760,S. cerevisiae,gene-YGL197W,Cluster1346
C. albicans,orf19.6760,S. cerevisiae,gene-YER132C,Cluster1346
S. cerevisiae,gene-YGL103W,C. albicans,orf19.2864.1,Cluster1347
S. cerevisiae,gene-YLR248W,C. albicans,orf19.2268,Cluster1348
C. albicans,orf19.3840,S. cerevisiae,gene-YER129W,Cluster1349
C. albicans,orf19.2510,S. cerevisiae,gene-YOR349W,Cluster1350
S. cerevisiae,gene-YKL101W,C. albicans,orf19.4308,Cluster1353
C. albicans,orf19.3969,S. cerevisiae,gene-YGR249W,Cluster1354
S. cerevisiae,gene-YKR074W,C. albicans,orf19.3528,Cluster1359
C. albicans,orf19.7010,S. cerevisiae,gene-YIL001W,Cluster1360
