species1,gene1,species2,gene2,cluster_id
S. cerevisiae,gene-YMR275C,K. lactis,gene:KLLA0_D01793g,Cluster10004
S. cerevisiae,gene-YML111W,K. lactis,gene:KLLA0_D01793g,Cluster10004
K. lactis,gene:KLLA0_F06402g,S. cerevisiae,gene-YNR007C,Cluster10005
K. lactis,gene:KLLA0_E06733g,S. cerevisiae,gene-YBL097W,Cluster10006
K. lactis,gene:KLLA0_F07205g,S. cerevisiae,gene-YDL089W,Cluster10007
S. cerevisiae,gene-YNL215W,K. lactis,gene:KLLA0_D19250g,Cluster10009
K. lactis,gene:KLLA0_F13442g,S. cerevisiae,gene-YDR228C,Cluster1002
K. lactis,gene:KLLA0_B10142g,S. cerevisiae,gene-YDR318W,Cluster10024
K. lactis,gene:KLLA0_C18491g,S. cerevisiae,gene-YAL002W,Cluster10026
K. lactis,gene:KLLA0_E05853g,S. cerevisiae,gene-YJR110W,Cluster10028
K. lactis,gene:KLLA0_E19229g,S. cerevisiae,gene-YPL190C,Cluster1003
S. cerevisiae,gene-YBR212W,K. lactis,gene:KLLA0_C05522g,Cluster1004
S. cerevisiae,gene-YGL061C,K. lactis,gene:KLLA0_C05742g,Cluster10043
K. lactis,gene:KLLA0_F23804g,S. cerevisiae,gene-YOR114W,Cluster10044
K. lactis,gene:KLLA0_A05797g,S. cerevisiae,gene-YJL140W,Cluster10045
S. cerevisiae,gene-YKR063C,K. lactis,gene:KLLA0_A06017g,Cluster10046
S. cerevisiae,gene-YBR037C,K. lactis,gene:KLLA0_D03630g,Cluster10048
K. lactis,gene:KLLA0_D03630g,S. cerevisiae,gene-YBR024W,Cluster10048
K. lactis,gene:KLLA0_F23650g,S. cerevisiae,gene-YNL110C,Cluster1005
K. lactis,gene:KLLA0_D11044g,S. cerevisiae,gene-YHR135C,Cluster10056
K. lactis,gene:KLLA0_D11044g,S. cerevisiae,gene-YNL154C,Cluster10056
K. lactis,gene:KLLA0_E13531g,S. cerevisiae,gene-YER123W,Cluster10057
S. cerevisiae,gene-YPL203W,K. lactis,gene:KLLA0_D03190g,Cluster10058
S. cerevisiae,gene-YNL175C,K. lactis,gene:KLLA0_D08206g,Cluster1006
K. lactis,gene:KLLA0_C18337g,S. cerevisiae,gene-YLR320W,Cluster10061
S. cerevisiae,gene-YGR249W,K. lactis,gene:KLLA0_A05368g,Cluster10062
K. lactis,gene:KLLA0_C17600g,S. cerevisiae,gene-YER165W,Cluster1007
S. cerevisiae,gene-YGL075C,K. lactis,gene:KLLA0_D03366g,Cluster10070
S. cerevisiae,gene-YML031W,K. lactis,gene:KLLA0_B01760g,Cluster10081
S. cerevisiae,gene-YGL005C,K. lactis,gene:KLLA0_A08888g,Cluster10082
S. cerevisiae,gene-YPR143W,K. lactis,gene:KLLA0_B10934g,Cluster10084
K. lactis,gene:KLLA0_E02487g,S. cerevisiae,gene-YDR375C,Cluster10086
S. cerevisiae,gene-YPL063W,K. lactis,gene:KLLA0_E23101g,Cluster10087
K. lactis,gene:KLLA0_D05643g,S. cerevisiae,gene-YLR075W,Cluster10088
K. lactis,gene:KLLA0_D19272g,S. cerevisiae,gene-YDL234C,Cluster10089
S. cerevisiae,gene-YER043C,K. lactis,gene:KLLA0_A01199g,Cluster10090
S. cerevisiae,gene-YBR153W,K. lactis,gene:KLLA0_F21120g,Cluster10092
S. cerevisiae,gene-YFL045C,K. lactis,gene:KLLA0_D05709g,Cluster10093
S. cerevisiae,gene-YOR196C,K. lactis,gene:KLLA0_F00836g,Cluster10096
S. cerevisiae,gene-YPL118W,K. lactis,gene:KLLA0_F00990g,Cluster10099
K. lactis,gene:KLLA0_F06919g,S. cerevisiae,gene-YCR081W,Cluster1010
S. cerevisiae,gene-YOL043C,K. lactis,gene:KLLA0_F07711g,Cluster10102
S. cerevisiae,gene-YAL015C,K. lactis,gene:KLLA0_F07711g,Cluster10102
S. cerevisiae,gene-YNL076W,K. lactis,gene:KLLA0_E07855g,Cluster10104
K. lactis,gene:KLLA0_D15829g,S. cerevisiae,gene-YBR255C-A,Cluster10110
K. lactis,gene:KLLA0_D18755g,S. cerevisiae,gene-YDR198C,Cluster10113
S. cerevisiae,gene-YOL123W,K. lactis,gene:KLLA0_C12925g,Cluster10118
K. lactis,gene:KLLA0_B04312g,S. cerevisiae,gene-YHR192W,Cluster1012
S. cerevisiae,gene-YDR078C,K. lactis,gene:KLLA0_E00991g,Cluster10130
S. cerevisiae,gene-YER051W,K. lactis,gene:KLLA0_F27643g,Cluster10134
S. cerevisiae,gene-YIL031W,K. lactis,gene:KLLA0_F27665g,Cluster10137
K. lactis,gene:KLLA0_D10571g,S. cerevisiae,gene-YER025W,Cluster10138
K. lactis,gene:KLLA0_C03608g,S. cerevisiae,gene-YDR486C,Cluster10139
S. cerevisiae,gene-YNL294C,K. lactis,gene:KLLA0_A07469g,Cluster10140
S. cerevisiae,gene-YPL117C,K. lactis,gene:KLLA0_F00924g,Cluster10141
K. lactis,gene:KLLA0_C15521g,S. cerevisiae,gene-YGL077C,Cluster10142
K. lactis,gene:KLLA0_B00385g,S. cerevisiae,gene-YNR056C,Cluster10143
K. lactis,gene:KLLA0_D14685g,S. cerevisiae,gene-YGR088W,Cluster10144
S. cerevisiae,gene-YPR138C,K. lactis,gene:KLLA0_B11033g,Cluster10146
S. cerevisiae,gene-YGR121C,K. lactis,gene:KLLA0_B11033g,Cluster10146
S. cerevisiae,gene-YPR134W,K. lactis,gene:KLLA0_B11165g,Cluster10148
S. cerevisiae,gene-YGR014W,K. lactis,gene:KLLA0_C17985g,Cluster10163
S. cerevisiae,gene-YDR420W,K. lactis,gene:KLLA0_C17985g,Cluster10163
S. cerevisiae,gene-YAL005C,K. lactis,gene:KLLA0_D04224g,Cluster10167
S. cerevisiae,gene-YLL024C,K. lactis,gene:KLLA0_D04224g,Cluster10167
S. cerevisiae,gene-YER144C,K. lactis,gene:KLLA0_E10275g,Cluster1017
K. lactis,gene:KLLA0_E10275g,S. cerevisiae,gene-YDR069C,Cluster1017
S. cerevisiae,gene-YGL225W,K. lactis,gene:KLLA0_A01364g,Cluster10170
K. lactis,gene:KLLA0_A01364g,S. cerevisiae,gene-YER039C,Cluster10170
S. cerevisiae,gene-YLR369W,K. lactis,gene:KLLA0_E22309g,Cluster10171
K. lactis,gene:KLLA0_B05038g,S. cerevisiae,gene-YML064C,Cluster10174
S. cerevisiae,gene-YLR229C,K. lactis,gene:KLLA0_A04213g,Cluster10175
S. cerevisiae,gene-YMR242C,K. lactis,gene:KLLA0_F08657g,Cluster10176
S. cerevisiae,gene-YPL263C,K. lactis,gene:KLLA0_D00836g,Cluster10177
S. cerevisiae,gene-YIL108W,K. lactis,gene:KLLA0_F03751g,Cluster10178
S. cerevisiae,gene-YDR393W,K. lactis,gene:KLLA0_C06512g,Cluster10179
K. lactis,gene:KLLA0_F03399g,S. cerevisiae,gene-YNL061W,Cluster10181
K. lactis,gene:KLLA0_B00671g,S. cerevisiae,gene-YGL210W,Cluster10182
K. lactis,gene:KLLA0_B00671g,S. cerevisiae,gene-YER031C,Cluster10182
S. cerevisiae,gene-YNL096C,K. lactis,gene:KLLA0_C13519g,Cluster10183
K. lactis,gene:KLLA0_C13519g,S. cerevisiae,gene-YOR096W,Cluster10183
S. cerevisiae,gene-YKL154W,K. lactis,gene:KLLA0_E11705g,Cluster10184
S. cerevisiae,gene-YLR262C,K. lactis,gene:KLLA0_F20471g,Cluster10185
S. cerevisiae,gene-YOL042W,K. lactis,gene:KLLA0_F07733g,Cluster102
S. cerevisiae,gene-YKL095W,K. lactis,gene:KLLA0_B06369g,Cluster1020
K. lactis,gene:KLLA0_C00506g,S. cerevisiae,gene-YCL059C,Cluster10206
K. lactis,gene:KLLA0_C12672g,S. cerevisiae,gene-YKL054C,Cluster10207
S. cerevisiae,gene-YOR254C,K. lactis,gene:KLLA0_C09823g,Cluster10209
K. lactis,gene:KLLA0_C06534g,S. cerevisiae,gene-YDR394W,Cluster1021
S. cerevisiae,gene-YNL064C,K. lactis,gene:KLLA0_F03333g,Cluster10212
K. lactis,gene:KLLA0_E01629g,S. cerevisiae,gene-YMR161W,Cluster10213
S. cerevisiae,gene-YER169W,K. lactis,gene:KLLA0_C17710g,Cluster10214
S. cerevisiae,gene-YMR035W,K. lactis,gene:KLLA0_F27027g,Cluster10215
K. lactis,gene:KLLA0_E09065g,S. cerevisiae,gene-YGL148W,Cluster10216
K. lactis,gene:KLLA0_F19822g,S. cerevisiae,gene-YLR103C,Cluster10217
S. cerevisiae,gene-YER028C,K. lactis,gene:KLLA0_F20636g,Cluster10218
S. cerevisiae,gene-YKL062W,K. lactis,gene:KLLA0_F20636g,Cluster10218
K. lactis,gene:KLLA0_F20636g,S. cerevisiae,gene-YLR131C,Cluster10218
K. lactis,gene:KLLA0_E22661g,S. cerevisiae,gene-YJR034W,Cluster10219
S. cerevisiae,gene-YBR080C,K. lactis,gene:KLLA0_C14520g,Cluster1022
K. lactis,gene:KLLA0_D14509g,S. cerevisiae,gene-YMR010W,Cluster10220
S. cerevisiae,gene-YPR186C,K. lactis,gene:KLLA0_B03454g,Cluster10221
K. lactis,gene:KLLA0_C12947g,S. cerevisiae,gene-YAL042W,Cluster10222
K. lactis,gene:KLLA0_D16412g,S. cerevisiae,gene-YJL153C,Cluster10223
K. lactis,gene:KLLA0_D04334g,S. cerevisiae,gene-YPR010C-A,Cluster10225
K. lactis,gene:KLLA0_A07084g,S. cerevisiae,gene-YDR257C,Cluster10227
S. cerevisiae,gene-YDR336W,K. lactis,gene:KLLA0_F21626g,Cluster10228
K. lactis,gene:KLLA0_D08261g,S. cerevisiae,gene-YNL177C,Cluster10229
S. cerevisiae,gene-YKL019W,K. lactis,gene:KLLA0_E17975g,Cluster1023
K. lactis,gene:KLLA0_B13189g,S. cerevisiae,gene-YLR359W,Cluster10230
S. cerevisiae,gene-YBL072C,K. lactis,gene:KLLA0_E20461g,Cluster10231
K. lactis,gene:KLLA0_F05918g,S. cerevisiae,gene-YIL078W,Cluster10233
K. lactis,gene:KLLA0_D19514g,S. cerevisiae,gene-YNL222W,Cluster10234
K. lactis,gene:KLLA0_C11011g,S. cerevisiae,gene-YHR049W,Cluster10235
K. lactis,gene:KLLA0_A01177g,S. cerevisiae,gene-YGL228W,Cluster10236
S. cerevisiae,gene-YNL265C,K. lactis,gene:KLLA0_C02431g,Cluster10237
K. lactis,gene:KLLA0_A07667g,S. cerevisiae,gene-YKR088C,Cluster10239
S. cerevisiae,gene-YBR121C,K. lactis,gene:KLLA0_B08932g,Cluster1024
K. lactis,gene:KLLA0_B08932g,S. cerevisiae,gene-YPR081C,Cluster1024
K. lactis,gene:KLLA0_E04511g,S. cerevisiae,gene-YIL041W,Cluster10240
K. lactis,gene:KLLA0_D18392g,S. cerevisiae,gene-YDR186C,Cluster10241
K. lactis,gene:KLLA0_A05434g,S. cerevisiae,gene-YGR246C,Cluster10242
S. cerevisiae,gene-YDL119C,K. lactis,gene:KLLA0_E08911g,Cluster10243
S. cerevisiae,gene-YEL053C,K. lactis,gene:KLLA0_A01925g,Cluster10244
K. lactis,gene:KLLA0_F25036g,S. cerevisiae,gene-YMR235C,Cluster10245
K. lactis,gene:KLLA0_F07843g,S. cerevisiae,gene-YOL040C,Cluster10246
K. lactis,gene:KLLA0_E10693g,S. cerevisiae,gene-YGL027C,Cluster10247
S. cerevisiae,gene-YPR185W,K. lactis,gene:KLLA0_B03432g,Cluster10248
S. cerevisiae,gene-YHR175W,K. lactis,gene:KLLA0_A09207g,Cluster10249
S. cerevisiae,gene-YGL080W,K. lactis,gene:KLLA0_E19361g,Cluster1025
S. cerevisiae,gene-YPL104W,K. lactis,gene:KLLA0_E24465g,Cluster10250
K. lactis,gene:KLLA0_F14366g,S. cerevisiae,gene-YJL088W,Cluster10251
S. cerevisiae,gene-YBR187W,K. lactis,gene:KLLA0_E23761g,Cluster10252
