root_000008;70	CAGL0F09141g	97.143	100	3.64e-45	137
root_000011;130	CAGL0G00836g	97.692	100	6.91e-94	264
root_000023;105	CAGL0D06534g	99.048	100	4.15e-72	207
root_000031;677	CAGL0H07645g	99.261	100	0.0	1364
root_000031;705	CAGL0H07645g	25.325	64	1.81e-25	109
root_000036;867	CAGL0G05544g	99.752	93	0.0	1642
root_000039;214	CAGL0K07502g	96.729	100	7.53e-146	402
root_000052;188	CAGL0K04279g	39.560	96	1.88e-41	136
root_000052;298	CAGL0K04279g	100.000	62	1.53e-133	374
root_000059;292	CAGL0B02057g	40.373	49	3.50e-20	85.9
root_000060;189	CAGL0E06072g	35.043	48	2.08e-13	63.2
root_000060;207	CAGL0E06072g	41.667	43	9.88e-19	77.8
root_000073;352	CAGL0H01573g	25.067	97	1.29e-18	83.6
root_000073;386	CAGL0H01573g	32.540	63	3.40e-30	117
root_000074;411	CAGL0I10010g	36.321	47	6.16e-28	110
root_000074;421	CAGL0I10010g	99.417	81	0.0	707
root_000077;188	CAGL0D02420g	28.646	96	1.60e-14	66.2
root_000077;356	CAGL0D02420g	98.919	52	1.71e-130	369
root_000090;197	CAGL0C02387g	29.843	97	1.69e-14	66.2
root_000090;1123	CAGL0C02387g	94.444	14	2.58e-102	317
root_000106;761	CAGL0J01958g	98.859	92	0.0	1360
root_000106;680	CAGL0J01958g	44.974	27	5.32e-19	89.4
root_000108;407	CAGL0J06138g	47.017	98	1.94e-118	348
root_000108;407	CAGL0K08338g	26.132	69	7.41e-13	67.0
root_000108;351	CAGL0J06138g	37.910	86	4.86e-59	194
root_000111;1354	CAGL0I08437g	98.347	98	0.0	2681
root_000112;163	CAGL0M01848g	36.646	99	1.59e-32	111
root_000112;139	CAGL0M01848g	37.748	99	9.57e-26	93.2
root_000135;136	CAGL0G09625g	98.529	100	6.21e-97	273
root_000174;198	CAGL0B02860g	29.825	97	8.03e-24	92.0
root_000174;198	CAGL0K04279g	43.636	56	4.55e-15	68.2
root_000175;141	CAGL0F07447g	67.188	45	1.49e-21	81.6
root_000175;187	CAGL0F07447g	99.187	66	1.52e-85	246
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	99.780	85	0.0	1867
root_000179;6968	CAGL0I10246g	98.804	85	0.0	1858
root_000179;6968	CAGL0I10246g	99.669	85	0.0	1853
root_000179;6968	CAGL0I10246g	100.000	85	0.0	1830
root_000179;6968	CAGL0I10246g	97.586	85	0.0	1739
root_000179;6968	CAGL0I10246g	95.062	85	0.0	1724
root_000179;6968	CAGL0I10246g	92.222	85	0.0	1541
root_000179;6968	CAGL0I10246g	98.248	85	0.0	1470
root_000179;6968	CAGL0I10246g	97.978	85	0.0	1466
root_000179;6968	CAGL0I10246g	89.736	85	0.0	1329
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
