species1,gene1,species2,gene2,source,pillar_id,gene_pair
C. albicans,orf19.1860,C. glabrata,CAGL0F08107g,CGOB/YGOB_bridge,-1,"('orf19.1860', 'CAGL0F08107g')"
C. glabrata,CAGL0F08107g,C. albicans,orf19.1860,CGOB/YGOB_bridge,-1,"('CAGL0F08107g', 'orf19.1860')"
C. albicans,orf19.6805,C. glabrata,CAGL0C03696g,CGOB/YGOB_bridge,-1,"('orf19.6805', 'CAGL0C03696g')"
C. glabrata,CAGL0C03696g,C. albicans,orf19.6805,CGOB/YGOB_bridge,-1,"('CAGL0C03696g', 'orf19.6805')"
C. albicans,orf19.6987,C. glabrata,CAGL0D05808g,CGOB/YGOB_bridge,-1,"('orf19.6987', 'CAGL0D05808g')"
C. glabrata,CAGL0D05808g,C. albicans,orf19.6987,CGOB/YGOB_bridge,-1,"('CAGL0D05808g', 'orf19.6987')"
C. albicans,orf19.880,C. glabrata,CAGL0A01848g,CGOB/YGOB_bridge,-1,"('orf19.880', 'CAGL0A01848g')"
C. glabrata,CAGL0A01848g,C. albicans,orf19.880,CGOB/YGOB_bridge,-1,"('CAGL0A01848g', 'orf19.880')"
C. albicans,orf19.4427,C. glabrata,CAGL0M01364g,CGOB/YGOB_bridge,-1,"('orf19.4427', 'CAGL0M01364g')"
C. glabrata,CAGL0M01364g,C. albicans,orf19.4427,CGOB/YGOB_bridge,-1,"('CAGL0M01364g', 'orf19.4427')"
C. albicans,orf19.6360,C. glabrata,CAGL0E01023g,CGOB/YGOB_bridge,-1,"('orf19.6360', 'CAGL0E01023g')"
C. glabrata,CAGL0E01023g,C. albicans,orf19.6360,CGOB/YGOB_bridge,-1,"('CAGL0E01023g', 'orf19.6360')"
C. albicans,orf19.5268,C. glabrata,CAGL0I08525g,CGOB/YGOB_bridge,-1,"('orf19.5268', 'CAGL0I08525g')"
C. glabrata,CAGL0I08525g,C. albicans,orf19.5268,CGOB/YGOB_bridge,-1,"('CAGL0I08525g', 'orf19.5268')"
C. albicans,orf19.2597,C. glabrata,CAGL0E05368g,CGOB/YGOB_bridge,-1,"('orf19.2597', 'CAGL0E05368g')"
C. glabrata,CAGL0E05368g,C. albicans,orf19.2597,CGOB/YGOB_bridge,-1,"('CAGL0E05368g', 'orf19.2597')"
C. albicans,orf19.4615,C. glabrata,CAGL0H08481g,CGOB/YGOB_bridge,-1,"('orf19.4615', 'CAGL0H08481g')"
C. glabrata,CAGL0H08481g,C. albicans,orf19.4615,CGOB/YGOB_bridge,-1,"('CAGL0H08481g', 'orf19.4615')"
C. albicans,orf19.2771,C. glabrata,CAGL0J06996g,CGOB/YGOB_bridge,-1,"('orf19.2771', 'CAGL0J06996g')"
C. glabrata,CAGL0J06996g,C. albicans,orf19.2771,CGOB/YGOB_bridge,-1,"('CAGL0J06996g', 'orf19.2771')"
C. albicans,orf19.2469,C. glabrata,CAGL0L00363g,CGOB/YGOB_bridge,-1,"('orf19.2469', 'CAGL0L00363g')"
C. glabrata,CAGL0L00363g,C. albicans,orf19.2469,CGOB/YGOB_bridge,-1,"('CAGL0L00363g', 'orf19.2469')"
C. albicans,orf19.3010.1,C. glabrata,CAGL0M01826g,CGOB/YGOB_bridge,-1,"('orf19.3010.1', 'CAGL0M01826g')"
C. glabrata,CAGL0M01826g,C. albicans,orf19.3010.1,CGOB/YGOB_bridge,-1,"('CAGL0M01826g', 'orf19.3010.1')"
C. albicans,orf19.1642,C. glabrata,CAGL0F02299g,CGOB/YGOB_bridge,-1,"('orf19.1642', 'CAGL0F02299g')"
C. glabrata,CAGL0F02299g,C. albicans,orf19.1642,CGOB/YGOB_bridge,-1,"('CAGL0F02299g', 'orf19.1642')"
C. albicans,orf19.4340.1,C. glabrata,CAGL0G09933g,CGOB/YGOB_bridge,-1,"('orf19.4340.1', 'CAGL0G09933g')"
C. glabrata,CAGL0G09933g,C. albicans,orf19.4340.1,CGOB/YGOB_bridge,-1,"('CAGL0G09933g', 'orf19.4340.1')"
C. albicans,orf19.1082.1,C. glabrata,CAGL0A03542g,CGOB/YGOB_bridge,-1,"('orf19.1082.1', 'CAGL0A03542g')"
C. glabrata,CAGL0A03542g,C. albicans,orf19.1082.1,CGOB/YGOB_bridge,-1,"('CAGL0A03542g', 'orf19.1082.1')"
C. albicans,orf19.6376,C. glabrata,CAGL0J08657g,CGOB/YGOB_bridge,-1,"('orf19.6376', 'CAGL0J08657g')"
C. glabrata,CAGL0J08657g,C. albicans,orf19.6376,CGOB/YGOB_bridge,-1,"('CAGL0J08657g', 'orf19.6376')"
C. albicans,orf19.7546,C. glabrata,CAGL0J10912g,CGOB/YGOB_bridge,-1,"('orf19.7546', 'CAGL0J10912g')"
C. glabrata,CAGL0J10912g,C. albicans,orf19.7546,CGOB/YGOB_bridge,-1,"('CAGL0J10912g', 'orf19.7546')"
C. albicans,orf19.5660.1,C. glabrata,CAGL0H07023g,CGOB/YGOB_bridge,-1,"('orf19.5660.1', 'CAGL0H07023g')"
C. glabrata,CAGL0H07023g,C. albicans,orf19.5660.1,CGOB/YGOB_bridge,-1,"('CAGL0H07023g', 'orf19.5660.1')"
C. albicans,orf19.4145,C. glabrata,CAGL0B03421g,CGOB/YGOB_bridge,-1,"('orf19.4145', 'CAGL0B03421g')"
C. glabrata,CAGL0B03421g,C. albicans,orf19.4145,CGOB/YGOB_bridge,-1,"('CAGL0B03421g', 'orf19.4145')"
C. albicans,orf19.3256,C. glabrata,CAGL0H06567g,CGOB/YGOB_bridge,-1,"('orf19.3256', 'CAGL0H06567g')"
C. glabrata,CAGL0H06567g,C. albicans,orf19.3256,CGOB/YGOB_bridge,-1,"('CAGL0H06567g', 'orf19.3256')"
