cluster_id,original_id,species
Cluster3662,CAGL0G03289g,C_glabrata
Cluster3662,CAGL0K04741g,C_glabrata
Cluster3662,CAGL0C05379g,C_glabrata
Cluster6139,CAGL0M12430g,C_glabrata
Cluster6139,CAGL0D04092g,C_glabrata
Cluster6139,CAGL0M12925g,C_glabrata
Cluster6220,CAGL0F06259g,C_glabrata
Cluster6220,CAGL0I10769g,C_glabrata
Cluster6220,CAGL0F06237g,C_glabrata
Cluster7510,CAGL0A00627g,C_glabrata
Cluster7510,CAGL0G00682g,C_glabrata
Cluster7510,CAGL0I01232g,C_glabrata
Cluster7547,CAGL0K10890g,C_glabrata
Cluster7547,CAGL0I02574g,C_glabrata
Cluster7547,CAGL0L09537g,C_glabrata
