gene_pair,in_ygob,in_synergy
"('YDR228C', 'orf19.5213')",False,True
"('YLR328W', 'orf19.7499')",True,True
"('YEL053C', 'orf19.1624')",True,True
"('YER047C', 'orf19.7558')",True,True
"('YBR137W', 'orf19.7199')",True,True
"('YNL162W-A', 'orf19.4450.2')",False,True
"('YDR375C', 'orf19.458')",True,True
"('YNL070W', 'orf19.6531.1')",True,True
"('YDR004W', 'orf19.2174')",True,True
"('YBR001C', 'orf19.7479')",False,True
"('YJR121W', 'orf19.5653')",True,True
"('YGR006W', 'orf19.2112')",True,True
"('YKL162C', 'orf19.4820')",True,True
"('YPL167C', 'orf19.7389')",True,True
"('YMR262W', 'orf19.6744')",True,True
"('YGL023C', 'orf19.1479')",True,True
"('YDR091C', 'orf19.3034')",True,True
"('YMR008C', 'orf19.6594')",True,False
"('YIL015W', 'orf19.242')",False,True
"('YOR356W', 'orf19.3175')",True,True
"('YJL196C', 'orf19.6343')",False,True
"('YDR337W', 'orf19.2520')",True,True
"('YNL259C', 'orf19.2369.1')",True,True
"('YOR202W', 'orf19.183')",True,True
"('YER111C', 'orf19.4545')",True,True
"('YCR035C', 'orf19.6259')",True,True
"('YMR310C', 'orf19.4563')",True,True
"('YOR039W', 'orf19.4297')",True,True
"('YNL212W', 'orf19.6324')",True,True
"('YMR097C', 'orf19.2384')",True,True
"('YGL164C', 'orf19.5003')",True,True
"('YLR165C', 'orf19.3114')",True,True
"('YJR112W-A', 'orf19.1162.1')",True,False
"('YKL099C', 'orf19.2386')",True,True
"('YLL058W', 'orf19.1033')",False,True
"('YDR063W', 'orf19.4193')",True,True
"('YBR207W', 'orf19.3227')",False,True
"('YEL019C', 'orf19.7413')",True,True
"('YGL187C', 'orf19.1471')",True,True
"('YBL033C', 'orf19.2862')",True,True
"('YKR061W', 'orf19.4494')",True,True
"('YPR131C', 'orf19.6246')",True,True
"('YDL137W', 'orf19.5964')",True,True
"('YBR156C', 'orf19.6049')",True,False
"('YDL156W', 'orf19.6907')",True,True
"('YDR176W', 'orf19.3023')",True,True
"('YDL006W', 'orf19.4785')",True,True
"('YIL155C', 'orf19.3133')",True,True
"('YBR149W', 'orf19.2172')",True,True
"('YOL056W', 'orf19.1067')",False,True
"('YKL017C', 'orf19.6199')",True,True
"('YBR046C', 'orf19.2262')",True,True
"('YNR003C', 'orf19.5608')",True,True
"('YER036C', 'orf19.2183')",True,True
"('YNL010W', 'orf19.2269')",True,True
"('YLR388W', 'orf19.6415.1')",True,True
"('YDR069C', 'orf19.7207')",True,False
"('YLL015W', 'orf19.6382')",True,False
"('YKR084C', 'orf19.7144')",True,True
"('YBL032W', 'orf19.5627')",True,True
"('YGR116W', 'orf19.7136')",True,True
"('YGR202C', 'orf19.4186')",True,True
"('YDL116W', 'orf19.1298')",True,True
"('YCR071C', 'orf19.3777')",True,True
"('YOR036W', 'orf19.4292')",True,True
"('YJL004C', 'orf19.7128')",True,True
"('YDR486C', 'orf19.3401')",True,True
"('YLL039C', 'orf19.6771')",True,True
"('YER022W', 'orf19.3055')",True,True
"('YPL204W', 'orf19.3476')",True,True
"('YGR175C', 'orf19.406')",True,True
"('YJR149W', 'orf19.7204')",True,True
"('YER082C', 'orf19.4835')",True,True
"('YOL087C', 'orf19.4913')",True,False
"('YNL166C', 'orf19.7450')",True,True
"('YLR006C', 'orf19.5031')",True,True
"('YIL065C', 'orf19.7111')",True,True
"('YJR135W-A', 'orf19.6183')",True,True
"('YDR045C', 'orf19.5360')",True,True
"('YDL066W', 'orf19.5211')",True,True
"('YPR156C', 'orf19.4737')",False,True
"('YHL025W', 'orf19.831')",False,True
"('YMR086W', 'orf19.1246')",True,False
"('YDR016C', 'orf19.5008.1')",True,False
"('YDR463W', 'orf19.4961')",False,True
"('YMR006C', 'orf19.6594')",False,True
"('YNL218W', 'orf19.3019')",True,True
"('YLR299W', 'orf19.6053')",True,True
"('YBR283C', 'orf19.412')",True,True
"('YOL124C', 'orf19.5987')",True,True
"('YOR339C', 'orf19.4041')",False,True
"('YPL087W', 'orf19.3104')",True,True
"('YML111W', 'orf19.5245')",False,True
"('YOR354C', 'orf19.1956')",True,False
"('YCR031C', 'orf19.6265.1')",False,True
"('YKL196C', 'orf19.2974')",True,True
"('YPL236C', 'orf19.7164')",True,True
"('YCR066W', 'orf19.3407')",True,True
"('YGR141W', 'orf19.1800')",False,True
"('YHR060W', 'orf19.6590')",True,False
"('YBL057C', 'orf19.2544')",True,True
"('YKL005C', 'orf19.4278')",True,True
"('YCL057W', 'orf19.434')",True,True
"('YGR055W', 'orf19.5280')",True,False
"('YJL158C', 'orf19.2783')",False,True
"('YHR068W', 'orf19.1626')",True,True
"('YOR207C', 'orf19.5847')",True,True
"('YJL025W', 'orf19.1589')",True,True
"('YAL041W', 'orf19.3174')",True,True
"('YER171W', 'orf19.7119')",True,True
"('YDL236W', 'orf19.4172')",False,True
"('YLR147C', 'orf19.4146')",True,True
"('YDR023W', 'orf19.269')",True,True
"('YLL024C', 'orf19.1065')",True,False
"('YER100W', 'orf19.7347')",True,True
"('YLR164W', 'orf19.4468')",False,True
"('YKR087C', 'orf19.3827')",True,True
"('YDL051W', 'orf19.2795')",True,True
"('YLR107W', 'orf19.4948')",True,True
"('YHR117W', 'orf19.3700')",False,True
"('YFL010C', 'orf19.1414')",False,True
"('YLR145W', 'orf19.4962')",True,True
"('YDL222C', 'orf19.6489')",True,True
"('YPL228W', 'orf19.2609')",True,True
"('YMR127C', 'orf19.2087')",True,True
"('YDR487C', 'orf19.5228')",True,True
"('YNL248C', 'orf19.2017')",True,True
"('YPL006W', 'orf19.7242')",True,True
"('YGR276C', 'orf19.6195')",True,True
"('YFL004W', 'orf19.4381')",True,True
"('YKR064W', 'orf19.4998')",False,True
"('YLR218C', 'orf19.1667.1')",True,True
"('YML016C', 'orf19.726')",True,True
"('YDR304C', 'orf19.7421')",True,False
"('YGR197C', 'orf19.2812')",False,True
"('YJR143C', 'orf19.4109')",True,True
"('YDR039C', 'orf19.6070')",True,True
"('YMR171C', 'orf19.2703')",True,True
"('YKL028W', 'orf19.4851')",True,True
"('YFR043C', 'orf19.1420')",True,True
"('YJL010C', 'orf19.4479')",True,True
"('YKL113C', 'orf19.547')",True,True
"('YBR247C', 'orf19.5507')",True,True
"('YOR361C', 'orf19.6584')",True,True
"('YGL105W', 'orf19.2422')",True,True
"('YGL039W', 'orf19.6868')",False,True
"('YCL009C', 'orf19.4650')",True,True
"('YKL204W', 'orf19.7034')",True,False
"('YNL121C', 'orf19.3700')",True,True
"('YER179W', 'orf19.3760')",True,True
"('YLR189C', 'orf19.2616')",True,True
"('YLR130C', 'orf19.1585')",True,False
"('YBL059C-A', 'orf19.1336.2')",True,True
"('YGR231C', 'orf19.5973')",True,True
"('YNL051W', 'orf19.4731')",True,True
"('YLR390W-A', 'orf19.7030')",True,True
"('YNL077W', 'orf19.6408')",False,True
"('YDR443C', 'orf19.1451')",True,True
"('YLR395C', 'orf19.5213.1')",True,True
"('YER075C', 'orf19.5045')",False,True
"('YOR308C', 'orf19.4326')",True,True
"('YPL119C', 'orf19.7392')",False,True
"('YMR237W', 'orf19.1112')",True,False
"('YCL068C', 'orf19.1842')",False,True
"('YMR055C', 'orf19.5827')",True,True
"('YNL088W', 'orf19.2873')",True,True
"('YOL100W', 'orf19.5224')",True,True
