species1,gene1,species2,gene2,cluster_id
C. glabrata,CAGL0F03465g,K. lactis,gene:KLLA0_D01793g,Cluster10004
K. lactis,gene:KLLA0_F06402g,C. glabrata,CAGL0I05808g,Cluster10005
K. lactis,gene:KLLA0_E06733g,C. glabrata,CAGL0M09559g,Cluster10006
K. lactis,gene:KLLA0_F07205g,C. glabrata,CAGL0L07084g,Cluster10007
K. lactis,gene:KLLA0_C18491g,C. glabrata,CAGL0A00781g,Cluster10026
K. lactis,gene:KLLA0_E05853g,C. glabrata,CAGL0C04895g,Cluster10028
K. lactis,gene:KLLA0_E19229g,C. glabrata,CAGL0H03267g,Cluster1003
K. lactis,gene:KLLA0_A05797g,C. glabrata,CAGL0I04400g,Cluster10045
C. glabrata,CAGL0M05885g,K. lactis,gene:KLLA0_A06017g,Cluster10046
C. glabrata,CAGL0I04796g,K. lactis,gene:KLLA0_D03630g,Cluster10048
K. lactis,gene:KLLA0_F23650g,C. glabrata,CAGL0L03806g,Cluster1005
K. lactis,gene:KLLA0_D11044g,C. glabrata,CAGL0J05940g,Cluster10056
K. lactis,gene:KLLA0_D11044g,C. glabrata,CAGL0G06138g,Cluster10056
K. lactis,gene:KLLA0_C18337g,C. glabrata,CAGL0A00913g,Cluster10061
C. glabrata,CAGL0H03421g,K. lactis,gene:KLLA0_D03366g,Cluster10070
C. glabrata,CAGL0A00539g,K. lactis,gene:KLLA0_A08888g,Cluster10082
K. lactis,gene:KLLA0_D05643g,C. glabrata,CAGL0K12826g,Cluster10088
K. lactis,gene:KLLA0_D19272g,C. glabrata,CAGL0C05489g,Cluster10089
C. glabrata,CAGL0K12848g,K. lactis,gene:KLLA0_D05709g,Cluster10093
C. glabrata,CAGL0I10923g,K. lactis,gene:KLLA0_F00836g,Cluster10096
C. glabrata,CAGL0J06930g,K. lactis,gene:KLLA0_F00990g,Cluster10099
K. lactis,gene:KLLA0_F24509g,C. glabrata,CAGL0D03476r,Cluster10101
C. glabrata,CAGL0H06303g,K. lactis,gene:KLLA0_F07711g,Cluster10102
C. glabrata,CAGL0J10274g,K. lactis,gene:KLLA0_E07855g,Cluster10104
K. lactis,gene:KLLA0_D18755g,C. glabrata,CAGL0F05511g,Cluster10113
C. glabrata,CAGL0J02860g,K. lactis,gene:KLLA0_F27643g,Cluster10134
C. glabrata,CAGL0J02464g,K. lactis,gene:KLLA0_F27665g,Cluster10137
K. lactis,gene:KLLA0_D10571g,C. glabrata,CAGL0I08327g,Cluster10138
C. glabrata,CAGL0J06952g,K. lactis,gene:KLLA0_F00924g,Cluster10141
C. glabrata,CAGL0D04928g,K. lactis,gene:KLLA0_B11033g,Cluster10146
C. glabrata,CAGL0F03003g,K. lactis,gene:KLLA0_C17985g,Cluster10163
C. glabrata,CAGL0H09196g,K. lactis,gene:KLLA0_A01364g,Cluster10170
C. glabrata,CAGL0I01496g,K. lactis,gene:KLLA0_E22309g,Cluster10171
C. glabrata,CAGL0K07414g,K. lactis,gene:KLLA0_F08657g,Cluster10176
C. glabrata,CAGL0A01067g,K. lactis,gene:KLLA0_D00836g,Cluster10177
C. glabrata,CAGL0C01375g,K. lactis,gene:KLLA0_F03751g,Cluster10178
K. lactis,gene:KLLA0_B00671g,C. glabrata,CAGL0C02453g,Cluster10182
C. glabrata,CAGL0F01001g,K. lactis,gene:KLLA0_F07733g,Cluster102
C. glabrata,CAGL0F07557g,K. lactis,gene:KLLA0_B06369g,Cluster1020
K. lactis,gene:KLLA0_C12672g,C. glabrata,CAGL0M13035g,Cluster10207
C. glabrata,CAGL0L11880g,K. lactis,gene:KLLA0_C17710g,Cluster10214
K. lactis,gene:KLLA0_E09065g,C. glabrata,CAGL0E05016g,Cluster10216
K. lactis,gene:KLLA0_F19822g,C. glabrata,CAGL0M11550g,Cluster10217
K. lactis,gene:KLLA0_F20636g,C. glabrata,CAGL0M04323g,Cluster10218
K. lactis,gene:KLLA0_D14509g,C. glabrata,CAGL0K08822g,Cluster10220
C. glabrata,CAGL0G10021g,K. lactis,gene:KLLA0_B03454g,Cluster10221
K. lactis,gene:KLLA0_C12947g,C. glabrata,CAGL0M11946g,Cluster10222
K. lactis,gene:KLLA0_D16412g,C. glabrata,CAGL0I06050g,Cluster10223
K. lactis,gene:KLLA0_A07084g,C. glabrata,CAGL0M08844g,Cluster10227
C. glabrata,CAGL0M01122g,K. lactis,gene:KLLA0_F21626g,Cluster10228
K. lactis,gene:KLLA0_B13189g,C. glabrata,CAGL0B02794g,Cluster10230
C. glabrata,CAGL0A04521g,K. lactis,gene:KLLA0_E20461g,Cluster10231
