species1,gene1,species2,gene2,source,pillar_id,gene_pair
K. lactis,KLLA0F00484g,S. cerevisiae,YAL059W,YGOB,0,"('KLLA0F00484g', 'YAL059W')"
S. cerevisiae,YAL059W,K. lactis,KLLA0F00484g,YGOB,0,"('YAL059W', 'KLLA0F00484g')"
K. lactis,KLLA0E06513g,S. cerevisiae,YBL103C,YGOB,1,"('KLLA0E06513g', 'YBL103C')"
S. cerevisiae,YBL103C,K. lactis,KLLA0E06513g,YGOB,1,"('YBL103C', 'KLLA0E06513g')"
K. lactis,KLLA0D17204g,S. cerevisiae,YDR167W,YGOB,2,"('KLLA0D17204g', 'YDR167W')"
S. cerevisiae,YDR167W,K. lactis,KLLA0D17204g,YGOB,2,"('YDR167W', 'KLLA0D17204g')"
K. lactis,KLLA0D17226g,S. cerevisiae,YDR168W,YGOB,8,"('KLLA0D17226g', 'YDR168W')"
S. cerevisiae,YDR168W,K. lactis,KLLA0D17226g,YGOB,8,"('YDR168W', 'KLLA0D17226g')"
K. lactis,KLLA0D17270g,S. cerevisiae,YDR169C,YGOB,10,"('KLLA0D17270g', 'YDR169C')"
S. cerevisiae,YDR169C,K. lactis,KLLA0D17270g,YGOB,10,"('YDR169C', 'KLLA0D17270g')"
K. lactis,KLLA0D17358g,S. cerevisiae,YDR170C,YGOB,13,"('KLLA0D17358g', 'YDR170C')"
S. cerevisiae,YDR170C,K. lactis,KLLA0D17358g,YGOB,13,"('YDR170C', 'KLLA0D17358g')"
K. lactis,KLLA0D17424g,S. cerevisiae,YDR172W,YGOB,14,"('KLLA0D17424g', 'YDR172W')"
S. cerevisiae,YDR172W,K. lactis,KLLA0D17424g,YGOB,14,"('YDR172W', 'KLLA0D17424g')"
K. lactis,KLLA0D17402g,S. cerevisiae,YDR173C,YGOB,18,"('KLLA0D17402g', 'YDR173C')"
S. cerevisiae,YDR173C,K. lactis,KLLA0D17402g,YGOB,18,"('YDR173C', 'KLLA0D17402g')"
K. lactis,KLLA0D18029g,S. cerevisiae,YDR174W,YGOB,24,"('KLLA0D18029g', 'YDR174W')"
S. cerevisiae,YDR174W,K. lactis,KLLA0D18029g,YGOB,24,"('YDR174W', 'KLLA0D18029g')"
K. lactis,KLLA0C00572g,S. cerevisiae,YCL057W,YGOB,25,"('KLLA0C00572g', 'YCL057W')"
S. cerevisiae,YCL057W,K. lactis,KLLA0C00572g,YGOB,25,"('YCL057W', 'KLLA0C00572g')"
K. lactis,KLLA0C03201g,S. cerevisiae,YJL206C,YGOB,30,"('KLLA0C03201g', 'YJL206C')"
S. cerevisiae,YJL206C,K. lactis,KLLA0C03201g,YGOB,30,"('YJL206C', 'KLLA0C03201g')"
K. lactis,KLLA0D18051g,S. cerevisiae,YDR175C,YGOB,31,"('KLLA0D18051g', 'YDR175C')"
S. cerevisiae,YDR175C,K. lactis,KLLA0D18051g,YGOB,31,"('YDR175C', 'KLLA0D18051g')"
K. lactis,KLLA0D18073g,S. cerevisiae,YDR176W,YGOB,35,"('KLLA0D18073g', 'YDR176W')"
S. cerevisiae,YDR176W,K. lactis,KLLA0D18073g,YGOB,35,"('YDR176W', 'KLLA0D18073g')"
K. lactis,KLLA0C18656g,S. cerevisiae,YDR177W,YGOB,40,"('KLLA0C18656g', 'YDR177W')"
S. cerevisiae,YDR177W,K. lactis,KLLA0C18656g,YGOB,40,"('YDR177W', 'KLLA0C18656g')"
K. lactis,KLLA0E06535g,S. cerevisiae,YBL102W,YGOB,47,"('KLLA0E06535g', 'YBL102W')"
S. cerevisiae,YBL102W,K. lactis,KLLA0E06535g,YGOB,47,"('YBL102W', 'KLLA0E06535g')"
K. lactis,KLLA0D18117g,S. cerevisiae,YDR178W,YGOB,48,"('KLLA0D18117g', 'YDR178W')"
S. cerevisiae,YDR178W,K. lactis,KLLA0D18117g,YGOB,48,"('YDR178W', 'KLLA0D18117g')"
K. lactis,KLLA0E09329g,S. cerevisiae,YOR020W-A,YGOB,51,"('KLLA0E09329g', 'YOR020W-A')"
S. cerevisiae,YOR020W-A,K. lactis,KLLA0E09329g,YGOB,51,"('YOR020W-A', 'KLLA0E09329g')"
K. lactis,KLLA0D03432g,S. cerevisiae,YDR011W,YGOB,52,"('KLLA0D03432g', 'YDR011W')"
S. cerevisiae,YDR011W,K. lactis,KLLA0D03432g,YGOB,52,"('YDR011W', 'KLLA0D03432g')"
K. lactis,KLLA0D18139g,S. cerevisiae,YDR179C,YGOB,54,"('KLLA0D18139g', 'YDR179C')"
S. cerevisiae,YDR179C,K. lactis,KLLA0D18139g,YGOB,54,"('YDR179C', 'KLLA0D18139g')"
K. lactis,KLLA0D18161g,S. cerevisiae,YDR179W-A,YGOB,58,"('KLLA0D18161g', 'YDR179W-A')"
S. cerevisiae,YDR179W-A,K. lactis,KLLA0D18161g,YGOB,58,"('YDR179W-A', 'KLLA0D18161g')"
K. lactis,KLLA0F18766g,S. cerevisiae,YDR034W-B,YGOB,62,"('KLLA0F18766g', 'YDR034W-B')"
S. cerevisiae,YDR034W-B,K. lactis,KLLA0F18766g,YGOB,62,"('YDR034W-B', 'KLLA0F18766g')"
K. lactis,KLLA0D18194g,S. cerevisiae,YDR180W,YGOB,65,"('KLLA0D18194g', 'YDR180W')"
S. cerevisiae,YDR180W,K. lactis,KLLA0D18194g,YGOB,65,"('YDR180W', 'KLLA0D18194g')"
K. lactis,KLLA0D18216g,S. cerevisiae,YDR181C,YGOB,67,"('KLLA0D18216g', 'YDR181C')"
S. cerevisiae,YDR181C,K. lactis,KLLA0D18216g,YGOB,67,"('YDR181C', 'KLLA0D18216g')"
K. lactis,KLLA0D18238g,S. cerevisiae,YDR182W,YGOB,70,"('KLLA0D18238g', 'YDR182W')"
S. cerevisiae,YDR182W,K. lactis,KLLA0D18238g,YGOB,70,"('YDR182W', 'KLLA0D18238g')"
