cgla_gene,scer_gene,cgla_cluster,scer_cluster
CAGL0M09405g,YBL103C,Cluster7851,Cluster11494
CAGL0M09405g,YBL103C,Cluster7851,Cluster11494
CAGL0E00935g,YDR167W,Cluster4897,Cluster7977
CAGL0E00935g,YDR167W,Cluster4897,Cluster7977
CAGL0E00891g,YDR169C,Cluster3939,Cluster130
CAGL0E00891g,YDR169C,Cluster3939,Cluster130
CAGL0E00847g,YDR170C,Cluster11004,Cluster9746
CAGL0E00847g,YDR170C,Cluster11004,Cluster9746
CAGL0E00781g,YDR172W,Cluster3415,Cluster8418
CAGL0E00781g,YDR172W,Cluster3415,Cluster8418
CAGL0E00737g,YDR174W,Cluster11005,Cluster11556
CAGL0E00737g,YDR174W,Cluster11005,Cluster11556
CAGL0E00715g,YDR175C,Cluster3937,Cluster11216
CAGL0E00715g,YDR175C,Cluster3937,Cluster11216
CAGL0E00693g,YDR176W,Cluster10269,Cluster9759
CAGL0E00693g,YDR176W,Cluster10269,Cluster9759
CAGL0E00671g,YDR177W,Cluster10275,Cluster9430
CAGL0E00671g,YDR177W,Cluster10275,Cluster9430
CAGL0M09427g,YBL102W,Cluster4322,Cluster7154
CAGL0M09427g,YBL102W,Cluster4322,Cluster7154
CAGL0F05863g,YDR178W,Cluster6306,Cluster8997
CAGL0F05863g,YDR178W,Cluster6306,Cluster8997
CAGL0E04548g,YOR020W-A,Cluster5633,Cluster11983
CAGL0E04548g,YOR020W-A,Cluster5633,Cluster11983
CAGL0F05841g,YDR179C,Cluster3401,Cluster8440
CAGL0F05841g,YDR179C,Cluster3401,Cluster8440
CAGL0F05775g,YDR181C,Cluster4912,Cluster3107
CAGL0F05775g,YDR181C,Cluster4912,Cluster3107
CAGL0F05753g,YDR182W,Cluster4906,Cluster6128
CAGL0F05753g,YDR182W,Cluster4906,Cluster6128
CAGL0F05731g,YDR183W,Cluster4910,Cluster9573
CAGL0F05731g,YDR183W,Cluster4910,Cluster9573
CAGL0F05709g,YDR184C,Cluster2096,Cluster10936
CAGL0F05709g,YDR184C,Cluster2096,Cluster10936
CAGL0G08195g,YDR185C,Cluster11143,Cluster4182
CAGL0G08195g,YDR185C,Cluster11143,Cluster4182
CAGL0H07293g,YDR314C,Cluster8726,Cluster819
CAGL0H07293g,YDR314C,Cluster8726,Cluster819
CAGL0E05170g,YGL157W,Cluster4887,Cluster1014
CAGL0E05170g,YGL157W,Cluster4887,Cluster1014
CAGL0M09449g,YBL101C,Cluster12212,Cluster992
CAGL0M09449g,YBL101C,Cluster12212,Cluster992
CAGL0G08272g,YDR188W,Cluster10989,Cluster3845
CAGL0G08272g,YDR188W,Cluster10989,Cluster3845
CAGL0F01419g,YIL013C,Cluster9554,Cluster9581
CAGL0F01419g,YIL013C,Cluster9554,Cluster9581
CAGL0F05643g,YDR190C,Cluster10401,Cluster8542
CAGL0F05643g,YDR190C,Cluster10401,Cluster8542
CAGL0F05599g,YDR192C,Cluster2730,Cluster5505
CAGL0F05599g,YDR192C,Cluster2730,Cluster5505
CAGL0L09845g,YKL023W,Cluster381,Cluster6790
CAGL0L09845g,YKL023W,Cluster381,Cluster6790
CAGL0F05577g,YDR194C,Cluster644,Cluster2418
CAGL0F05577g,YDR194C,Cluster644,Cluster2418
CAGL0G08382g,YDR195W,Cluster11620,Cluster3668
CAGL0G08382g,YDR195W,Cluster11620,Cluster3668
CAGL0F05533g,YDR197W,Cluster8519,Cluster8677
CAGL0F05533g,YDR197W,Cluster8519,Cluster8677
CAGL0F05467g,YDR201W,Cluster6305,Cluster8494
CAGL0F05467g,YDR201W,Cluster6305,Cluster8494
CAGL0F05357g,YDR207C,Cluster7743,Cluster496
CAGL0F05357g,YDR207C,Cluster7743,Cluster496
CAGL0F05335g,YDR208W,Cluster7169,Cluster11284
CAGL0F05335g,YDR208W,Cluster7169,Cluster11284
CAGL0F05329g,YDR210W,Cluster3506,Cluster7781
CAGL0F05329g,YDR210W,Cluster3506,Cluster7781
CAGL0F07887g,YDR212W,Cluster11760,Cluster10886
CAGL0F07887g,YDR212W,Cluster11760,Cluster10886
CAGL0C01199g,YDR213W,Cluster2751,Cluster111
CAGL0C01199g,YDR213W,Cluster2751,Cluster111
CAGL0E04906g,YDR214W,Cluster6572,Cluster5193
CAGL0E04906g,YDR214W,Cluster6572,Cluster5193
CAGL0E04862g,YDR217C,Cluster3641,Cluster9328
CAGL0E04862g,YDR217C,Cluster3641,Cluster9328
CAGL0E04818g,YDR219C,Cluster1390,Cluster9702
CAGL0E04818g,YDR219C,Cluster1390,Cluster9702
CAGL0E04796g,YDR221W,Cluster1389,Cluster7442
CAGL0E04796g,YDR221W,Cluster1389,Cluster7442
CAGL0E04774g,YDR222W,Cluster5236,Cluster490
CAGL0E04774g,YDR222W,Cluster5236,Cluster490
CAGL0C00759g,YDR223W,Cluster9908,Cluster3091
CAGL0C00759g,YDR223W,Cluster9908,Cluster3091
CAGL0K11462g,YDR224C,Cluster10124,Cluster168
CAGL0K11462g,YDR224C,Cluster10124,Cluster168
CAGL0K11440g,YDR225W,Cluster7922,Cluster1365
CAGL0K11440g,YDR225W,Cluster7922,Cluster1365
CAGL0K11374g,YDR228C,Cluster7921,Cluster1002
CAGL0K11374g,YDR228C,Cluster7921,Cluster1002
CAGL0K11363g,YDR229W,Cluster10119,Cluster6920
CAGL0K11363g,YDR229W,Cluster10119,Cluster6920
CAGL0K10978g,YDR234W,Cluster1662,Cluster12038
CAGL0K10978g,YDR234W,Cluster1662,Cluster12038
CAGL0M09537g,YBL095W,Cluster1837,Cluster3759
CAGL0M09537g,YBL095W,Cluster1837,Cluster3759
CAGL0K11000g,YDR235W,Cluster1415,Cluster8007
CAGL0K11000g,YDR235W,Cluster1415,Cluster8007
CAGL0K11022g,YDR236C,Cluster4971,Cluster8427
CAGL0K11022g,YDR236C,Cluster4971,Cluster8427
CAGL0K11044g,YDR237W,Cluster12048,Cluster5765
CAGL0K11044g,YDR237W,Cluster12048,Cluster5765
CAGL0K11088g,YDR238C,Cluster7646,Cluster1853
CAGL0K11088g,YDR238C,Cluster7646,Cluster1853
CAGL0K11110g,YDR239C,Cluster7647,Cluster2745
CAGL0K11110g,YDR239C,Cluster7647,Cluster2745
CAGL0K11198g,YDR243C,Cluster1227,Cluster1719
CAGL0K11198g,YDR243C,Cluster1227,Cluster1719
CAGL0K11209g,YDR244W,Cluster6644,Cluster9959
CAGL0K11209g,YDR244W,Cluster6644,Cluster9959
CAGL0K11231g,YDR245W,Cluster6647,Cluster6968
CAGL0K11231g,YDR245W,Cluster6647,Cluster6968
CAGL0M09515g,YBL093C,Cluster4316,Cluster7276
CAGL0M09515g,YBL093C,Cluster4316,Cluster7276
CAGL0I05390g,YDR247W,Cluster8356,Cluster746
CAGL0I05390g,YDR247W,Cluster8356,Cluster746
CAGL0K11297g,YDR248C,Cluster12350,Cluster1175
CAGL0K11297g,YDR248C,Cluster12350,Cluster1175
CAGL0K11319g,YDR249C,Cluster1070,Cluster9733
CAGL0K11319g,YDR249C,Cluster1070,Cluster9733
CAGL0L12452g,YDR251W,Cluster11142,Cluster9682
CAGL0L12452g,YDR251W,Cluster11142,Cluster9682
CAGL0L12540g,YDR252W,Cluster241,Cluster10390
CAGL0L12540g,YDR252W,Cluster241,Cluster10390
CAGL0L12562g,YDR253C,Cluster10971,Cluster10974
CAGL0L12562g,YDR253C,Cluster10971,Cluster10974
CAGL0K10868g,YDR256C,Cluster4438,Cluster2193
CAGL0K10868g,YDR256C,Cluster4438,Cluster2193
CAGL0M08822g,YDR258C,Cluster2931,Cluster7205
CAGL0M08822g,YDR258C,Cluster2931,Cluster7205
CAGL0M08756g,YDR261C,Cluster5782,Cluster9657
CAGL0M08756g,YDR261C,Cluster5782,Cluster9657
CAGL0M08734g,YDR262W,Cluster10373,Cluster10544
CAGL0M08734g,YDR262W,Cluster10373,Cluster10544
CAGL0M08668g,YDR266C,Cluster7244,Cluster2795
CAGL0M08668g,YDR266C,Cluster7244,Cluster2795
CAGL0M08624g,YDR268W,Cluster7248,Cluster4735
CAGL0M08624g,YDR268W,Cluster7248,Cluster4735
CAGL0L09933g,YDR273W,Cluster1085,Cluster1086
CAGL0L09933g,YDR273W,Cluster1085,Cluster1086
CAGL0L10043g,YDR277C,Cluster1377,Cluster11262
CAGL0L10043g,YDR277C,Cluster1377,Cluster11262
CAGL0D00242g,YAL058W,Cluster5821,Cluster6967
CAGL0D00242g,YAL058W,Cluster5821,Cluster6967
CAGL0H01177g,YDR284C,Cluster46,Cluster2606
CAGL0H01177g,YDR284C,Cluster46,Cluster2606
CAGL0H01111g,YDR286C,Cluster41,Cluster2776
CAGL0H01111g,YDR286C,Cluster41,Cluster2776
CAGL0H01067g,YDR288W,Cluster37,Cluster5580
CAGL0H01067g,YDR288W,Cluster37,Cluster5580
CAGL0H01221g,YDR289C,Cluster7490,Cluster11265
CAGL0H01221g,YDR289C,Cluster7490,Cluster11265
CAGL0H01243g,YDR291W,Cluster5675,Cluster3621
CAGL0H01243g,YDR291W,Cluster5675,Cluster3621
CAGL0H01265g,YDR292C,Cluster9818,Cluster10885
CAGL0H01265g,YDR292C,Cluster9818,Cluster10885
CAGL0H04565g,YBL090W,Cluster3053,Cluster6319
CAGL0H04565g,YBL090W,Cluster3053,Cluster6319
CAGL0H01309g,YDR294C,Cluster10403,Cluster9840
CAGL0H01309g,YDR294C,Cluster10403,Cluster9840
CAGL0H01353g,YDR296W,Cluster1704,Cluster4610
CAGL0H01353g,YDR296W,Cluster1704,Cluster4610
CAGL0H01397g,YDR298C,Cluster4642,Cluster8306
CAGL0H01397g,YDR298C,Cluster4642,Cluster8306
CAGL0H01419g,YDR299W,Cluster3022,Cluster6698
CAGL0H01419g,YDR299W,Cluster3022,Cluster6698
CAGL0H01441g,YDR300C,Cluster12006,Cluster423
CAGL0H01441g,YDR300C,Cluster12006,Cluster423
CAGL0H01463g,YDR301W,Cluster546,Cluster8860
CAGL0H01463g,YDR301W,Cluster546,Cluster8860
CAGL0G03619g,YBL089W,Cluster7584,Cluster8797
CAGL0G03619g,YBL089W,Cluster7584,Cluster8797
CAGL0H01529g,YDR304C,Cluster1947,Cluster7572
CAGL0H01529g,YDR304C,Cluster1947,Cluster7572
CAGL0G04169g,YDR306C,Cluster1414,Cluster11194
CAGL0G04169g,YDR306C,Cluster1414,Cluster11194
CAGL0J11022g,YDR308C,Cluster5732,Cluster8472
CAGL0J11022g,YDR308C,Cluster5732,Cluster8472
CAGL0J10956g,YDR310C,Cluster6309,Cluster6183
CAGL0J10956g,YDR310C,Cluster6309,Cluster6183
CAGL0J10934g,YDR311W,Cluster1066,Cluster9243
CAGL0J10934g,YDR311W,Cluster1066,Cluster9243
CAGL0J10890g,YDR312W,Cluster4329,Cluster592
CAGL0J10890g,YDR312W,Cluster4329,Cluster592
