qseqid,sseqid,pident,length,qlen,slen,evalue,bitscore,qcovs
CAGL0A00099g-T,root_001501;5247,100.0,5246,5246,5247,0.0,9831.0,100.0
CAGL0A00165g-T,root_005050;361,99.283,279,279,361,0.0,573.0,100.0
CAGL0A00187g-T,root_011327;635,32.489,711,756,636,2.66e-69,239.0,94.04761904761905
CAGL0A00209g-T,root_009958;718,76.338,710,726,719,0.0,1122.0,97.7961432506887
CAGL0A00231g-T,root_002934;677,32.018,659,793,677,4.57e-66,232.0,83.10214375788146
CAGL0A00253g-T,root_008367;235,44.068,236,223,236,2.4400000000000002e-58,183.0,105.82959641255604
CAGL0A00275g-T,root_009232;601,99.624,266,266,602,0.0,565.0,100.0
CAGL0A00297g-T,root_009600;190,46.591,176,198,191,6.15e-51,162.0,88.88888888888889
CAGL0A00319g-T,root_009440;503,45.279,519,509,504,3.48e-155,451.0,101.96463654223969
CAGL0A00341g-T,root_011234;173,53.801,171,189,174,3.65e-51,162.0,90.47619047619048
CAGL0A00363g-T,root_009926;785,73.503,785,784,786,0.0,1185.0,100.12755102040816
CAGL0A00385g-T,root_011323;1081,51.595,1097,1069,1082,0.0,1105.0,102.61927034611786
CAGL0A00407g-T,root_010507;634,100.0,254,254,635,0.0,531.0,100.0
CAGL0A00429g-T,root_012008;465,75.699,465,464,466,0.0,716.0,100.21551724137932
CAGL0A00451g-T,root_008442;1068,36.885,976,1107,1069,0.0,627.0,88.16621499548329
CAGL0A00473g-T,root_011683;888,47.25,891,786,889,0.0,672.0,113.3587786259542
CAGL0A00495g-T,root_008198;948,88.584,876,902,948,0.0,1568.0,97.11751662971176
CAGL0A00517g-T,root_008715;1173,61.396,1132,1122,1174,0.0,1364.0,100.89126559714796
CAGL0A00539g-T,root_009752;367,99.628,269,269,368,0.0,539.0,100.0
CAGL0A00561g-T,root_007684;418,38.534,423,412,418,8.54e-83,259.0,102.66990291262137
CAGL0A00583g-T,root_008236;659,41.379,58,646,659,1.01e-05,48.1,8.978328173374612
CAGL0A00605g-T,root_011084;1061,98.906,640,640,1062,0.0,1305.0,100.0
CAGL0A00627g-T,root_008061;218,48.039,204,217,218,9.920000000000001e-65,199.0,94.00921658986175
CAGL0A00649g-T,root_003770;128,98.425,127,127,128,1.14e-90,257.0,100.0
