species1,gene1,species2,gene2,cluster_id
K. lactis,gene:KLLA0_D16302g,C. albicans,orf19.357,Cluster100
C. albicans,orf19.1744,K. lactis,gene:KLLA0_C07150g,Cluster1006
C. albicans,orf19.5395,K. lactis,gene:KLLA0_E22683g,Cluster1007
K. lactis,gene:KLLA0_D13134g,C. albicans,orf19.5661,Cluster101
K. lactis,gene:KLLA0_E21825g,C. albicans,orf19.4299,Cluster1010
C. albicans,orf19.5927,K. lactis,gene:KLLA0_F07843g,Cluster1011
K. lactis,gene:KLLA0_E15093g,C. albicans,orf19.7107,Cluster1012
K. lactis,gene:KLLA0_C10010g,C. albicans,orf19.6861,Cluster1013
C. albicans,orf19.3831,K. lactis,gene:KLLA0_C14135g,Cluster1024
K. lactis,gene:KLLA0_C15213g,C. albicans,orf19.4373,Cluster1025
C. albicans,orf19.2707.1,K. lactis,gene:KLLA0_F15325g,Cluster1026
K. lactis,gene:KLLA0_F21120g,C. albicans,orf19.6341,Cluster1027
K. lactis,gene:KLLA0_F04081g,C. albicans,orf19.4825,Cluster1028
C. albicans,orf19.4718,K. lactis,gene:KLLA0_E10649g,Cluster1029
C. albicans,orf19.6679,K. lactis,gene:KLLA0_B12980g,Cluster103
K. lactis,gene:KLLA0_B12980g,C. albicans,orf19.4789,Cluster103
C. albicans,orf19.2435,K. lactis,gene:KLLA0_E24597g,Cluster1030
K. lactis,gene:KLLA0_F13178g,C. albicans,orf19.3286,Cluster1031
C. albicans,orf19.6061,K. lactis,gene:KLLA0_E24377g,Cluster1032
C. albicans,orf19.2443,K. lactis,gene:KLLA0_F02123g,Cluster1033
K. lactis,gene:KLLA0_F14124g,C. albicans,orf19.5160,Cluster1049
K. lactis,gene:KLLA0_F27621g,C. albicans,orf19.1801,Cluster1057
C. albicans,orf19.7238,K. lactis,gene:KLLA0_B00979g,Cluster1059
C. albicans,orf19.6701,K. lactis,gene:KLLA0_A08448g,Cluster1060
K. lactis,gene:KLLA0_D11792g,C. albicans,orf19.5198,Cluster1062
K. lactis,gene:KLLA0_E19229g,C. albicans,orf19.5530,Cluster1063
C. albicans,orf19.4297,K. lactis,gene:KLLA0_E21869g,Cluster1064
K. lactis,gene:KLLA0_E24465g,C. albicans,orf19.4478,Cluster1065
C. albicans,orf19.470,K. lactis,gene:KLLA0_D16368g,Cluster1066
C. albicans,orf19.6820,K. lactis,gene:KLLA0_D16368g,Cluster1066
C. albicans,orf19.5847,K. lactis,gene:KLLA0_F01078g,Cluster1084
C. albicans,orf19.754,K. lactis,gene:KLLA0_D03608g,Cluster1110
C. albicans,orf19.391,K. lactis,gene:KLLA0_A04169g,Cluster1111
C. albicans,orf19.7293,K. lactis,gene:KLLA0_C03828g,Cluster1112
C. albicans,orf19.926,K. lactis,gene:KLLA0_E16743g,Cluster1113
K. lactis,gene:KLLA0_F19602g,C. albicans,orf19.6985,Cluster1117
C. albicans,orf19.4835,K. lactis,gene:KLLA0_C09262g,Cluster1121
C. albicans,orf19.3521,K. lactis,gene:KLLA0_E02531g,Cluster1131
K. lactis,gene:KLLA0_E12607g,C. albicans,orf19.7578,Cluster1134
C. albicans,orf19.4519,K. lactis,gene:KLLA0_D12034g,Cluster1135
C. albicans,orf19.5236,K. lactis,gene:KLLA0_B12848g,Cluster1136
C. albicans,orf19.747,K. lactis,gene:KLLA0_E18987g,Cluster1137
C. albicans,orf19.5232,K. lactis,gene:KLLA0_E17799g,Cluster1138
C. albicans,orf19.3465,K. lactis,gene:KLLA0_B02002g,Cluster1139
K. lactis,gene:KLLA0_E00881g,C. albicans,orf19.6008,Cluster1140
C. albicans,orf19.3613,K. lactis,gene:KLLA0_F01925g,Cluster1141
K. lactis,gene:KLLA0_F12584g,C. albicans,orf19.4354,Cluster1142
K. lactis,gene:KLLA0_D18117g,C. albicans,orf19.4468,Cluster1143
C. albicans,orf19.4028,K. lactis,gene:KLLA0_E17205g,Cluster1144
C. albicans,orf19.6901,K. lactis,gene:KLLA0_F20229g,Cluster1146
C. albicans,orf19.4589,K. lactis,gene:KLLA0_E07789g,Cluster1148
K. lactis,gene:KLLA0_E07789g,C. albicans,orf19.7323,Cluster1148
C. albicans,orf19.5227,K. lactis,gene:KLLA0_F15554g,Cluster116
C. albicans,orf19.3265,K. lactis,gene:KLLA0_F19404g,Cluster1160
K. lactis,gene:KLLA0_F19646g,C. albicans,orf19.3265.1,Cluster1161
K. lactis,gene:KLLA0_F18436g,C. albicans,orf19.6752,Cluster1162
C. albicans,orf19.1039,K. lactis,gene:KLLA0_D09460g,Cluster1163
K. lactis,gene:KLLA0_D03696g,C. albicans,orf19.4311,Cluster1164
K. lactis,gene:KLLA0_D09625g,C. albicans,orf19.4582,Cluster1165
K. lactis,gene:KLLA0_F19888g,C. albicans,orf19.4697,Cluster1166
K. lactis,gene:KLLA0_E22089g,C. albicans,orf19.3567,Cluster1167
C. albicans,orf19.3567,K. lactis,gene:KLLA0_B14729g,Cluster1167
K. lactis,gene:KLLA0_A11594g,C. albicans,orf19.4123,Cluster1168
K. lactis,gene:KLLA0_C18722g,C. albicans,orf19.5248,Cluster1169
C. albicans,orf19.7440,K. lactis,gene:KLLA0_B14256g,Cluster117
K. lactis,gene:KLLA0_D06831g,C. albicans,orf19.798,Cluster1170
C. albicans,orf19.7448,K. lactis,gene:KLLA0_C18744g,Cluster118
C. albicans,orf19.1007,K. lactis,gene:KLLA0_B06952g,Cluster1185
C. albicans,orf19.7603,K. lactis,gene:KLLA0_F08767g,Cluster1187
C. albicans,orf19.4273,K. lactis,gene:KLLA0_D16918g,Cluster1188
C. albicans,orf19.1966,K. lactis,gene:KLLA0_F05962g,Cluster1189
K. lactis,gene:KLLA0_E24729g,C. albicans,orf19.4605,Cluster119
C. albicans,orf19.3132,K. lactis,gene:KLLA0_F20746g,Cluster1190
K. lactis,gene:KLLA0_A05885g,C. albicans,orf19.4897,Cluster1191
K. lactis,gene:KLLA0_F00880g,C. albicans,orf19.5995,Cluster1194
C. albicans,orf19.3921,K. lactis,gene:KLLA0_C06996g,Cluster120
K. lactis,gene:KLLA0_F22605g,C. albicans,orf19.2678,Cluster1205
C. albicans,orf19.6539,K. lactis,gene:KLLA0_C15895g,Cluster1207
