gene_pair,in_ygob,in_synergy
"('KLLA0D05863g', 'YFL048C')",True,True
"('KLLA0C15587g', 'YGR082W')",True,True
"('KLLA0E06029g', 'YJR091C')",True,True
"('KLLA0F13068g', 'YDR217C')",True,True
"('KLLA0D19536g', 'YNL223W')",True,True
"('KLLA0E17887g', 'YOL081W')",False,True
"('KLLA0C14157g', 'YMR308C')",True,True
"('KLLA0E04269g', 'YIL036W')",False,True
"('KLLA0F01188g', 'YIL066C')",False,True
"('KLLA0F12914g', 'YLL002W')",True,True
"('KLLA0B11099g', 'YPR135W')",True,True
"('KLLA0F18700g', 'YBR058C')",True,True
"('KLLA0B08151g', 'YGR058W')",True,True
"('KLLA0D11924g', 'YDR252W')",True,True
"('KLLA0F05423g', 'YDL183C')",True,True
"('KLLA0F16258g', 'YOR054C')",False,True
"('KLLA0B02915g', 'YDL076C')",True,True
"('KLLA0D08415g', 'YNL183C')",False,True
"('KLLA0B06182g', 'YGR027C')",True,False
"('KLLA0D16984g', 'YLR143W')",True,True
"('KLLA0C11825g', 'YDR082W')",True,True
"('KLLA0F18238g', 'YHL023C')",True,True
"('KLLA0B05082g', 'YML062C')",True,True
"('KLLA0C14366g', 'YOR320C')",True,True
"('KLLA0A11198g', 'YEL012W')",True,True
"('KLLA0C14608g', 'YHR065C')",True,True
"('KLLA0A01177g', 'YFR039C')",True,False
"('KLLA0D18909g', 'YNL202W')",True,True
"('KLLA0D18887g', 'YNL201C')",True,True
"('KLLA0A03377g', 'YAL049C')",True,True
"('KLLA0E08515g', 'YIL096C')",True,True
"('KLLA0E09725g', 'YJR011C')",True,False
"('KLLA0F13684g', 'YMR088C')",True,True
"('KLLA0F06853g', 'YGL104C')",False,True
"('KLLA0E16061g', 'YGR218W')",True,True
"('KLLA0F08833g', 'YFL028C')",True,True
"('KLLA0B11946g', 'YPR054W')",True,True
"('KLLA0F10912g', 'YIL159W')",True,True
"('KLLA0D07304g', 'YOR231W')",True,False
"('KLLA0E14367g', 'YFL002C')",True,True
"('KLLA0D06941g', 'YPL131W')",True,True
"('KLLA0A08063g', 'YJR054W')",True,True
"('KLLA0C16181g', 'YMR177W')",True,True
"('KLLA0E19889g', 'YMR318C')",False,True
"('KLLA0D09240g', 'YOR178C')",False,True
"('KLLA0E22111g', 'YEL038W')",True,True
"('KLLA0F21142g', 'YBR152W')",True,False
"('KLLA0B10934g', 'YPR143W')",True,True
"('KLLA0D15158g', 'YGR099W')",True,True
"('KLLA0F03531g', 'YIL115C')",True,True
"('KLLA0D09647g', 'YJR013W')",True,True
"('KLLA0B12672g', 'YMR106C')",True,True
"('KLLA0E07943g', 'YNL078W')",True,True
"('KLLA0F25432g', 'YHL019C')",True,True
"('KLLA0F17435g', 'YMR128W')",True,True
"('KLLA0C00847g', 'YCL050C')",True,False
"('KLLA0E07987g', 'YIR034C')",True,True
"('KLLA0E08999g', 'YGL150C')",True,True
"('KLLA0B02651g', 'YKL185W')",True,True
"('KLLA0B08657g', 'YMR257C')",True,True
"('KLLA0C01232g', 'YDR514C')",False,True
"('Klac_CEN6', 'Scer_CEN10')",True,False
"('KLLA0F13156g', 'YDR219C')",True,True
"('KLLA0F27643g', 'YER051W')",True,True
"('KLLA0E13047g', 'YKR092C')",True,True
"('KLLA0C07799g', 'YER072W')",True,True
"('KLLA0E11265g', 'YMR261C')",False,True
"('KLLA0F21956g', 'YGR198W')",True,True
"('KLLA0D19580g', 'YDL239C')",True,False
"('KLLA0A01001g', 'YFR044C')",True,True
"('KLLA0F14190g', 'YJL095W')",True,True
"('KLLA0B01540g', 'YML025C')",True,True
"('KLLA0E17579g', 'YDR006C')",True,True
"('KLLA0B11231g', 'YPR132W')",False,True
"('KLLA0A04235g', 'YDR211W')",True,False
"('KLLA0D16049g', 'YFR032C')",True,True
"('KLLA0E13553g', 'YER124C')",True,True
"('KLLA0D07964g', 'YNL165W')",True,True
"('Klac_YGOB_Anc_8.858', 'YML123C')",True,False
"('KLLA0D12892g', 'YMR187C')",True,True
"('KLLA0B08415g', 'YPR063C')",True,True
"('KLLA0E17535g', 'YDR005C')",True,True
"('KLLA0C11847g', 'YDR083W')",True,True
"('KLLA0C16665g', 'YLR207W')",True,True
"('KLLA0E09681g', 'YJR004C')",True,True
"('KLLA0B02310g', 'YGL064C')",True,True
"('KLLA0C08305g', 'YER059W')",True,False
"('KLLA0D14685g', 'YGR088W')",True,True
"('KLLA0E02861g', 'YDR382W')",True,True
"('KLLA0A04631g', 'YDR119W')",True,True
"('KLLA0D16830g', 'YDR160W')",True,True
"('KLLA0E17953g', 'YKL020C')",False,True
"('KLLA0C17688g', 'YER168C')",True,True
"('KLLA0B09702g', 'YDR011W')",False,True
"('KLLA0E24597g', 'YPL106C')",False,True
"('Klac_YGOB_YNL146W', 'YNL146W')",True,False
"('KLLA0E03851g', 'YPR155C')",True,True
"('KLLA0C06743g', 'YDR402C')",True,True
"('KLLA0D14421g', 'YOL030W')",True,False
"('KLLA0B01287g', 'YDR440W')",True,True
"('KLLA0E11485g', 'YHR028C')",True,True
"('KLLA0F01342g', 'YBR272C')",True,True
"('KLLA0C15961g', 'YMR183C')",True,True
"('KLLA0F11682g', 'YPR015C')",False,True
"('KLLA0F04653g', 'YIL132C')",True,True
"('KLLA0B08778g', 'YMR252C')",True,False
"('KLLA0F03553g', 'YNL055C')",False,True
"('Klac_6.trna34W', 'Scer_11.trna8W')",True,False
"('KLLA0C07744g', 'YER074W-A')",True,True
"('KLLA0D13464g', 'YIR004W')",True,True
"('KLLA0F04499g', 'YNL067W')",True,False
"('KLLA0D14058g', 'YEL007W')",True,False
"('KLLA0E03147g', 'YOR137C')",True,True
"('KLLA0C02915g', 'YNL250W')",True,True
