cgla_gene,scer_gene,cluster
CAGL0D00220g,YAL059W,Cluster8808
CAGL0D00220g,YAL059W,Cluster8808
CAGL0E00913g,YDR168W,Cluster11192
CAGL0E00913g,YDR168W,Cluster11192
CAGL0E00759g,YDR173C,Cluster8070
CAGL0E00759g,YDR173C,Cluster8070
CAGL0B00418g,YCL057W,Cluster4032
CAGL0B00418g,YCL057W,Cluster4032
CAGL0F02519g,YJL206C,Cluster3512
CAGL0F02519g,YJL206C,Cluster3512
CAGL0I04862g,YDR011W,Cluster9680
CAGL0I04862g,YDR011W,Cluster9680
CAGL0F05819g,YDR179W-A,Cluster5414
CAGL0F05819g,YDR179W-A,Cluster5414
CAGL0F05797g,YDR180W,Cluster3331
CAGL0F05797g,YDR180W,Cluster3331
CAGL0F05687g,YDR186C,Cluster10241
CAGL0F05687g,YDR186C,Cluster10241
CAGL0F05665g,YDR189W,Cluster4781
CAGL0F05665g,YDR189W,Cluster4781
CAGL0A02277g,YCL049C,Cluster3122
CAGL0A02277g,YCL049C,Cluster3122
CAGL0F05621g,YDR191W,Cluster248
CAGL0F05621g,YDR191W,Cluster248
CAGL0F05555g,YDR196C,Cluster10839
CAGL0F05555g,YDR196C,Cluster10839
CAGL0F05511g,YDR198C,Cluster10113
CAGL0F05511g,YDR198C,Cluster10113
CAGL0M09581g,YBL099W,Cluster11332
CAGL0M09581g,YBL099W,Cluster11332
CAGL0F05489g,YDR200C,Cluster1827
CAGL0F05489g,YDR200C,Cluster1827
CAGL0F05445g,YDR202C,Cluster1562
CAGL0F05445g,YDR202C,Cluster1562
CAGL0F05423g,YDR204W,Cluster12175
CAGL0F05423g,YDR204W,Cluster12175
CAGL0F05401g,YDR205W,Cluster8556
CAGL0F05401g,YDR205W,Cluster8556
CAGL0F05379g,YDR206W,Cluster9647
CAGL0F05379g,YDR206W,Cluster9647
CAGL0C01221g,YDR211W,Cluster6490
CAGL0C01221g,YDR211W,Cluster6490
CAGL0E04884g,YDR216W,Cluster6932
CAGL0E04884g,YDR216W,Cluster6932
CAGL0M09559g,YBL097W,Cluster10006
CAGL0M09559g,YBL097W,Cluster10006
CAGL0K11418g,YDR226W,Cluster703
CAGL0K11418g,YDR226W,Cluster703
CAGL0K11396g,YDR227W,Cluster7167
CAGL0K11396g,YDR227W,Cluster7167
CAGL0K11341g,YDR231C,Cluster2651
CAGL0K11341g,YDR231C,Cluster2651
CAGL0B02607g,YDR232W,Cluster9116
CAGL0B02607g,YDR232W,Cluster9116
CAGL0K11132g,YDR240C,Cluster9951
CAGL0K11132g,YDR240C,Cluster9951
CAGL0K11253g,YDR246W,Cluster12241
CAGL0K11253g,YDR246W,Cluster12241
CAGL0B02673g,YDR254W,Cluster5178
CAGL0B02673g,YDR254W,Cluster5178
CAGL0B02695g,YDR255C,Cluster5964
CAGL0B02695g,YDR255C,Cluster5964
CAGL0H04521g,YBL092W,Cluster2814
CAGL0H04521g,YBL092W,Cluster2814
CAGL0M08844g,YDR257C,Cluster10227
CAGL0M08844g,YDR257C,Cluster10227
CAGL0M08778g,YDR260C,Cluster10265
CAGL0M08778g,YDR260C,Cluster10265
CAGL0H08085g,YDR263C,Cluster904
CAGL0H08085g,YDR263C,Cluster904
