cluster_id,genes,gene_list,size,species_count
Cluster1,gene-YNCM0023C,['gene-YNCM0023C'],1,1
Cluster2,orf19.6237 CAGL0J11242g gene-YNL180C gene:KLLA0_D08327g,"['orf19.6237', 'CAGL0J11242g', 'gene-YNL180C', 'gene:KLLA0_D08327g']",4,4
Cluster3,gene:KLLA0_F22671g,['gene:KLLA0_F22671g'],1,1
Cluster4,gene-YNCL0036C,['gene-YNCL0036C'],1,1
Cluster5,gene-YNCJ0015W,['gene-YNCJ0015W'],1,1
Cluster6,gene-YEL069C,['gene-YEL069C'],1,1
Cluster7,CAGL0E00803g gene-YDR171W,"['CAGL0E00803g', 'gene-YDR171W']",2,2
Cluster8,orf19.1090,['orf19.1090'],1,1
Cluster9,orf19.1105.2,['orf19.1105.2'],1,1
Cluster10,gene-YNCN0010C,['gene-YNCN0010C'],1,1
Cluster11,orf19.11,['orf19.11'],1,1
Cluster12,orf19.1105,['orf19.1105'],1,1
Cluster13,gene-YNCN0004W,['gene-YNCN0004W'],1,1
Cluster14,gene-YNCO0002W gene-YNCJ0001C CAGL0C04070r,"['gene-YNCO0002W', 'gene-YNCJ0001C', 'CAGL0C04070r']",3,2
Cluster15,gene-YNCI0009W,['gene-YNCI0009W'],1,1
Cluster16,gene-YNCP0006C,['gene-YNCP0006C'],1,1
Cluster17,gene:KLLA0_D09889g CAGL0F07711g gene-YMR166C orf19.4159,"['gene:KLLA0_D09889g', 'CAGL0F07711g', 'gene-YMR166C', 'orf19.4159']",4,4
Cluster18,orf19.7545,['orf19.7545'],1,1
Cluster19,gene-YGR027W-A,['gene-YGR027W-A'],1,1
Cluster20,gene-YCR041W,['gene-YCR041W'],1,1
Cluster21,gene-YER076C,['gene-YER076C'],1,1
Cluster22,CAGL0A00649g,['CAGL0A00649g'],1,1
Cluster23,gene-YNCC0015W,['gene-YNCC0015W'],1,1
Cluster24,gene-YBL100W-C,['gene-YBL100W-C'],1,1
Cluster25,gene:KLLA0_A07645g,['gene:KLLA0_A07645g'],1,1
Cluster26,gene:KLLA0_F16665g,['gene:KLLA0_F16665g'],1,1
Cluster27,orf19.2371,['orf19.2371'],1,1
Cluster28,orf19.3255,['orf19.3255'],1,1
Cluster29,orf19.3254,['orf19.3254'],1,1
Cluster30,gene-YNCP0026W,['gene-YNCP0026W'],1,1
Cluster31,gene:KLLA0_D03740g,['gene:KLLA0_D03740g'],1,1
Cluster32,gene-YNCK0017W CAGL0M11132r CAGL0I08657r,"['gene-YNCK0017W', 'CAGL0M11132r', 'CAGL0I08657r']",3,2
Cluster33,CAGL0G05522g,['CAGL0G05522g'],1,1
Cluster34,gene-YOR152C,['gene-YOR152C'],1,1
Cluster35,CAGL0C01133g,['CAGL0C01133g'],1,1
Cluster36,orf19.344,['orf19.344'],1,1
Cluster37,orf19.3439,['orf19.3439'],1,1
Cluster38,gene-YNCM0036C,['gene-YNCM0036C'],1,1
Cluster39,gene-YMR272W-B,['gene-YMR272W-B'],1,1
Cluster40,gene:KLLA0_E21913g,['gene:KLLA0_E21913g'],1,1
Cluster41,gene-YJR153W,['gene-YJR153W'],1,1
Cluster42,gene-YJR154W,['gene-YJR154W'],1,1
Cluster43,gene-YGL194C-A,['gene-YGL194C-A'],1,1
Cluster44,orf19.4376,['orf19.4376'],1,1
Cluster45,orf19.3605,['orf19.3605'],1,1
Cluster46,orf19.3610,['orf19.3610'],1,1
Cluster47,orf19.3611,['orf19.3611'],1,1
Cluster48,orf19.4913,['orf19.4913'],1,1
Cluster49,gene:KLLA0_F21406g gene-YJL112W CAGL0G04345g,"['gene:KLLA0_F21406g', 'gene-YJL112W', 'CAGL0G04345g']",3,3
Cluster50,gene:KLLA0_F21076g CAGL0I07821g gene-YOL087C,"['gene:KLLA0_F21076g', 'CAGL0I07821g', 'gene-YOL087C']",3,3
Cluster51,gene:KLLA0_E20967g gene-YOL138C CAGL0E01485g,"['gene:KLLA0_E20967g', 'gene-YOL138C', 'CAGL0E01485g']",3,3
Cluster52,CAGL0J03806g gene-YOR230W,"['CAGL0J03806g', 'gene-YOR230W']",2,2
Cluster53,gene:KLLA0_D07282g CAGL0J03960g gene-YOR229W,"['gene:KLLA0_D07282g', 'CAGL0J03960g', 'gene-YOR229W']",3,3
Cluster54,CAGL0K11638g,['CAGL0K11638g'],1,1
Cluster55,CAGL0L03201g,['CAGL0L03201g'],1,1
Cluster56,CAGL0I03454g,['CAGL0I03454g'],1,1
Cluster57,CAGL0M02563g gene-YPL139C,"['CAGL0M02563g', 'gene-YPL139C']",2,2
Cluster58,orf19.2651 CAGL0L05148g gene-YKL081W,"['orf19.2651', 'CAGL0L05148g', 'gene-YKL081W']",3,3
Cluster59,orf19.7382 gene:KLLA0_D11594g gene-YGR201C CAGL0L12760g gene-YPL048W,"['orf19.7382', 'gene:KLLA0_D11594g', 'gene-YGR201C', 'CAGL0L12760g', 'gene-YPL048W']",5,4
Cluster60,orf19.2795 CAGL0H07975g gene-YDL051W gene:KLLA0_E01277g,"['orf19.2795', 'CAGL0H07975g', 'gene-YDL051W', 'gene:KLLA0_E01277g']",4,4
Cluster61,orf19.3089 CAGL0G08195g gene-YLR168C gene-YDR185C gene:KLLA0_D18348g,"['orf19.3089', 'CAGL0G08195g', 'gene-YLR168C', 'gene-YDR185C', 'gene:KLLA0_D18348g']",5,4
Cluster62,orf19.4903 CAGL0M03047g gene-YMR281W gene:KLLA0_D01430g,"['orf19.4903', 'CAGL0M03047g', 'gene-YMR281W', 'gene:KLLA0_D01430g']",4,4
Cluster63,orf19.4904 gene:KLLA0_F19063g gene-YLR085C CAGL0L12166g,"['orf19.4904', 'gene:KLLA0_F19063g', 'gene-YLR085C', 'CAGL0L12166g']",4,4
Cluster64,gene-YJL002C CAGL0D05742g gene:KLLA0_F12980g orf19.6988,"['gene-YJL002C', 'CAGL0D05742g', 'gene:KLLA0_F12980g', 'orf19.6988']",4,4
Cluster65,orf19.6554 gene:KLLA0_D06985g gene-YOR220W CAGL0J04158g,"['orf19.6554', 'gene:KLLA0_D06985g', 'gene-YOR220W', 'CAGL0J04158g']",4,4
Cluster66,orf19.6031 gene:KLLA0_F06446g CAGL0I05830g gene-YNR006W,"['orf19.6031', 'gene:KLLA0_F06446g', 'CAGL0I05830g', 'gene-YNR006W']",4,4
Cluster67,orf19.3104 CAGL0M06347g gene-YBR183W gene:KLLA0_E23981g gene-YPL087W CAGL0H05599g,"['orf19.3104', 'CAGL0M06347g', 'gene-YBR183W', 'gene:KLLA0_E23981g', 'gene-YPL087W', 'CAGL0H05599g']",6,4
Cluster68,tT(AGU)3,['tT(AGU)3'],1,0
Cluster69,tT(AGU)1,['tT(AGU)1'],1,0
Cluster70,gene-YNCJ0004C CAGL0M05871r,"['gene-YNCJ0004C', 'CAGL0M05871r']",2,2
Cluster71,tT(AGU)4,['tT(AGU)4'],1,0
Cluster72,gene:KLLA0_E24927g,['gene:KLLA0_E24927g'],1,1
Cluster73,gene:KLLA0_E24905g,['gene:KLLA0_E24905g'],1,1
Cluster74,gene:KLLA0_C18711g,['gene:KLLA0_C18711g'],1,1
Cluster75,gene:KLLA0_B03674g,['gene:KLLA0_B03674g'],1,1
Cluster76,gene:KLLA0_D12276g gene-YLR199C CAGL0A03993g,"['gene:KLLA0_D12276g', 'gene-YLR199C', 'CAGL0A03993g']",3,3
