gene_pair,in_ygob,in_synergy
"('CAGL0H01529g', 'YNR028W')",False,True
"('Cgla_9.trna18R', 'Scer_5.trna19R')",True,False
"('CAGL0I05412g', 'YKL057C')",True,True
"('CAGL0I09548g', 'YGL129C')",True,True
"('CAGL0M09757g', 'YLR287C')",True,True
"('CAGL0J09768g', 'YDL200C')",True,True
"('CAGL0M12815g', 'YIL073C')",True,True
"('CAGL0J07414g', 'YNL230C')",True,True
"('CAGL0M04807g', 'YOR290C')",True,True
"('CAGL0M09779g', 'YLR286C')",True,True
"('CAGL0M09361g', 'YBL105C')",True,True
"('CAGL0C03267g', 'YLL043W')",True,False
"('CAGL0E05874g', 'YPL217C')",True,True
"('CAGL0C03245g', 'YLL042C')",True,True
"('CAGL0G04917g', 'YLR369W')",True,True
"('CAGL0F03905g', 'YMR216C')",True,True
"('CAGL0I04378g', 'YJL139C')",False,True
"('CAGL0K11770g', 'YDR026C')",False,True
"('CAGL0L01353g', 'YEL034W')",True,True
"('CAGL0K00781g', 'YGR210C')",True,True
"('CAGL0H05423g', 'YBR197C')",True,True
"('CAGL0K06567g', 'YHR010W')",False,True
"('CAGL0M10505g', 'YDL002C')",True,True
"('CAGL0M08294g', 'YKL173W')",True,True
"('CAGL0F07337g', 'YGL116W')",True,True
"('CAGL0E03289g', 'YGR162W')",False,True
"('CAGL0M09614g', 'YMR157C')",True,True
"('CAGL0L08932g', 'YPL004C')",True,True
"('CAGL0A02024g', 'YOL025W')",True,True
"('CAGL0A00627g', 'YGL002W')",False,True
"('CAGL0K11726g', 'YDR023W')",True,True
"('CAGL0J01958g', 'YIR003W')",True,True
"('CAGL0K02849g', 'YHR001W')",True,True
"('CAGL0F05775g', 'YDR181C')",True,True
"('CAGL0B01925g', 'YDR122W')",True,True
"('CAGL0C00319g', 'YJL172W')",True,True
"('CAGL0M03245g', 'YEL020C')",True,True
"('CAGL0L08954g', 'YPL003W')",True,True
"('CAGL0M03817g', 'YNL304W')",True,True
"('CAGL0F03113g', 'YDR425W')",True,True
"('CAGL0M06347g', 'YPL087W')",False,True
"('CAGL0H05643g', 'YPL090C')",False,True
"('CAGL0E05038g', 'YGL150C')",True,True
"('Cgla_9.trna26M', 'Scer_15.trna17M')",True,False
"('CAGL0D05896g', 'YGR178C')",True,True
"('CAGL0M01056g', 'YDR339C')",True,True
"('CAGL0F07073g', 'YGL123W')",True,True
"('CAGL0D03762g', 'YDR309C')",True,True
"('CAGL0M12837g', 'YER081W')",True,True
"('CAGL0J00429g', 'YHR051W')",True,True
"('CAGL0L04510g', 'YOR167C')",False,True
"('CAGL0J06666g', 'YML108W')",True,True
"('CAGL0M08360g', 'YJL165C')",True,False
"('CAGL0M10593g', 'YNR020C')",True,True
"('CAGL0J08118g', 'YNL265C')",True,True
"('CAGL0J07238g', 'YOR369C')",True,True
"('CAGL0F09053g', 'YHR204W')",True,True
"('CAGL0G07755g', 'YGR099W')",True,True
"('CAGL0D02046g', 'YKL137W')",True,True
"('CAGL0I10703r', 'YNCD0015C')",False,True
"('CAGL0L04378g', 'YOR161C')",True,True
"('CAGL0C01155g', 'YLR224W')",True,True
"('CAGL0L06710g', 'YBR147W')",False,True
"('CAGL0M01562g', 'YDR391C')",False,True
"('CAGL0I03916g', 'YDL192W')",False,True
"('CAGL0E03982g', 'YHL035C')",True,False
"('CAGL0I00682g', 'YMR150C')",True,True
"('CAGL0G02739g', 'YIL101C')",True,True
"('CAGL0C01991g', 'YFR046C')",True,True
"('CAGL0B01551g', 'YDR141C')",True,True
"('CAGL0H04191g', 'YML081C-A')",True,True
"('CAGL0K08052g', 'YPR093C')",True,True
"('CAGL0K10296g', 'YOR126C')",True,True
"('CAGL0H09768g', 'YER004W')",True,True
"('CAGL0M01980g', 'YPL164C')",True,True
"('CAGL0H00242g', 'YPR181C')",False,True
"('CAGL0H05357g', 'YPL074W')",True,True
"('CAGL0K02585g', 'YHL009C')",True,True
