species1,gene1,species2,gene2,cluster_id
C. glabrata,CAGL0I10472g,S. cerevisiae,gene-YGR132C,Cluster100
S. cerevisiae,gene-YOR278W,C. glabrata,CAGL0L11000g,Cluster1006
C. glabrata,CAGL0M08008g,S. cerevisiae,gene-YJR033C,Cluster1007
S. cerevisiae,gene-YDR268W,C. glabrata,CAGL0M08624g,Cluster1010
S. cerevisiae,gene-YOL040C,C. glabrata,CAGL0F01045g,Cluster1011
C. glabrata,CAGL0L05500g,S. cerevisiae,gene-YJL122W,Cluster1012
S. cerevisiae,gene-YOR249C,C. glabrata,CAGL0K09108g,Cluster1013
S. cerevisiae,gene-YAL003W,C. glabrata,CAGL0F08547g,Cluster102
S. cerevisiae,gene-YNCG0032W,C. glabrata,CAGL0E03333r,Cluster1021
C. glabrata,CAGL0G00880r,S. cerevisiae,gene-YNCB0018W,Cluster1022
S. cerevisiae,gene-YNCK0005C,C. glabrata,CAGL0L01815r,Cluster1023
C. glabrata,CAGL0G00264g,S. cerevisiae,gene-YGR280C,Cluster1024
C. glabrata,CAGL0K11022g,S. cerevisiae,gene-YDR236C,Cluster1025
S. cerevisiae,gene-YGR183C,C. glabrata,CAGL0H09328g,Cluster1026
S. cerevisiae,gene-YBR153W,C. glabrata,CAGL0F05203g,Cluster1027
S. cerevisiae,gene-YIL098C,C. glabrata,CAGL0G02695g,Cluster1028
C. glabrata,CAGL0A01430g,S. cerevisiae,gene-YGL026C,Cluster1029
C. glabrata,CAGL0M06083g,S. cerevisiae,gene-YBR169C,Cluster1030
C. glabrata,CAGL0M06083g,S. cerevisiae,gene-YPL106C,Cluster1030
S. cerevisiae,gene-YDR221W,C. glabrata,CAGL0E04796g,Cluster1031
C. glabrata,CAGL0H05885g,S. cerevisiae,gene-YPL103C,Cluster1032
C. glabrata,CAGL0I09218g,S. cerevisiae,gene-YBR260C,Cluster1033
S. cerevisiae,gene-YOR073W,C. glabrata,CAGL0K05445g,Cluster1036
S. cerevisiae,gene-YJL098W,C. glabrata,CAGL0L03586g,Cluster1049
C. glabrata,CAGL0L03586g,S. cerevisiae,gene-YKR028W,Cluster1049
