gene_pair,in_ygob,in_synergy
"('KLLA0E09395g', 'orf19.7598')",True,True
"('KLLA0E18151g', 'orf19.2778')",True,True
"('KLLA0E05809g', 'orf19.2519')",True,True
"('KLLA0A09449g', 'orf19.4335')",True,True
"('KLLA0D16632g', 'orf19.6587')",True,True
"('KLLA0E19229g', 'orf19.5530')",True,True
"('KLLA0C03498g', 'orf19.6344')",True,True
"('KLLA0E01893g', 'orf19.7065')",True,True
"('KLLA0F15455g', 'orf19.2698')",True,True
"('KLLA0B09702g', 'orf19.5079')",False,True
"('KLLA0D13442g', 'orf19.4894')",True,True
"('KLLA0A00572g', 'orf19.4441')",True,True
"('KLLA0C14630g', 'orf19.5297')",True,True
"('KLLA0F20680g', 'orf19.2745')",True,True
"('KLLA0F14212g', 'orf19.4175')",True,True
"('KLLA0B13090g', 'orf19.4403')",True,True
"('KLLA0F22176g', 'orf19.1662')",True,True
"('KLLA0E08383g', 'orf19.2606')",True,True
"('KLLA0E14983g', 'orf19.2199')",True,True
"('KLLA0B12584g', 'orf19.1613')",True,True
"('KLLA0E20175g', 'orf19.1336.2')",True,True
"('KLLA0F05005g', 'orf19.2720')",True,True
"('KLLA0D13464g', 'orf19.991')",True,True
"('KLLA0F16797g', 'orf19.2889')",True,True
"('KLLA0F13684g', 'orf19.1308')",True,False
"('KLLA0D09559g', 'orf19.2013')",True,True
"('KLLA0C04510g', 'orf19.5985')",True,True
"('KLLA0E06051g', 'orf19.3944')",True,True
"('KLLA0D16368g', 'orf19.6820')",False,True
"('KLLA0B04543g', 'orf19.7106')",True,False
"('KLLA0E23365g', 'orf19.4645')",True,True
"('KLLA0B09240g', 'orf19.2969')",True,True
"('KLLA0C15565g', 'orf19.2237.1')",True,False
"('KLLA0C17204g', 'orf19.2410')",True,True
"('KLLA0F18975g', 'orf19.3765')",True,True
"('KLLA0C12837g', 'orf19.4628')",True,True
"('KLLA0F23375g', 'orf19.4412')",True,True
"('KLLA0E12717g', 'orf19.1300')",True,True
"('KLLA0B09944g', 'orf19.6049')",True,False
"('KLLA0B12309g', 'orf19.2796')",True,True
"('KLLA0A08107g', 'orf19.6082')",True,True
"('KLLA0F18612g', 'orf19.5357')",True,True
"('KLLA0D15059g', 'orf19.3051')",False,True
"('KLLA0D08283g', 'orf19.3366')",True,True
"('KLLA0A03465g', 'orf19.6016')",True,True
"('KLLA0D09174g', 'orf19.6639')",True,True
"('KLLA0D00792g', 'orf19.5597')",True,True
"('KLLA0B10714g', 'orf19.5268')",True,True
"('KLLA0E09593g', 'orf19.3852')",False,True
"('KLLA0F25828g', 'orf19.6506')",True,True
"('KLLA0F04818g', 'orf19.2885')",True,True
"('KLLA0B03003g', 'orf19.6968')",True,False
"('KLLA0A06259g', 'orf19.3686')",True,True
"('KLLA0F16401g', 'orf19.3528')",True,True
"('KLLA0D03696g', 'orf19.4311')",True,True
"('KLLA0D02464g', 'orf19.2047')",True,True
"('KLLA0E06821g', 'orf19.3421.1')",True,True
"('KLLA0D03817g', 'orf19.7675')",True,True
"('KLLA0A04961g', 'orf19.7498')",True,True
"('KLLA0E10781g', 'orf19.2314')",True,True
"('KLLA0C02607g', 'orf19.2369')",True,True
"('KLLA0C11979g', 'orf19.6828')",True,True
"('KLLA0F25564g', 'orf19.2128')",True,True
"('KLLA0C18843g', 'orf19.5732')",True,True
"('KLLA0C06138g', 'orf19.6010')",True,True
"('KLLA0F07799g', 'orf19.809')",True,True
"('KLLA0D19118g', 'orf19.3332')",True,False
"('KLLA0E10539g', 'orf19.2886')",True,False
"('KLLA0A01672g', 'orf19.1182')",True,True
"('KLLA0E02707g', 'orf19.1847')",True,True
"('KLLA0A08404g', 'orf19.6689')",True,True
"('KLLA0B08437g', 'orf19.4195.1')",True,True
"('KLLA0F07183g', 'orf19.3995')",True,True
"('KLLA0E05193g', 'orf19.6411')",True,True
"('KLLA0E17557g', 'orf19.6268')",True,True
"('KLLA0F18832g', 'orf19.6745')",True,True
"('KLLA0B04499g', 'orf19.1404')",True,True
"('KLLA0F09383g', 'orf19.4538')",True,True
"('KLLA0D16302g', 'orf19.357')",True,True
"('KLLA0F13310g', 'orf19.6925')",True,False
"('KLLA0C15279g', 'orf19.528')",True,True
"('KLLA0F18040g', 'orf19.4193.1')",True,True
"('KLLA0E18965g', 'orf19.748')",True,True
"('KLLA0F17798g', 'orf19.6039')",True,True
"('KLLA0F03949g', 'orf19.5206')",True,True
"('KLLA0C17314g', 'orf19.6385')",True,True
"('KLLA0E22925g', 'orf19.2641')",True,True
"('KLLA0E08691g', 'orf19.1856')",True,True
"('KLLA0E18129g', 'orf19.6203')",True,True
"('KLLA0D16566g', 'orf19.4715')",True,True
"('KLLA0D03234g', 'orf19.2276')",True,True
"('KLLA0B09746g', 'orf19.1690')",True,True
"('KLLA0F12408g', 'orf19.7074')",True,True
"('KLLA0D14707g', 'orf19.1907')",True,False
"('KLLA0A00396g', 'orf19.3815')",True,False
"('KLLA0F03663g', 'orf19.4760')",True,True
"('KLLA0B11880g', 'orf19.7046')",True,False
"('KLLA0E08603g', 'orf19.1852')",True,True
"('KLLA0F18282g', 'orf19.169')",True,True
"('KLLA0C18194g', 'orf19.2111')",True,True
"('KLLA0F23155g', 'orf19.1754')",False,True
"('KLLA0A03619g', 'orf19.2972')",True,True
"('KLLA0E09285g', 'orf19.910')",True,True
"('KLLA0A02585g', 'orf19.6817')",False,True
"('KLLA0A09647g', 'orf19.3955')",True,True
"('KLLA0F20031g', 'orf19.4765')",False,True
"('KLLA0D03146g', 'orf19.3482')",True,True
"('KLLA0B14751g', 'orf19.5940')",False,True
"('KLLA0E21825g', 'orf19.4299')",True,True
"('KLLA0F19778g', 'orf19.5544')",True,True
"('KLLA0D02618g', 'orf19.6842')",True,True
"('KLLA0D10439g', 'orf19.7310')",True,True
"('KLLA0E22771g', 'orf19.1716')",True,True
"('KLLA0D12694g', 'orf19.5335')",True,True
"('KLLA0E24003g', 'orf19.2896')",False,True
"('KLLA0C05346g', 'orf19.2568')",True,False
"('KLLA0A05324g', 'orf19.1192')",True,True
"('KLLA0D12606g', 'orf19.4546')",False,True
"('KLLA0F17072g', 'orf19.2925')",True,True
"('KLLA0E03169g', 'orf19.3342')",True,True
"('KLLA0B06435g', 'orf19.939')",True,True
"('KLLA0C18546g', 'orf19.3585')",True,True
"('KLLA0C07909g', 'orf19.7111')",True,True
"('KLLA0F12166g', 'orf19.5848')",False,True
"('KLLA0E13817g', 'orf19.1288')",True,True
"('KLLA0E22309g', 'orf19.1896')",False,True
"('KLLA0D16676g', 'orf19.6472')",True,True
"('KLLA0E16127g', 'orf19.3297')",True,True
"('KLLA0B13046g', 'orf19.6014')",True,True
"('KLLA0E05611g', 'orf19.2756')",True,True
"('KLLA0E19691g', 'orf19.6755')",True,False
"('KLLA0C14091g', 'orf19.3829')",False,True
"('KLLA0D05951g', 'orf19.1747')",True,True
"('KLLA0E11243g', 'orf19.6744')",True,True
"('KLLA0B02519g', 'orf19.796')",True,True
"('KLLA0C08569g', 'orf19.3777')",True,True
"('KLLA0E15379g', 'orf19.6982')",True,True
"('KLLA0D13090g', 'orf19.863')",True,True
"('KLLA0A05709g', 'orf19.3325')",True,True
"('KLLA0C08800g', 'orf19.4855')",True,False
"('KLLA0C18513g', 'orf19.2909')",True,True
"('KLLA0F05940g', 'orf19.5688')",True,False
"('KLLA0C14564g', 'orf19.2723')",True,True
"('KLLA0F17567g', 'orf19.2378')",True,True
"('KLLA0D02948g', 'orf19.4173')",True,True
"('KLLA0B03872g', 'orf19.2951')",True,True
"('KLLA0D11594g', 'orf19.7382')",True,True
"('KLLA0F25586g', 'orf19.1959')",True,True
"('KLLA0F03014g', 'orf19.4635')",True,True
"('KLLA0E07481g', 'orf19.687.1')",True,True
"('KLLA0D02222g', 'orf19.6953')",True,True
"('KLLA0C07425g', 'orf19.4815')",True,True
"('KLLA0F12650g', 'orf19.3658')",True,True
"('KLLA0E08713g', 'orf19.7359')",True,True
"('KLLA0D06424g', 'orf19.3591')",True,True
"('KLLA0C11341g', 'orf19.1406')",True,False
"('KLLA0C09130g', 'orf19.2249')",True,True
"('KLLA0E22441g', 'orf19.5886')",True,True
"('KLLA0D10736g', 'orf19.5650')",True,True
"('KLLA0E13531g', 'orf19.2222')",True,True
"('KLLA0F05247g', 'orf19.5964.2')",True,True
"('KLLA0B09394g', 'orf19.4411')",True,True
"('KLLA0F03355g', 'orf19.499')",True,True
"('KLLA0C03652g', 'orf19.3399')",True,True
"('KLLA0F11385g', 'orf19.3676')",False,True
"('KLLA0F16841g', 'orf19.6685')",True,True
"('KLLA0A02079g', 'orf19.5066')",True,True
"('KLLA0E11771g', 'orf19.7511')",True,True
"('KLLA0E10275g', 'orf19.7207')",True,False
"('KLLA0B05841g', 'orf19.2929')",True,True
"('KLLA0F15510g', 'orf19.5754')",True,True
"('KLLA0D01859g', 'orf19.5345')",True,True
"('KLLA0D19184g', 'orf19.1360')",True,True
"('KLLA0A08184g', 'orf19.3414')",True,True
"('KLLA0E21869g', 'orf19.4297')",True,True
"('KLLA0C16313g', 'orf19.4032')",True,True
"('KLLA0B03311g', 'orf19.5213.1')",True,True
"('KLLA0C00935g', 'orf19.3606')",False,True
"('KLLA0A01991g', 'orf19.2895')",True,True
"('KLLA0F07293g', 'orf19.3061')",True,True
"('KLLA0E01805g', 'orf19.7404')",False,True
"('KLLA0F15411g', 'orf19.4585')",True,True
"('KLLA0A01199g', 'orf19.3911')",True,True
"('KLLA0A07667g', 'orf19.5534')",True,True
"('KLLA0F03399g', 'orf19.501')",True,True
"('KLLA0E24135g', 'orf19.7384')",True,True
"('KLLA0F17457g', 'orf19.2087')",True,True
"('KLLA0F18931g', 'orf19.2746')",False,True
"('KLLA0A00616g', 'orf19.4684.2')",False,True
"('KLLA0D16214g', 'orf19.5444')",True,True
"('KLLA0E13421g', 'orf19.4349')",True,True
"('KLLA0C04004g', 'orf19.1756')",True,True
"('KLLA0C02387g', 'orf19.3199')",True,True
"('KLLA0C03762g', 'orf19.7370')",False,True
"('KLLA0C12694g', 'orf19.3283')",True,False
"('KLLA0F05753g', 'orf19.300')",True,True
"('KLLA0B09372g', 'orf19.2250')",True,True
"('KLLA0E02289g', 'orf19.5076')",True,True
"('KLLA0F08954g', 'orf19.1078')",True,True
"('KLLA0F20636g', 'orf19.4752')",False,True
"('KLLA0E06755g', 'orf19.5447')",False,True
"('KLLA0C10923g', 'orf19.3986')",True,True
"('KLLA0A00781g', 'orf19.7109')",True,True
"('KLLA0F25124g', 'orf19.1053')",True,True
"('KLLA0E15423g', 'orf19.6981')",True,True
"('KLLA0D06897g', 'orf19.6891')",True,True
"('KLLA0C09911g', 'orf19.7389')",True,True
"('KLLA0E07261g', 'orf19.1607')",False,True
"('KLLA0A06468g', 'orf19.5861')",True,True
"('KLLA0C03608g', 'orf19.3401')",True,True
"('KLLA0F16885g', 'orf19.7393')",False,True
"('KLLA0B04840g', 'orf19.5251')",False,True
"('KLLA0B13794g', 'orf19.849')",True,False
"('KLLA0D06567g', 'orf19.3910')",False,True
"('KLLA0F19448g', 'orf19.2089')",True,True
"('KLLA0B04202g', 'orf19.4188')",True,True
"('KLLA0C05984g', 'orf19.1886')",True,True
"('KLLA0E10429g', 'orf19.517')",True,True
"('KLLA0E05127g', 'orf19.6415.1')",False,True
"('KLLA0E24707g', 'orf19.1421')",True,True
"('KLLA0D11000g', 'orf19.6868')",False,True
"('KLLA0F27115g', 'orf19.7254')",True,True
"('KLLA0E20285g', 'orf19.5180')",True,True
"('KLLA0F19085g', 'orf19.964')",True,True
"('KLLA0E03301g', 'orf19.7621')",True,True
"('KLLA0F08129g', 'orf19.6881')",True,True
"('KLLA0A05071g', 'orf19.5379')",True,True
"('KLLA0A11374g', 'orf19.4409')",True,False
"('KLLA0F01837g', 'orf19.7033')",True,True
"('KLLA0F21054g', 'orf19.4914')",True,True
"('KLLA0F17259g', 'orf19.6036')",True,True
"('KLLA0C18403g', 'orf19.5090')",True,True
"('KLLA0F03729g', 'orf19.4732')",True,False
