species1,gene1,species2,gene2,cluster_id
C. albicans,orf19.607,S. cerevisiae,gene-YJR035W,Cluster10002
S. cerevisiae,gene-YNR069C,C. albicans,orf19.4629,Cluster10003
S. cerevisiae,gene-YMR275C,C. albicans,orf19.5094,Cluster10004
S. cerevisiae,gene-YML111W,C. albicans,orf19.5094,Cluster10004
S. cerevisiae,gene-YNR007C,C. albicans,orf19.6020,Cluster10005
S. cerevisiae,gene-YBL097W,C. albicans,orf19.1251,Cluster10006
C. albicans,orf19.5041,S. cerevisiae,gene-YDL089W,Cluster10007
C. albicans,orf19.3604,S. cerevisiae,gene-YNL215W,Cluster10009
C. albicans,orf19.5213,S. cerevisiae,gene-YDR228C,Cluster1002
S. cerevisiae,gene-YDR228C,C. albicans,orf19.684,Cluster1002
S. cerevisiae,gene-YDR318W,C. albicans,orf19.3494,Cluster10024
C. albicans,orf19.5387,S. cerevisiae,gene-YAL002W,Cluster10026
S. cerevisiae,gene-YJR110W,C. albicans,orf19.4744,Cluster10028
C. albicans,orf19.5530,S. cerevisiae,gene-YPL190C,Cluster1003
C. albicans,orf19.6790,S. cerevisiae,gene-YBR212W,Cluster1004
S. cerevisiae,gene-YJL140W,C. albicans,orf19.145,Cluster10045
C. albicans,orf19.4120,S. cerevisiae,gene-YKR063C,Cluster10046
C. albicans,orf19.454,S. cerevisiae,gene-YJR147W,Cluster10047
S. cerevisiae,gene-YBR037C,C. albicans,orf19.7325,Cluster10048
C. albicans,orf19.7325,S. cerevisiae,gene-YBR024W,Cluster10048
S. cerevisiae,gene-YNL110C,C. albicans,orf19.7050,Cluster1005
C. albicans,orf19.5376,S. cerevisiae,gene-YGL179C,Cluster10055
S. cerevisiae,gene-YHR135C,C. albicans,orf19.7001,Cluster10056
S. cerevisiae,gene-YNL154C,C. albicans,orf19.7001,Cluster10056
S. cerevisiae,gene-YER123W,C. albicans,orf19.2222,Cluster10057
C. albicans,orf19.2277,S. cerevisiae,gene-YPL203W,Cluster10058
S. cerevisiae,gene-YNL175C,C. albicans,orf19.6766,Cluster1006
C. albicans,orf19.3969,S. cerevisiae,gene-YGR249W,Cluster10062
S. cerevisiae,gene-YER165W,C. albicans,orf19.3037,Cluster1007
C. albicans,orf19.4203,S. cerevisiae,gene-YML031W,Cluster10081
S. cerevisiae,gene-YGL005C,C. albicans,orf19.5397,Cluster10082
C. albicans,orf19.563,S. cerevisiae,gene-YPR143W,Cluster10084
C. albicans,orf19.458,S. cerevisiae,gene-YDR375C,Cluster10086
C. albicans,orf19.680,S. cerevisiae,gene-YPL063W,Cluster10087
S. cerevisiae,gene-YLR075W,C. albicans,orf19.2935,Cluster10088
S. cerevisiae,gene-YDL234C,C. albicans,orf19.6706,Cluster10089
S. cerevisiae,gene-YER043C,C. albicans,orf19.3911,Cluster10090
S. cerevisiae,gene-YBR153W,C. albicans,orf19.6341,Cluster10092
S. cerevisiae,gene-YFL045C,C. albicans,orf19.2937,Cluster10093
C. albicans,orf19.5587,S. cerevisiae,gene-YLR224W,Cluster10094
C. albicans,orf19.2774,S. cerevisiae,gene-YOR196C,Cluster10096
S. cerevisiae,gene-YPL118W,C. albicans,orf19.185,Cluster10099
C. albicans,orf19.736,S. cerevisiae,gene-YCR081W,Cluster1010
C. albicans,orf19.5098,S. cerevisiae,gene-YOL043C,Cluster10102
C. albicans,orf19.5098,S. cerevisiae,gene-YAL015C,Cluster10102
C. albicans,orf19.4007,S. cerevisiae,gene-YDR198C,Cluster10113
S. cerevisiae,gene-YOL123W,C. albicans,orf19.5989,Cluster10118
S. cerevisiae,gene-YHR192W,C. albicans,orf19.5857,Cluster1012
C. albicans,orf19.5611,S. cerevisiae,gene-YDR541C,Cluster1013
