root_id,cgla_id,forward_pident,forward_qcovs,forward_evalue,forward_bitscore,reverse_pident,reverse_qcovs,reverse_evalue,reverse_bitscore
root_000008;70,CAGL0F09141g,97.143,100,3.6399999999999996e-45,137.0,97.143,100,1.19e-44,137.0
root_000011;130,CAGL0G00836g,97.692,100,6.91e-94,264.0,97.692,100,2.26e-93,264.0
root_000023;105,CAGL0D06534g,99.048,100,4.1500000000000004e-72,207.0,99.048,100,1.36e-71,207.0
root_000031;677,CAGL0H07645g,99.261,100,0.0,1364.0,99.261,100,0.0,1364.0
root_000036;867,CAGL0G05544g,99.752,93,0.0,1642.0,99.752,100,0.0,1642.0
root_000039;214,CAGL0K07502g,96.729,100,7.53e-146,402.0,96.729,100,2.4700000000000002e-145,402.0
root_000052;298,CAGL0K04279g,100.0,62,1.53e-133,374.0,100.0,99,3.12e-133,374.0
root_000059;292,CAGL0B02057g,40.373,49,3.5e-20,85.9,40.373,58,8.03e-20,86.3
root_000060;207,CAGL0E06072g,41.667,43,9.88e-19,77.8,40.0,65,1.29e-15,70.9
root_000073;386,CAGL0H01573g,32.54,63,3.3999999999999996e-30,117.0,32.54,66,1.0400000000000001e-29,117.0
root_000074;421,CAGL0I10010g,99.417,81,0.0,707.0,99.417,99,0.0,707.0
root_000077;356,CAGL0D02420g,98.919,52,1.71e-130,369.0,98.919,99,2.94e-130,369.0
root_000090;1123,CAGL0C02387g,94.444,14,2.58e-102,317.0,94.444,99,1.59e-102,317.0
root_000106;761,CAGL0J01958g,98.859,92,0.0,1360.0,98.859,99,0.0,1360.0
root_000108;407,CAGL0J06138g,47.017,98,1.94e-118,348.0,51.093,86,2.21e-117,347.0
root_000111;1354,CAGL0I08437g,98.347,98,0.0,2681.0,98.347,100,0.0,2681.0
root_000112;163,CAGL0M01848g,36.646,99,1.59e-32,111.0,36.646,100,4.8600000000000004e-32,111.0
root_000135;136,CAGL0G09625g,98.529,100,6.21e-97,273.0,98.529,100,2.04e-96,273.0
root_000174;198,CAGL0B02860g,29.825,97,8.029999999999999e-24,92.0,29.825,99,3.72e-23,91.7
