Cluster1	orf19.2123
Cluster2	orf19.5390
Cluster3	CAGL0E03498g
Cluster4	gene-YFL064C
Cluster5	CAGL0H03861g
Cluster5	gene-YCL011C
Cluster5	gene-YNL004W
Cluster5	gene:KLLA0_D05016g
Cluster5	orf19.7076
Cluster6	orf19.6556
Cluster7	gene:KLLA0_B14883g
Cluster8	CAGL0F05225g
Cluster8	gene-YBR152W
Cluster9	gene-YGR035C
Cluster10	CAGL0H04015g
Cluster11	gene:KLLA0_F21142g
Cluster12	CAGL0M13849g
Cluster13	CAGL0J11704g
Cluster14	CAGL0J02684g
Cluster15	CAGL0H06468r
Cluster16	CAGL0G07084g
Cluster17	CAGL0L06050g
Cluster18	CAGL0G05962g
Cluster19	CAGL0I08701g
Cluster20	CAGL0M11473g
Cluster21	gene-YKL100C
Cluster22	gene:KLLA0_F19800g
Cluster23	gene-YDR209C
Cluster24	CAGL0M12452g
Cluster25	gene:KLLA0_D15763g
Cluster26	gene-YLL006W-A
Cluster27	snR8c
Cluster28	CAGL0J03300g
Cluster29	CAGL0G00352g
Cluster30	orf19.7482
Cluster31	orf19.2971
Cluster32	orf19.1430
Cluster33	orf19.2968
Cluster34	gene-YMR316W
Cluster35	orf19.4837.1
Cluster36	orf19.4842
Cluster37	CAGL0H01067g
Cluster38	gene:KLLA0_D09350g
Cluster38	gene-YJL007C
Cluster39	CAGL0L01023g
Cluster40	CAGL0F03333g
Cluster41	CAGL0H01111g
Cluster42	CAGL0F03443g
Cluster43	CAGL0L00605g
Cluster44	CAGL0K03597g
Cluster45	CAGL0I07887g
Cluster46	CAGL0H01177g
Cluster47	gene:KLLA0_F12584g
Cluster47	gene-YBL023C
Cluster47	orf19.4354
Cluster48	orf19.1598
Cluster48	gene:KLLA0_C12265g
Cluster48	gene-YNL280C
Cluster49	orf19.3553
Cluster49	gene:KLLA0_A07931g
Cluster49	gene-YKR081C
Cluster49	CAGL0L10516g
Cluster50	orf19.4628
Cluster50	gene:KLLA0_C12837g
Cluster50	CAGL0I05456g
Cluster50	gene-YKL059C
Cluster51	gene-YPR029C
Cluster51	gene:KLLA0_E06579g
Cluster51	orf19.2844
Cluster52	gene-YIL156W
Cluster52	gene-YKR098C
Cluster52	CAGL0G02563g
Cluster52	gene:KLLA0_A00396g
Cluster52	orf19.3815
Cluster53	gene:KLLA0_A05225g
Cluster53	gene-YHR168W
Cluster53	CAGL0I02332g
Cluster53	orf19.6653
Cluster54	gene-YDL101C
Cluster54	gene:KLLA0_E01585g
Cluster54	orf19.4002
Cluster55	gene:KLLA0_E01101g
Cluster55	CAGL0C04697g
Cluster55	gene-YJR101W
Cluster55	orf19.3938
Cluster56	orf19.1662
Cluster56	gene:KLLA0_F22176g
Cluster56	gene-YDR347W
Cluster57	orf19.7267
Cluster57	gene:KLLA0_E17117g
Cluster57	gene-YHR083W
Cluster58	orf19.5137.1
Cluster58	CAGL0M02783g
Cluster58	gene-YPL127C
Cluster59	CAGL0I10472g
Cluster60	CAGL0I10494g
Cluster61	CaglfMt17
Cluster62	CAGL0D01254g
Cluster63	CAGL0I10384g
Cluster64	CAGL0D01265g
Cluster65	gene-YOR161C-C
Cluster66	CAGL0G09911g
Cluster67	CAGL0D01210g
Cluster68	CAGL0I10450g
Cluster69	gene-YNCI0005W
Cluster70	gene-YOL158C
Cluster71	gene:KLLA0_E23783g
Cluster71	gene-YBR186W
Cluster71	CAGL0M06435g
Cluster72	orf19.2397
Cluster73	gene:KLLA0_F00286g
Cluster74	gene-YOL162W
Cluster75	gene:KLLA0_C18678g
Cluster75	gene-YLL055W
Cluster76	orf19.7666
Cluster77	gene-YOL163W
Cluster78	gene:KLLA0_F09691g
Cluster78	CAGL0K06919g
Cluster78	gene-YBR227C
Cluster79	gene:KLLA0_B07953g
Cluster79	gene-YGR065C
Cluster80	gene-YNCB0002W
Cluster81	CAGL0L01265g
Cluster82	CAGL0J11440g
Cluster83	CAGL0L01287g
Cluster84	CAGL0L01309g
Cluster85	CAGL0M00506g
Cluster86	CAGL0J11308g
Cluster87	CAGL0M00440g
Cluster88	CAGL0J11242g
Cluster89	gene:KLLA0_D08998g
Cluster89	gene-YBR131W
Cluster89	CAGL0C00561g
Cluster90	CAGL0J11330g
Cluster91	orf19.5105
Cluster91	gene:KLLA0_F07579g
Cluster91	gene-YOL051W
Cluster92	orf19.3342
Cluster92	gene:KLLA0_E03169g
Cluster92	CAGL0I07205g
Cluster92	gene-YOR138C
Cluster93	gene:KLLA0_C08723g
Cluster93	gene-YCR067C
Cluster93	gene-YNR026C
Cluster93	CAGL0M10703g
Cluster93	orf19.3409
Cluster94	orf19.1115
Cluster94	CAGL0K06281g
Cluster94	gene-YDR454C
Cluster94	gene:KLLA0_B01694g
Cluster95	gene-YMR185W
Cluster95	gene:KLLA0_D08888g
Cluster95	orf19.7159
Cluster96	orf19.418
Cluster96	gene-YHR186C
Cluster96	CAGL0M13409g
Cluster96	gene:KLLA0_A09471g
Cluster97	CAGL0J07810g
Cluster98	gene-YLR093C
Cluster98	gene:KLLA0_F19448g
Cluster99	orf19.2089
Cluster100	orf19.4982
Cluster101	CAGL0M06963g
Cluster102	gene-YOL042W
Cluster102	CAGL0F01001g
Cluster102	gene:KLLA0_F07733g
Cluster103	gene-YML118W
Cluster104	orf19.3863
Cluster105	orf19.2313
Cluster106	orf19.1203.1
Cluster107	orf19.5215
Cluster108	gene:KLLA0_F22880g
Cluster108	CAGL0K05841g
Cluster108	gene-YLR256W
Cluster108	gene:KLLA0_F22990g
Cluster108	orf19.6182
Cluster109	orf19.1685
Cluster109	gene-YLR266C
Cluster110	orf19.771
Cluster110	CAGL0E05214g
Cluster110	gene-YPL088W
Cluster110	CAGL0E05236g
Cluster110	gene:KLLA0_F19360g
Cluster111	orf19.391
Cluster111	gene-YDR213W
Cluster112	orf19.6628
Cluster112	gene:KLLA0_C02079g
Cluster113	gene-YHR037W
Cluster113	gene:KLLA0_C10549g
Cluster113	orf19.3974
Cluster114	orf19.6757
Cluster114	gene:KLLA0_B14707g
Cluster114	gene-YDR368W
Cluster115	orf19.6985
Cluster115	gene-YLR098C
Cluster115	gene:KLLA0_F19602g
Cluster116	orf19.7319
Cluster116	gene-YPR196W
Cluster117	orf19.6758
Cluster117	gene-YOR120W
Cluster117	gene:KLLA0_D10109g
Cluster118	CAGL0G08173g
Cluster119	gene-YDR130C
Cluster119	gene:KLLA0_F19921g
Cluster120	orf19.7550
Cluster121	orf19.1590
Cluster122	orf19.1596
Cluster123	CAGL0G06864g
Cluster124	orf19.1208
Cluster125	orf19.1207
Cluster126	orf19.1200
Cluster127	orf19.1202
Cluster128	gene:KLLA0_D03014g
Cluster129	gene-YAR029W
Cluster130	gene-YDR169C
Cluster130	gene:KLLA0_D17270g
Cluster130	orf19.203
Cluster131	CAGL0M07315g
Cluster132	orf19.7516
Cluster133	CAGL0E03740g
Cluster134	CAGL0J00341g
Cluster135	CAGL0E01551g
Cluster136	gene:KLLA0_D00187g
Cluster137	gene-YKL069W
Cluster137	CAGL0F06127g
Cluster137	gene:KLLA0_F26587g
Cluster137	orf19.5553
Cluster138	orf19.7507
Cluster139	CAGL0B02519g
Cluster140	orf19.5976
Cluster141	CAGL0L09207g
Cluster142	gene-YNCE0001C
Cluster143	gene:KLLA0_B06303g
Cluster143	CAGL0J01848g
Cluster144	orf19.5805
Cluster144	orf19.6043
Cluster144	gene-YDL174C
Cluster144	gene:KLLA0_E19691g
Cluster145	orf19.1435
Cluster145	gene-YPR080W
Cluster146	orf19.5918
Cluster147	orf19.994
Cluster148	orf19.993
Cluster149	orf19.6002
Cluster149	gene-YHL033C
Cluster149	CAGL0E03938g
Cluster150	gene-YLL045C
Cluster150	gene:KLLA0_E00573g
Cluster150	orf19.2311
Cluster151	gene-YDR522C
Cluster151	CAGL0H01661g
Cluster151	gene:KLLA0_C01001g
Cluster151	gene-YCL048W
Cluster151	orf19.4955
Cluster152	gene-YMR314W
Cluster152	gene:KLLA0_A10153g
Cluster152	orf19.7178
Cluster153	CAGL0L09185g
Cluster154	gene-YDR085C
Cluster154	gene-YER158C
Cluster154	CAGL0I08591g
Cluster154	gene:KLLA0_C11891g
Cluster154	orf19.3635
Cluster155	orf19.6127
Cluster155	gene-YFL018C
Cluster155	gene:KLLA0_D11154g
Cluster156	orf19.3404
Cluster156	gene-YJL149W
Cluster156	gene:KLLA0_A06061g
Cluster157	gene-YNCF0014C
Cluster158	CAGL0E05874g
Cluster159	CAGL0L13486r
Cluster159	gene-YNCL0016C
Cluster159	CAGL0L13530r
Cluster160	gene-YNCM0013W
Cluster161	gene-Q0020
Cluster161	CaglfMr14
Cluster162	gene-YOR204W
Cluster162	gene-YPL119C
Cluster162	gene:KLLA0_F01034g
