qseqid,sseqid,pident,qcovs,evalue,bitscore
orf19.86,root_010678;163,72.671,99,8.05e-86,248.0
orf19.86,root_010679;162,68.944,99,2.67e-79,231.0
orf19.86,root_010677;229,58.125,99,1.21e-66,202.0
orf19.86,root_010677;167,54.658,99,3.1199999999999997e-60,183.0
orf19.585,root_011407;283,98.944,100,0.0,578.0
orf19.36.1,root_002822;69,100.0,100,1.3199999999999999e-42,131.0
orf19.4325,root_011700;1143,98.427,100,0.0,2253.0
orf19.2343.1,root_009878;129,98.462,100,1.55e-91,259.0
orf19.2343.1,root_009878;73,67.647,52,6.41e-28,97.4
orf19.419,root_001727;586,98.976,100,0.0,1165.0
orf19.4391,root_002628;709,98.59,100,0.0,1436.0
orf19.6527,root_008944;1105,98.463,100,0.0,2249.0
orf19.7291,root_011810;383,51.381,98,1.8099999999999998e-126,367.0
orf19.308,root_007878;512,98.242,100,0.0,1032.0
orf19.6795,root_011521;119,99.167,100,1.06e-81,234.0
orf19.398,root_000451;158,99.359,99,4.41e-109,306.0
orf19.3763,root_007117;460,99.13,100,0.0,917.0
orf19.2907.1,root_008731;88,52.564,79,2.26e-25,90.1
orf19.2906,root_005196;297,98.653,100,0.0,565.0
orf19.135,root_009727;791,98.106,100,0.0,1582.0
orf19.3552,root_011998;1032,99.806,100,0.0,2102.0
orf19.7215,root_009332;1818,99.34,100,0.0,3651.0
orf19.1124.2,root_007936;300,99.333,100,0.0,612.0
orf19.1124.2,root_010934;300,78.261,99,7.75e-171,474.0
orf19.1159,root_008552;508,57.5,91,0.0,565.0
orf19.5010,root_010143;318,81.04,100,0.0,550.0
orf19.3440,root_007379;278,99.64,100,0.0,564.0
orf19.4921.1,root_002977;55,100.0,100,1.3200000000000001e-33,107.0
orf19.3042,root_004459;275,98.545,100,0.0,551.0
orf19.3023,root_009920;627,98.408,100,0.0,1242.0
orf19.2846,root_001442;138,96.377,100,5.79e-93,264.0
orf19.6829,root_008638;654,98.779,100,0.0,1315.0
orf19.5003,root_009676;448,98.664,100,0.0,877.0
orf19.5730,root_009563;503,59.768,99,0.0,611.0
orf19.104,root_000672;285,98.947,100,0.0,564.0
orf19.7468,root_009787;537,96.654,100,0.0,1057.0
orf19.7468,root_008068;641,58.333,64,7.42e-29,120.0
orf19.7468,root_008068;641,59.551,70,1.85e-27,116.0
orf19.7340,root_006322;111,99.099,100,3.18e-74,214.0
orf19.280,root_005458;137,97.08,100,1.1699999999999999e-91,261.0
orf19.280,root_002720;137,97.08,100,1.1699999999999999e-91,261.0
orf19.4658,root_010416;796,98.494,100,0.0,1584.0
orf19.6022,root_001669;577,99.133,100,0.0,1127.0
orf19.1853,root_007890;137,97.08,100,4.6999999999999995e-94,266.0
orf19.1853,root_011241;136,96.35,100,8.429999999999999e-93,263.0
orf19.1853,root_011240;136,96.35,100,8.429999999999999e-93,263.0
orf19.1853,root_011237;211,67.647,72,2.02e-41,136.0
orf19.1853,root_011237;184,61.856,69,2.35e-37,125.0
orf19.5212,root_008735;366,97.534,99,0.0,733.0
orf19.3736,root_011850;335,50.794,85,2.41e-113,333.0
orf19.2952,root_010152;479,99.375,100,0.0,994.0
