species1,gene1,species2,gene2,cluster_id
K. lactis,gene:KLLA0_D01793g,C. albicans,orf19.5094,Cluster10004
K. lactis,gene:KLLA0_F06402g,C. albicans,orf19.6020,Cluster10005
K. lactis,gene:KLLA0_E06733g,C. albicans,orf19.1251,Cluster10006
C. albicans,orf19.5041,K. lactis,gene:KLLA0_F07205g,Cluster10007
C. albicans,orf19.3604,K. lactis,gene:KLLA0_D19250g,Cluster10009
C. albicans,orf19.6843,K. lactis,gene:KLLA0_D04136g,Cluster10019
C. albicans,orf19.5213,K. lactis,gene:KLLA0_F13442g,Cluster1002
K. lactis,gene:KLLA0_F13442g,C. albicans,orf19.684,Cluster1002
K. lactis,gene:KLLA0_B10142g,C. albicans,orf19.3494,Cluster10024
C. albicans,orf19.5387,K. lactis,gene:KLLA0_C18491g,Cluster10026
K. lactis,gene:KLLA0_E05853g,C. albicans,orf19.4744,Cluster10028
C. albicans,orf19.5530,K. lactis,gene:KLLA0_E19229g,Cluster1003
C. albicans,orf19.6790,K. lactis,gene:KLLA0_C05522g,Cluster1004
K. lactis,gene:KLLA0_A05797g,C. albicans,orf19.145,Cluster10045
C. albicans,orf19.4120,K. lactis,gene:KLLA0_A06017g,Cluster10046
C. albicans,orf19.7325,K. lactis,gene:KLLA0_D03630g,Cluster10048
K. lactis,gene:KLLA0_F23650g,C. albicans,orf19.7050,Cluster1005
K. lactis,gene:KLLA0_D11044g,C. albicans,orf19.7001,Cluster10056
K. lactis,gene:KLLA0_E13531g,C. albicans,orf19.2222,Cluster10057
C. albicans,orf19.2277,K. lactis,gene:KLLA0_D03190g,Cluster10058
K. lactis,gene:KLLA0_D08206g,C. albicans,orf19.6766,Cluster1006
C. albicans,orf19.3969,K. lactis,gene:KLLA0_A05368g,Cluster10062
K. lactis,gene:KLLA0_C17600g,C. albicans,orf19.3037,Cluster1007
K. lactis,gene:KLLA0_E19471g,C. albicans,orf19.260,Cluster10080
C. albicans,orf19.4203,K. lactis,gene:KLLA0_B01760g,Cluster10081
K. lactis,gene:KLLA0_A08888g,C. albicans,orf19.5397,Cluster10082
C. albicans,orf19.7595,K. lactis,gene:KLLA0_C16687g,Cluster10083
C. albicans,orf19.563,K. lactis,gene:KLLA0_B10934g,Cluster10084
K. lactis,gene:KLLA0_D09042g,C. albicans,orf19.5595,Cluster10085
C. albicans,orf19.458,K. lactis,gene:KLLA0_E02487g,Cluster10086
C. albicans,orf19.680,K. lactis,gene:KLLA0_E23101g,Cluster10087
K. lactis,gene:KLLA0_D05643g,C. albicans,orf19.2935,Cluster10088
K. lactis,gene:KLLA0_D19272g,C. albicans,orf19.6706,Cluster10089
K. lactis,gene:KLLA0_A01199g,C. albicans,orf19.3911,Cluster10090
K. lactis,gene:KLLA0_F21120g,C. albicans,orf19.6341,Cluster10092
K. lactis,gene:KLLA0_D05709g,C. albicans,orf19.2937,Cluster10093
C. albicans,orf19.2774,K. lactis,gene:KLLA0_F00836g,Cluster10096
K. lactis,gene:KLLA0_F00990g,C. albicans,orf19.185,Cluster10099
C. albicans,orf19.736,K. lactis,gene:KLLA0_F06919g,Cluster1010
C. albicans,orf19.5098,K. lactis,gene:KLLA0_F07711g,Cluster10102
