species1,gene1,species2,gene2,source,pillar_id,gene_pair
C. glabrata,CAGL0D00220g,K. lactis,KLLA0F00484g,YGOB,0,"('CAGL0D00220g', 'KLLA0F00484g')"
K. lactis,KLLA0F00484g,C. glabrata,CAGL0D00220g,YGOB,0,"('KLLA0F00484g', 'CAGL0D00220g')"
C. glabrata,CAGL0M09405g,K. lactis,KLLA0E06513g,YGOB,1,"('CAGL0M09405g', 'KLLA0E06513g')"
K. lactis,KLLA0E06513g,C. glabrata,CAGL0M09405g,YGOB,1,"('KLLA0E06513g', 'CAGL0M09405g')"
C. glabrata,CAGL0E00935g,K. lactis,KLLA0D17204g,YGOB,2,"('CAGL0E00935g', 'KLLA0D17204g')"
K. lactis,KLLA0D17204g,C. glabrata,CAGL0E00935g,YGOB,2,"('KLLA0D17204g', 'CAGL0E00935g')"
C. glabrata,CAGL0E00913g,K. lactis,KLLA0D17226g,YGOB,8,"('CAGL0E00913g', 'KLLA0D17226g')"
K. lactis,KLLA0D17226g,C. glabrata,CAGL0E00913g,YGOB,8,"('KLLA0D17226g', 'CAGL0E00913g')"
C. glabrata,CAGL0E00891g,K. lactis,KLLA0D17270g,YGOB,10,"('CAGL0E00891g', 'KLLA0D17270g')"
K. lactis,KLLA0D17270g,C. glabrata,CAGL0E00891g,YGOB,10,"('KLLA0D17270g', 'CAGL0E00891g')"
C. glabrata,CAGL0E00847g,K. lactis,KLLA0D17358g,YGOB,13,"('CAGL0E00847g', 'KLLA0D17358g')"
K. lactis,KLLA0D17358g,C. glabrata,CAGL0E00847g,YGOB,13,"('KLLA0D17358g', 'CAGL0E00847g')"
C. glabrata,CAGL0E00781g,K. lactis,KLLA0D17424g,YGOB,14,"('CAGL0E00781g', 'KLLA0D17424g')"
K. lactis,KLLA0D17424g,C. glabrata,CAGL0E00781g,YGOB,14,"('KLLA0D17424g', 'CAGL0E00781g')"
C. glabrata,CAGL0E00759g,K. lactis,KLLA0D17402g,YGOB,18,"('CAGL0E00759g', 'KLLA0D17402g')"
K. lactis,KLLA0D17402g,C. glabrata,CAGL0E00759g,YGOB,18,"('KLLA0D17402g', 'CAGL0E00759g')"
C. glabrata,CAGL0E00737g,K. lactis,KLLA0D18029g,YGOB,24,"('CAGL0E00737g', 'KLLA0D18029g')"
K. lactis,KLLA0D18029g,C. glabrata,CAGL0E00737g,YGOB,24,"('KLLA0D18029g', 'CAGL0E00737g')"
C. glabrata,CAGL0B00418g,K. lactis,KLLA0C00572g,YGOB,25,"('CAGL0B00418g', 'KLLA0C00572g')"
K. lactis,KLLA0C00572g,C. glabrata,CAGL0B00418g,YGOB,25,"('KLLA0C00572g', 'CAGL0B00418g')"
C. glabrata,CAGL0F02519g,K. lactis,KLLA0C03201g,YGOB,30,"('CAGL0F02519g', 'KLLA0C03201g')"
K. lactis,KLLA0C03201g,C. glabrata,CAGL0F02519g,YGOB,30,"('KLLA0C03201g', 'CAGL0F02519g')"
C. glabrata,CAGL0E00715g,K. lactis,KLLA0D18051g,YGOB,31,"('CAGL0E00715g', 'KLLA0D18051g')"
K. lactis,KLLA0D18051g,C. glabrata,CAGL0E00715g,YGOB,31,"('KLLA0D18051g', 'CAGL0E00715g')"
C. glabrata,CAGL0E00693g,K. lactis,KLLA0D18073g,YGOB,35,"('CAGL0E00693g', 'KLLA0D18073g')"
K. lactis,KLLA0D18073g,C. glabrata,CAGL0E00693g,YGOB,35,"('KLLA0D18073g', 'CAGL0E00693g')"
C. glabrata,CAGL0E00671g,K. lactis,KLLA0C18656g,YGOB,40,"('CAGL0E00671g', 'KLLA0C18656g')"
K. lactis,KLLA0C18656g,C. glabrata,CAGL0E00671g,YGOB,40,"('KLLA0C18656g', 'CAGL0E00671g')"
C. glabrata,CAGL0M09427g,K. lactis,KLLA0E06535g,YGOB,47,"('CAGL0M09427g', 'KLLA0E06535g')"
K. lactis,KLLA0E06535g,C. glabrata,CAGL0M09427g,YGOB,47,"('KLLA0E06535g', 'CAGL0M09427g')"
C. glabrata,CAGL0F05863g,K. lactis,KLLA0D18117g,YGOB,48,"('CAGL0F05863g', 'KLLA0D18117g')"
K. lactis,KLLA0D18117g,C. glabrata,CAGL0F05863g,YGOB,48,"('KLLA0D18117g', 'CAGL0F05863g')"
C. glabrata,CAGL0E04548g,K. lactis,KLLA0E09329g,YGOB,51,"('CAGL0E04548g', 'KLLA0E09329g')"
K. lactis,KLLA0E09329g,C. glabrata,CAGL0E04548g,YGOB,51,"('KLLA0E09329g', 'CAGL0E04548g')"
C. glabrata,CAGL0I04862g,K. lactis,KLLA0D03432g,YGOB,52,"('CAGL0I04862g', 'KLLA0D03432g')"
K. lactis,KLLA0D03432g,C. glabrata,CAGL0I04862g,YGOB,52,"('KLLA0D03432g', 'CAGL0I04862g')"
C. glabrata,CAGL0F05841g,K. lactis,KLLA0D18139g,YGOB,54,"('CAGL0F05841g', 'KLLA0D18139g')"
K. lactis,KLLA0D18139g,C. glabrata,CAGL0F05841g,YGOB,54,"('KLLA0D18139g', 'CAGL0F05841g')"
C. glabrata,CAGL0F05819g,K. lactis,KLLA0D18161g,YGOB,58,"('CAGL0F05819g', 'KLLA0D18161g')"
K. lactis,KLLA0D18161g,C. glabrata,CAGL0F05819g,YGOB,58,"('KLLA0D18161g', 'CAGL0F05819g')"
C. glabrata,CAGL0F05797g,K. lactis,KLLA0D18194g,YGOB,65,"('CAGL0F05797g', 'KLLA0D18194g')"
K. lactis,KLLA0D18194g,C. glabrata,CAGL0F05797g,YGOB,65,"('KLLA0D18194g', 'CAGL0F05797g')"
C. glabrata,CAGL0F05775g,K. lactis,KLLA0D18216g,YGOB,67,"('CAGL0F05775g', 'KLLA0D18216g')"
