species1,gene1,species2,gene2,source,pillar_id,gene_pair
C. albicans,orf19.1860,K. lactis,KLLA0A05478g,CGOB/YGOB_bridge,-1,"('orf19.1860', 'KLLA0A05478g')"
K. lactis,KLLA0A05478g,C. albicans,orf19.1860,CGOB/YGOB_bridge,-1,"('KLLA0A05478g', 'orf19.1860')"
C. albicans,orf19.6805,K. lactis,KLLA0F14509g,CGOB/YGOB_bridge,-1,"('orf19.6805', 'KLLA0F14509g')"
K. lactis,KLLA0F14509g,C. albicans,orf19.6805,CGOB/YGOB_bridge,-1,"('KLLA0F14509g', 'orf19.6805')"
C. albicans,orf19.6987,K. lactis,KLLA0F12892g,CGOB/YGOB_bridge,-1,"('orf19.6987', 'KLLA0F12892g')"
K. lactis,KLLA0F12892g,C. albicans,orf19.6987,CGOB/YGOB_bridge,-1,"('KLLA0F12892g', 'orf19.6987')"
C. albicans,orf19.880,K. lactis,KLLA0F22110g,CGOB/YGOB_bridge,-1,"('orf19.880', 'KLLA0F22110g')"
K. lactis,KLLA0F22110g,C. albicans,orf19.880,CGOB/YGOB_bridge,-1,"('KLLA0F22110g', 'orf19.880')"
C. albicans,orf19.4427,K. lactis,KLLA0E16941g,CGOB/YGOB_bridge,-1,"('orf19.4427', 'KLLA0E16941g')"
K. lactis,KLLA0E16941g,C. albicans,orf19.4427,CGOB/YGOB_bridge,-1,"('KLLA0E16941g', 'orf19.4427')"
C. albicans,orf19.6360,K. lactis,KLLA0D16896g,CGOB/YGOB_bridge,-1,"('orf19.6360', 'KLLA0D16896g')"
K. lactis,KLLA0D16896g,C. albicans,orf19.6360,CGOB/YGOB_bridge,-1,"('KLLA0D16896g', 'orf19.6360')"
C. albicans,orf19.5268,K. lactis,KLLA0B10714g,CGOB/YGOB_bridge,-1,"('orf19.5268', 'KLLA0B10714g')"
K. lactis,KLLA0B10714g,C. albicans,orf19.5268,CGOB/YGOB_bridge,-1,"('KLLA0B10714g', 'orf19.5268')"
C. albicans,orf19.2597,K. lactis,KLLA0F02519g,CGOB/YGOB_bridge,-1,"('orf19.2597', 'KLLA0F02519g')"
K. lactis,KLLA0F02519g,C. albicans,orf19.2597,CGOB/YGOB_bridge,-1,"('KLLA0F02519g', 'orf19.2597')"
C. albicans,orf19.4615,K. lactis,KLLA0B11990g,CGOB/YGOB_bridge,-1,"('orf19.4615', 'KLLA0B11990g')"
K. lactis,KLLA0B11990g,C. albicans,orf19.4615,CGOB/YGOB_bridge,-1,"('KLLA0B11990g', 'orf19.4615')"
C. albicans,orf19.2771,K. lactis,KLLA0F00814g,CGOB/YGOB_bridge,-1,"('orf19.2771', 'KLLA0F00814g')"
