cluster_id,original_id,species
Cluster1,gene-YNCM0023C,S_cerevisiae
Cluster2,orf19.6237,C_albicans
Cluster2,CAGL0J11242g,C_glabrata
Cluster2,gene-YNL180C,S_cerevisiae
Cluster2,gene:KLLA0_D08327g,K_lactis
Cluster3,gene:KLLA0_F22671g,K_lactis
Cluster4,gene-YNCL0036C,S_cerevisiae
Cluster5,gene-YNCJ0015W,S_cerevisiae
Cluster6,gene-YEL069C,S_cerevisiae
Cluster7,CAGL0E00803g,C_glabrata
Cluster7,gene-YDR171W,S_cerevisiae
Cluster8,orf19.1090,C_albicans
Cluster9,orf19.1105.2,C_albicans
Cluster10,gene-YNCN0010C,S_cerevisiae
Cluster11,orf19.11,C_albicans
Cluster12,orf19.1105,C_albicans
Cluster13,gene-YNCN0004W,S_cerevisiae
Cluster14,gene-YNCO0002W,S_cerevisiae
Cluster14,gene-YNCJ0001C,S_cerevisiae
Cluster14,CAGL0C04070r,C_glabrata
Cluster15,gene-YNCI0009W,S_cerevisiae
Cluster16,gene-YNCP0006C,S_cerevisiae
Cluster17,gene:KLLA0_D09889g,K_lactis
Cluster17,CAGL0F07711g,C_glabrata
Cluster17,gene-YMR166C,S_cerevisiae
Cluster17,orf19.4159,C_albicans
Cluster18,orf19.7545,C_albicans
Cluster19,gene-YGR027W-A,S_cerevisiae
Cluster20,gene-YCR041W,S_cerevisiae
Cluster21,gene-YER076C,S_cerevisiae
Cluster22,CAGL0A00649g,C_glabrata
Cluster23,gene-YNCC0015W,S_cerevisiae
Cluster24,gene-YBL100W-C,S_cerevisiae
Cluster25,gene:KLLA0_A07645g,K_lactis
Cluster26,gene:KLLA0_F16665g,K_lactis
Cluster27,orf19.2371,C_albicans
Cluster28,orf19.3255,C_albicans
Cluster29,orf19.3254,C_albicans
Cluster30,gene-YNCP0026W,S_cerevisiae
Cluster31,gene:KLLA0_D03740g,K_lactis
Cluster32,gene-YNCK0017W,S_cerevisiae
Cluster32,CAGL0M11132r,C_glabrata
Cluster32,CAGL0I08657r,C_glabrata
Cluster33,CAGL0G05522g,C_glabrata
Cluster34,gene-YOR152C,S_cerevisiae
Cluster35,CAGL0C01133g,C_glabrata
Cluster36,orf19.344,C_albicans
Cluster37,orf19.3439,C_albicans
Cluster38,gene-YNCM0036C,S_cerevisiae
Cluster39,gene-YMR272W-B,S_cerevisiae
Cluster40,gene:KLLA0_E21913g,K_lactis
Cluster41,gene-YJR153W,S_cerevisiae
Cluster42,gene-YJR154W,S_cerevisiae
Cluster43,gene-YGL194C-A,S_cerevisiae
Cluster44,orf19.4376,C_albicans
Cluster45,orf19.3605,C_albicans
Cluster46,orf19.3610,C_albicans
Cluster47,orf19.3611,C_albicans
Cluster48,orf19.4913,C_albicans
Cluster49,gene:KLLA0_F21406g,K_lactis
Cluster49,gene-YJL112W,S_cerevisiae
Cluster49,CAGL0G04345g,C_glabrata
Cluster50,gene:KLLA0_F21076g,K_lactis
Cluster50,CAGL0I07821g,C_glabrata
Cluster50,gene-YOL087C,S_cerevisiae
Cluster51,gene:KLLA0_E20967g,K_lactis
Cluster51,gene-YOL138C,S_cerevisiae
Cluster51,CAGL0E01485g,C_glabrata
Cluster52,CAGL0J03806g,C_glabrata
Cluster52,gene-YOR230W,S_cerevisiae
Cluster53,gene:KLLA0_D07282g,K_lactis
Cluster53,CAGL0J03960g,C_glabrata
Cluster53,gene-YOR229W,S_cerevisiae
Cluster54,CAGL0K11638g,C_glabrata
Cluster55,CAGL0L03201g,C_glabrata
Cluster56,CAGL0I03454g,C_glabrata
Cluster57,CAGL0M02563g,C_glabrata
Cluster57,gene-YPL139C,S_cerevisiae
Cluster58,orf19.2651,C_albicans
Cluster58,CAGL0L05148g,C_glabrata
Cluster58,gene-YKL081W,S_cerevisiae
Cluster59,orf19.7382,C_albicans
Cluster59,gene:KLLA0_D11594g,K_lactis
Cluster59,gene-YGR201C,S_cerevisiae
Cluster59,CAGL0L12760g,C_glabrata
Cluster59,gene-YPL048W,S_cerevisiae
Cluster60,orf19.2795,C_albicans
Cluster60,CAGL0H07975g,C_glabrata
Cluster60,gene-YDL051W,S_cerevisiae
Cluster60,gene:KLLA0_E01277g,K_lactis
Cluster61,orf19.3089,C_albicans
Cluster61,CAGL0G08195g,C_glabrata
Cluster61,gene-YLR168C,S_cerevisiae
Cluster61,gene-YDR185C,S_cerevisiae
Cluster61,gene:KLLA0_D18348g,K_lactis
Cluster62,orf19.4903,C_albicans
Cluster62,CAGL0M03047g,C_glabrata
Cluster62,gene-YMR281W,S_cerevisiae
Cluster62,gene:KLLA0_D01430g,K_lactis
Cluster63,orf19.4904,C_albicans
Cluster63,gene:KLLA0_F19063g,K_lactis
Cluster63,gene-YLR085C,S_cerevisiae
Cluster63,CAGL0L12166g,C_glabrata
Cluster64,gene-YJL002C,S_cerevisiae
Cluster64,CAGL0D05742g,C_glabrata
Cluster64,gene:KLLA0_F12980g,K_lactis
Cluster64,orf19.6988,C_albicans
Cluster65,orf19.6554,C_albicans
Cluster65,gene:KLLA0_D06985g,K_lactis
Cluster65,gene-YOR220W,S_cerevisiae
Cluster65,CAGL0J04158g,C_glabrata
Cluster66,orf19.6031,C_albicans
Cluster66,gene:KLLA0_F06446g,K_lactis
Cluster66,CAGL0I05830g,C_glabrata
Cluster66,gene-YNR006W,S_cerevisiae
Cluster67,orf19.3104,C_albicans
Cluster67,CAGL0M06347g,C_glabrata
Cluster67,gene-YBR183W,S_cerevisiae
Cluster67,gene:KLLA0_E23981g,K_lactis
Cluster67,gene-YPL087W,S_cerevisiae
Cluster67,CAGL0H05599g,C_glabrata
Cluster68,tT(AGU)3,unknown
Cluster69,tT(AGU)1,unknown
Cluster70,gene-YNCJ0004C,S_cerevisiae
Cluster70,CAGL0M05871r,C_glabrata
Cluster71,tT(AGU)4,unknown
Cluster72,gene:KLLA0_E24927g,K_lactis
Cluster73,gene:KLLA0_E24905g,K_lactis
Cluster74,gene:KLLA0_C18711g,K_lactis
Cluster75,gene:KLLA0_B03674g,K_lactis
Cluster76,gene:KLLA0_D12276g,K_lactis
Cluster76,gene-YLR199C,S_cerevisiae
Cluster76,CAGL0A03993g,C_glabrata
Cluster77,gene:KLLA0_B03718g,K_lactis
Cluster78,gene:KLLA0_A09097g,K_lactis
Cluster78,gene-YGL014W,S_cerevisiae
Cluster78,CAGL0A00473g,C_glabrata
Cluster78,orf19.5381,C_albicans
Cluster79,CAGL0L05962g,C_glabrata
Cluster79,gene-YGL178W,S_cerevisiae
Cluster79,gene:KLLA0_E13597g,K_lactis
Cluster79,orf19.4991,C_albicans
Cluster80,orf19.7618,C_albicans
Cluster80,CAGL0K09460g,C_glabrata
Cluster80,gene-YOR145C,S_cerevisiae
Cluster80,gene:KLLA0_C06446g,K_lactis
Cluster81,orf19.6434,C_albicans
Cluster81,gene:KLLA0_E05017g,K_lactis
Cluster81,gene-YDL065C,S_cerevisiae
Cluster81,CAGL0D00792g,C_glabrata
Cluster82,CAGL0J05566g,C_glabrata
Cluster82,gene-YNL085W,S_cerevisiae
Cluster82,gene:KLLA0_C13926g,K_lactis
Cluster82,orf19.2664,C_albicans
Cluster83,orf19.2178.1,C_albicans
Cluster83,CAGL0L05626g,C_glabrata
Cluster83,gene-YJL127C-B,S_cerevisiae
Cluster84,orf19.5965,C_albicans
Cluster84,CAGL0J09108g,C_glabrata
Cluster84,gene-YDL190C,S_cerevisiae
Cluster84,gene:KLLA0_F05269g,K_lactis
Cluster85,orf19.3902,C_albicans
Cluster85,gene-YDL218W,S_cerevisiae
Cluster85,CAGL0G05632g,C_glabrata
Cluster85,gene:KLLA0_D08646g,K_lactis
Cluster86,orf19.3169,C_albicans
Cluster86,gene:KLLA0_C09504g,K_lactis
Cluster86,CAGL0C02805g,C_glabrata
Cluster86,gene-YOR262W,S_cerevisiae
Cluster87,orf19.1560,C_albicans
