cluster_id,gene_id,species,homology_class
Cluster100,gene:KLLA0_D16302g,K_lactis,pure_ortholog
Cluster100,CAGL0I10472g,C_glabrata,pure_ortholog
Cluster100,gene-YGR132C,S_cerevisiae,pure_ortholog
Cluster100,orf19.357,C_albicans,pure_ortholog
Cluster1006,orf19.1744,C_albicans,pure_ortholog
Cluster1006,gene:KLLA0_C07150g,K_lactis,pure_ortholog
Cluster1006,gene-YOR278W,S_cerevisiae,pure_ortholog
Cluster1006,CAGL0L11000g,C_glabrata,pure_ortholog
Cluster1007,orf19.5395,C_albicans,pure_ortholog
Cluster1007,gene:KLLA0_E22683g,K_lactis,pure_ortholog
Cluster1007,CAGL0M08008g,C_glabrata,pure_ortholog
Cluster1007,gene-YJR033C,S_cerevisiae,pure_ortholog
Cluster1010,gene-YDR268W,S_cerevisiae,pure_ortholog
Cluster1010,CAGL0M08624g,C_glabrata,pure_ortholog
Cluster1010,gene:KLLA0_E21825g,K_lactis,pure_ortholog
Cluster1010,orf19.4299,C_albicans,pure_ortholog
Cluster1011,orf19.5927,C_albicans,pure_ortholog
Cluster1011,gene-YOL040C,S_cerevisiae,pure_ortholog
Cluster1011,CAGL0F01045g,C_glabrata,pure_ortholog
Cluster1011,gene:KLLA0_F07843g,K_lactis,pure_ortholog
Cluster1012,gene:KLLA0_E15093g,K_lactis,pure_ortholog
Cluster1012,CAGL0L05500g,C_glabrata,pure_ortholog
Cluster1012,gene-YJL122W,S_cerevisiae,pure_ortholog
Cluster1012,orf19.7107,C_albicans,pure_ortholog
Cluster1013,gene:KLLA0_C10010g,K_lactis,pure_ortholog
Cluster1013,gene-YOR249C,S_cerevisiae,pure_ortholog
Cluster1013,CAGL0K09108g,C_glabrata,pure_ortholog
Cluster1013,orf19.6861,C_albicans,pure_ortholog
Cluster1024,orf19.3831,C_albicans,pure_ortholog
Cluster1024,CAGL0G00264g,C_glabrata,pure_ortholog
Cluster1024,gene-YGR280C,S_cerevisiae,pure_ortholog
Cluster1024,gene:KLLA0_C14135g,K_lactis,pure_ortholog
Cluster1025,CAGL0K11022g,C_glabrata,pure_ortholog
Cluster1025,gene-YDR236C,S_cerevisiae,pure_ortholog
Cluster1025,gene:KLLA0_C15213g,K_lactis,pure_ortholog
Cluster1025,orf19.4373,C_albicans,pure_ortholog
Cluster1026,orf19.2707.1,C_albicans,pure_ortholog
Cluster1026,gene:KLLA0_F15325g,K_lactis,pure_ortholog
Cluster1026,gene-YGR183C,S_cerevisiae,pure_ortholog
Cluster1026,CAGL0H09328g,C_glabrata,pure_ortholog
Cluster1027,gene-YBR153W,S_cerevisiae,pure_ortholog
Cluster1027,CAGL0F05203g,C_glabrata,pure_ortholog
Cluster1027,gene:KLLA0_F21120g,K_lactis,pure_ortholog
Cluster1027,orf19.6341,C_albicans,pure_ortholog
Cluster1028,gene-YIL098C,S_cerevisiae,pure_ortholog
Cluster1028,CAGL0G02695g,C_glabrata,pure_ortholog
Cluster1028,gene:KLLA0_F04081g,K_lactis,pure_ortholog
Cluster1028,orf19.4825,C_albicans,pure_ortholog
Cluster1029,orf19.4718,C_albicans,pure_ortholog
Cluster1029,gene:KLLA0_E10649g,K_lactis,pure_ortholog
Cluster1029,CAGL0A01430g,C_glabrata,pure_ortholog
Cluster1029,gene-YGL026C,S_cerevisiae,pure_ortholog
Cluster1031,gene:KLLA0_F13178g,K_lactis,pure_ortholog
Cluster1031,gene-YDR221W,S_cerevisiae,pure_ortholog
Cluster1031,CAGL0E04796g,C_glabrata,pure_ortholog
Cluster1031,orf19.3286,C_albicans,pure_ortholog
Cluster1032,orf19.6061,C_albicans,pure_ortholog
Cluster1032,CAGL0H05885g,C_glabrata,pure_ortholog
Cluster1032,gene-YPL103C,S_cerevisiae,pure_ortholog
Cluster1032,gene:KLLA0_E24377g,K_lactis,pure_ortholog
Cluster1033,orf19.2443,C_albicans,pure_ortholog
Cluster1033,CAGL0I09218g,C_glabrata,pure_ortholog
Cluster1033,gene-YBR260C,S_cerevisiae,pure_ortholog
Cluster1033,gene:KLLA0_F02123g,K_lactis,pure_ortholog
Cluster1057,gene:KLLA0_F27621g,K_lactis,pure_ortholog
Cluster1057,CAGL0L00847g,C_glabrata,pure_ortholog
Cluster1057,gene-YIL043C,S_cerevisiae,pure_ortholog
Cluster1057,orf19.1801,C_albicans,pure_ortholog
Cluster1059,orf19.7238,C_albicans,pure_ortholog
Cluster1059,CAGL0H04763g,C_glabrata,pure_ortholog
Cluster1059,gene-YDR432W,S_cerevisiae,pure_ortholog
Cluster1059,gene:KLLA0_B00979g,K_lactis,pure_ortholog
