species1,gene1,species2,gene2,source,pillar_id,gene_pair
C. albicans,orf19.3293,S. cerevisiae,YDL015C,CGOB,0,"('orf19.3293', 'YDL015C')"
S. cerevisiae,YDL015C,C. albicans,orf19.3293,CGOB,0,"('YDL015C', 'orf19.3293')"
C. albicans,orf19.998,S. cerevisiae,YPR171W,CGOB,12,"('orf19.998', 'YPR171W')"
S. cerevisiae,YPR171W,C. albicans,orf19.998,CGOB,12,"('YPR171W', 'orf19.998')"
C. albicans,orf19.1832,S. cerevisiae,YGL186C,CGOB,78,"('orf19.1832', 'YGL186C')"
S. cerevisiae,YGL186C,C. albicans,orf19.1832,CGOB,78,"('YGL186C', 'orf19.1832')"
C. albicans,orf19.1833,S. cerevisiae,YLR175W,CGOB,89,"('orf19.1833', 'YLR175W')"
S. cerevisiae,YLR175W,C. albicans,orf19.1833,CGOB,89,"('YLR175W', 'orf19.1833')"
C. albicans,orf19.3294,S. cerevisiae,YOR298C-A,CGOB,111,"('orf19.3294', 'YOR298C-A')"
S. cerevisiae,YOR298C-A,C. albicans,orf19.3294,CGOB,111,"('YOR298C-A', 'orf19.3294')"
C. albicans,orf19.1835,S. cerevisiae,YER149C,CGOB,112,"('orf19.1835', 'YER149C')"
S. cerevisiae,YER149C,C. albicans,orf19.1835,CGOB,112,"('YER149C', 'orf19.1835')"
C. albicans,orf19.1836,S. cerevisiae,YBL019W,CGOB,123,"('orf19.1836', 'YBL019W')"
S. cerevisiae,YBL019W,C. albicans,orf19.1836,CGOB,123,"('YBL019W', 'orf19.1836')"
C. albicans,orf19.1837,S. cerevisiae,YER148W,CGOB,134,"('orf19.1837', 'YER148W')"
S. cerevisiae,YER148W,C. albicans,orf19.1837,CGOB,134,"('YER148W', 'orf19.1837')"
C. albicans,orf19.1839,S. cerevisiae,YOR341W,CGOB,145,"('orf19.1839', 'YOR341W')"
S. cerevisiae,YOR341W,C. albicans,orf19.1839,CGOB,145,"('YOR341W', 'orf19.1839')"
C. albicans,orf19.1840,S. cerevisiae,YOR086C,CGOB,156,"('orf19.1840', 'YOR086C')"
S. cerevisiae,YOR086C,C. albicans,orf19.1840,CGOB,156,"('YOR086C', 'orf19.1840')"
C. albicans,orf19.2352,S. cerevisiae,YGR031W,CGOB,167,"('orf19.2352', 'YGR031W')"
S. cerevisiae,YGR031W,C. albicans,orf19.2352,CGOB,167,"('YGR031W', 'orf19.2352')"
C. albicans,orf19.2351,S. cerevisiae,YLR351C,CGOB,178,"('orf19.2351', 'YLR351C')"
S. cerevisiae,YLR351C,C. albicans,orf19.2351,CGOB,178,"('YLR351C', 'orf19.2351')"
C. albicans,orf19.2350,S. cerevisiae,YOR378W,CGOB,189,"('orf19.2350', 'YOR378W')"
S. cerevisiae,YOR378W,C. albicans,orf19.2350,CGOB,189,"('YOR378W', 'orf19.2350')"
C. albicans,orf19.2346,S. cerevisiae,YPL222W,CGOB,211,"('orf19.2346', 'YPL222W')"
S. cerevisiae,YPL222W,C. albicans,orf19.2346,CGOB,211,"('YPL222W', 'orf19.2346')"
C. albicans,orf19.2343.1,S. cerevisiae,YCL005W-A,CGOB,234,"('orf19.2343.1', 'YCL005W-A')"
S. cerevisiae,YCL005W-A,C. albicans,orf19.2343.1,CGOB,234,"('YCL005W-A', 'orf19.2343.1')"
C. albicans,orf19.2343,S. cerevisiae,YCL008C,CGOB,245,"('orf19.2343', 'YCL008C')"
S. cerevisiae,YCL008C,C. albicans,orf19.2343,CGOB,245,"('YCL008C', 'orf19.2343')"
C. albicans,orf19.2342,S. cerevisiae,YBL102W,CGOB,256,"('orf19.2342', 'YBL102W')"
S. cerevisiae,YBL102W,C. albicans,orf19.2342,CGOB,256,"('YBL102W', 'orf19.2342')"
C. albicans,orf19.2341,S. cerevisiae,YDL125C,CGOB,267,"('orf19.2341', 'YDL125C')"
S. cerevisiae,YDL125C,C. albicans,orf19.2341,CGOB,267,"('YDL125C', 'orf19.2341')"
C. albicans,orf19.2340,S. cerevisiae,YDL126C,CGOB,278,"('orf19.2340', 'YDL126C')"
S. cerevisiae,YDL126C,C. albicans,orf19.2340,CGOB,278,"('YDL126C', 'orf19.2340')"
C. albicans,orf19.2335,S. cerevisiae,YHR113W,CGOB,311,"('orf19.2335', 'YHR113W')"
S. cerevisiae,YHR113W,C. albicans,orf19.2335,CGOB,311,"('YHR113W', 'orf19.2335')"
C. albicans,orf19.2334,S. cerevisiae,YHR101C,CGOB,322,"('orf19.2334', 'YHR101C')"
S. cerevisiae,YHR101C,C. albicans,orf19.2334,CGOB,322,"('YHR101C', 'orf19.2334')"
C. albicans,orf19.2333,S. cerevisiae,YHR009C,CGOB,334,"('orf19.2333', 'YHR009C')"
S. cerevisiae,YHR009C,C. albicans,orf19.2333,CGOB,334,"('YHR009C', 'orf19.2333')"
C. albicans,orf19.2331,S. cerevisiae,YDR448W,CGOB,356,"('orf19.2331', 'YDR448W')"
S. cerevisiae,YDR448W,C. albicans,orf19.2331,CGOB,356,"('YDR448W', 'orf19.2331')"
C. albicans,orf19.2329.1,S. cerevisiae,YDR447C,CGOB,367,"('orf19.2329.1', 'YDR447C')"
S. cerevisiae,YDR447C,C. albicans,orf19.2329.1,CGOB,367,"('YDR447C', 'orf19.2329.1')"
C. albicans,orf19.2330,S. cerevisiae,YDR449C,CGOB,378,"('orf19.2330', 'YDR449C')"
S. cerevisiae,YDR449C,C. albicans,orf19.2330,CGOB,378,"('YDR449C', 'orf19.2330')"
C. albicans,orf19.2326,S. cerevisiae,YDR363W,CGOB,400,"('orf19.2326', 'YDR363W')"
S. cerevisiae,YDR363W,C. albicans,orf19.2326,CGOB,400,"('YDR363W', 'orf19.2326')"
C. albicans,orf19.2325,S. cerevisiae,YDR362C,CGOB,411,"('orf19.2325', 'YDR362C')"
S. cerevisiae,YDR362C,C. albicans,orf19.2325,CGOB,411,"('YDR362C', 'orf19.2325')"
