species1,gene1,species2,gene2,cluster_id
K. lactis,gene:KLLA0_D16302g,C. glabrata,CAGL0I10472g,Cluster100
K. lactis,gene:KLLA0_D16302g,S. cerevisiae,gene-YGR132C,Cluster100
K. lactis,gene:KLLA0_D16302g,C. albicans,orf19.357,Cluster100
C. glabrata,CAGL0I10472g,S. cerevisiae,gene-YGR132C,Cluster100
C. glabrata,CAGL0I10472g,C. albicans,orf19.357,Cluster100
S. cerevisiae,gene-YGR132C,C. albicans,orf19.357,Cluster100
C. albicans,orf19.1744,K. lactis,gene:KLLA0_C07150g,Cluster1006
C. albicans,orf19.1744,S. cerevisiae,gene-YOR278W,Cluster1006
C. albicans,orf19.1744,C. glabrata,CAGL0L11000g,Cluster1006
K. lactis,gene:KLLA0_C07150g,S. cerevisiae,gene-YOR278W,Cluster1006
K. lactis,gene:KLLA0_C07150g,C. glabrata,CAGL0L11000g,Cluster1006
S. cerevisiae,gene-YOR278W,C. glabrata,CAGL0L11000g,Cluster1006
C. albicans,orf19.5395,K. lactis,gene:KLLA0_E22683g,Cluster1007
C. albicans,orf19.5395,C. glabrata,CAGL0M08008g,Cluster1007
C. albicans,orf19.5395,S. cerevisiae,gene-YJR033C,Cluster1007
K. lactis,gene:KLLA0_E22683g,C. glabrata,CAGL0M08008g,Cluster1007
K. lactis,gene:KLLA0_E22683g,S. cerevisiae,gene-YJR033C,Cluster1007
C. glabrata,CAGL0M08008g,S. cerevisiae,gene-YJR033C,Cluster1007
K. lactis,gene:KLLA0_D13134g,S. cerevisiae,gene-YHR076W,Cluster101
K. lactis,gene:KLLA0_D13134g,C. albicans,orf19.5661,Cluster101
S. cerevisiae,gene-YHR076W,C. albicans,orf19.5661,Cluster101
S. cerevisiae,gene-YDR268W,C. glabrata,CAGL0M08624g,Cluster1010
S. cerevisiae,gene-YDR268W,K. lactis,gene:KLLA0_E21825g,Cluster1010
S. cerevisiae,gene-YDR268W,C. albicans,orf19.4299,Cluster1010
C. glabrata,CAGL0M08624g,K. lactis,gene:KLLA0_E21825g,Cluster1010
C. glabrata,CAGL0M08624g,C. albicans,orf19.4299,Cluster1010
K. lactis,gene:KLLA0_E21825g,C. albicans,orf19.4299,Cluster1010
C. albicans,orf19.5927,S. cerevisiae,gene-YOL040C,Cluster1011
C. albicans,orf19.5927,C. glabrata,CAGL0F01045g,Cluster1011
C. albicans,orf19.5927,K. lactis,gene:KLLA0_F07843g,Cluster1011
S. cerevisiae,gene-YOL040C,C. glabrata,CAGL0F01045g,Cluster1011
S. cerevisiae,gene-YOL040C,K. lactis,gene:KLLA0_F07843g,Cluster1011
C. glabrata,CAGL0F01045g,K. lactis,gene:KLLA0_F07843g,Cluster1011
K. lactis,gene:KLLA0_E15093g,C. glabrata,CAGL0L05500g,Cluster1012
K. lactis,gene:KLLA0_E15093g,S. cerevisiae,gene-YJL122W,Cluster1012
K. lactis,gene:KLLA0_E15093g,C. albicans,orf19.7107,Cluster1012
C. glabrata,CAGL0L05500g,S. cerevisiae,gene-YJL122W,Cluster1012
C. glabrata,CAGL0L05500g,C. albicans,orf19.7107,Cluster1012
S. cerevisiae,gene-YJL122W,C. albicans,orf19.7107,Cluster1012
K. lactis,gene:KLLA0_C10010g,S. cerevisiae,gene-YOR249C,Cluster1013
K. lactis,gene:KLLA0_C10010g,C. glabrata,CAGL0K09108g,Cluster1013
K. lactis,gene:KLLA0_C10010g,C. albicans,orf19.6861,Cluster1013
S. cerevisiae,gene-YOR249C,C. glabrata,CAGL0K09108g,Cluster1013
S. cerevisiae,gene-YOR249C,C. albicans,orf19.6861,Cluster1013
C. glabrata,CAGL0K09108g,C. albicans,orf19.6861,Cluster1013
C. albicans,orf19.3838,S. cerevisiae,gene-YAL003W,Cluster102
C. albicans,orf19.3838,C. glabrata,CAGL0F08547g,Cluster102
S. cerevisiae,gene-YAL003W,C. glabrata,CAGL0F08547g,Cluster102
S. cerevisiae,gene-YNCG0032W,C. glabrata,CAGL0E03333r,Cluster1021
C. glabrata,CAGL0G00880r,S. cerevisiae,gene-YNCB0018W,Cluster1022
S. cerevisiae,gene-YNCK0005C,C. glabrata,CAGL0L01815r,Cluster1023
C. albicans,orf19.3831,C. glabrata,CAGL0G00264g,Cluster1024
C. albicans,orf19.3831,S. cerevisiae,gene-YGR280C,Cluster1024
C. albicans,orf19.3831,K. lactis,gene:KLLA0_C14135g,Cluster1024
C. glabrata,CAGL0G00264g,S. cerevisiae,gene-YGR280C,Cluster1024
C. glabrata,CAGL0G00264g,K. lactis,gene:KLLA0_C14135g,Cluster1024
S. cerevisiae,gene-YGR280C,K. lactis,gene:KLLA0_C14135g,Cluster1024
C. glabrata,CAGL0K11022g,S. cerevisiae,gene-YDR236C,Cluster1025
C. glabrata,CAGL0K11022g,K. lactis,gene:KLLA0_C15213g,Cluster1025
C. glabrata,CAGL0K11022g,C. albicans,orf19.4373,Cluster1025
S. cerevisiae,gene-YDR236C,K. lactis,gene:KLLA0_C15213g,Cluster1025
S. cerevisiae,gene-YDR236C,C. albicans,orf19.4373,Cluster1025
K. lactis,gene:KLLA0_C15213g,C. albicans,orf19.4373,Cluster1025
C. albicans,orf19.2707.1,K. lactis,gene:KLLA0_F15325g,Cluster1026
C. albicans,orf19.2707.1,S. cerevisiae,gene-YGR183C,Cluster1026
C. albicans,orf19.2707.1,C. glabrata,CAGL0H09328g,Cluster1026
K. lactis,gene:KLLA0_F15325g,S. cerevisiae,gene-YGR183C,Cluster1026
K. lactis,gene:KLLA0_F15325g,C. glabrata,CAGL0H09328g,Cluster1026
S. cerevisiae,gene-YGR183C,C. glabrata,CAGL0H09328g,Cluster1026
S. cerevisiae,gene-YBR153W,C. glabrata,CAGL0F05203g,Cluster1027
S. cerevisiae,gene-YBR153W,K. lactis,gene:KLLA0_F21120g,Cluster1027
S. cerevisiae,gene-YBR153W,C. albicans,orf19.6341,Cluster1027
C. glabrata,CAGL0F05203g,K. lactis,gene:KLLA0_F21120g,Cluster1027
C. glabrata,CAGL0F05203g,C. albicans,orf19.6341,Cluster1027
K. lactis,gene:KLLA0_F21120g,C. albicans,orf19.6341,Cluster1027
S. cerevisiae,gene-YIL098C,C. glabrata,CAGL0G02695g,Cluster1028
S. cerevisiae,gene-YIL098C,K. lactis,gene:KLLA0_F04081g,Cluster1028
S. cerevisiae,gene-YIL098C,C. albicans,orf19.4825,Cluster1028
C. glabrata,CAGL0G02695g,K. lactis,gene:KLLA0_F04081g,Cluster1028
C. glabrata,CAGL0G02695g,C. albicans,orf19.4825,Cluster1028
K. lactis,gene:KLLA0_F04081g,C. albicans,orf19.4825,Cluster1028
C. albicans,orf19.4718,K. lactis,gene:KLLA0_E10649g,Cluster1029
C. albicans,orf19.4718,C. glabrata,CAGL0A01430g,Cluster1029
C. albicans,orf19.4718,S. cerevisiae,gene-YGL026C,Cluster1029
K. lactis,gene:KLLA0_E10649g,C. glabrata,CAGL0A01430g,Cluster1029
K. lactis,gene:KLLA0_E10649g,S. cerevisiae,gene-YGL026C,Cluster1029
C. glabrata,CAGL0A01430g,S. cerevisiae,gene-YGL026C,Cluster1029
C. albicans,orf19.6679,K. lactis,gene:KLLA0_B12980g,Cluster103
K. lactis,gene:KLLA0_B12980g,C. albicans,orf19.4789,Cluster103
C. albicans,orf19.2435,K. lactis,gene:KLLA0_E24597g,Cluster1030
C. albicans,orf19.2435,C. glabrata,CAGL0M06083g,Cluster1030
C. albicans,orf19.2435,S. cerevisiae,gene-YBR169C,Cluster1030
C. albicans,orf19.2435,S. cerevisiae,gene-YPL106C,Cluster1030
K. lactis,gene:KLLA0_E24597g,C. glabrata,CAGL0M06083g,Cluster1030
K. lactis,gene:KLLA0_E24597g,S. cerevisiae,gene-YBR169C,Cluster1030
