gene_pair,in_ygob,in_synergy
"('CAGL0L01727g', 'orf19.1989')",True,True
"('CAGL0E04312g', 'orf19.4961')",False,True
"('CAGL0L07788g', 'orf19.7124')",True,True
"('CAGL0E03245g', 'orf19.6090')",True,True
"('CAGL0I07909g', 'orf19.5219')",False,True
"('CAGL0G01276g', 'orf19.4730')",True,False
"('CAGL0E05324g', 'orf19.3431')",True,True
"('CAGL0H03839g', 'orf19.7082')",True,True
"('CAGL0L02453g', 'orf19.4231')",False,True
"('CAGL0G06952g', 'orf19.3363')",False,True
"('CAGL0K10912g', 'orf19.828')",True,True
"('CAGL0G06490g', 'orf19.1700')",False,True
"('CAGL0F03949g', 'orf19.1265')",True,True
"('CAGL0K01661g', 'orf19.6980')",True,True
"('CAGL0K05291g', 'orf19.1203')",True,True
"('CAGL0D05016g', 'orf19.563')",True,True
"('CAGL0E00781g', 'orf19.1378')",True,True
"('CAGL0C01441g', 'orf19.2143')",True,True
"('CAGL0K07029g', 'orf19.6831')",True,True
"('CAGL0B03817g', 'orf19.7210')",True,True
"('CAGL0F02101g', 'orf19.2182')",True,True
"('CAGL0H00979g', 'orf19.7164')",True,True
"('CAGL0D05786g', 'orf19.7491')",True,True
"('CAGL0B02255g', 'orf19.3297')",True,True
"('CAGL0J11220g', 'orf19.6312')",True,True
"('CAGL0F04763g', 'orf19.2266')",False,True
"('CAGL0J02728g', 'orf19.7558')",True,True
"('CAGL0J00935g', 'orf19.4190')",True,True
"('CAGL0F01683g', 'orf19.1409.1')",True,False
"('CAGL0I07799g', 'orf19.6340')",True,True
"('CAGL0E00737g', 'orf19.6645')",True,True
"('CAGL0H07843g', 'orf19.1228')",True,True
"('CAGL0M05137g', 'orf19.7574')",False,True
"('CAGL0K02739g', 'orf19.3249')",True,False
"('CAGL0M01452g', 'orf19.5662')",True,True
"('CAGL0L03542g', 'orf19.5161')",True,True
"('CAGL0G01903g', 'orf19.5811')",True,True
"('CAGL0H06589g', 'orf19.4441')",True,True
"('CAGL0J09504g', 'orf19.5321')",True,True
"('CAGL0E04400g', 'orf19.1201')",True,True
"('CAGL0L10912g', 'orf19.473')",True,True
"('CAGL0M12298g', 'orf19.7374')",True,False
"('CAGL0J11660g', 'orf19.96')",False,True
"('CAGL0E03003g', 'orf19.2116')",True,True
"('CAGL0K12100g', 'orf19.2803')",True,True
"('CAGL0I08041g', 'orf19.7673')",False,True
"('CAGL0K05775g', 'orf19.6328')",True,True
"('CAGL0F08701g', 'orf19.2112')",True,True
"('CAGL0C05071g', 'orf19.889')",True,False
"('CAGL0K08932g', 'orf19.4383')",True,False
"('CAGL0J03245g', 'orf19.5825.1')",True,True
"('CAGL0I10054g', 'orf19.7363')",False,True
"('CAGL0J06776g', 'orf19.7177')",True,True
"('CAGL0H01859g', 'orf19.1136')",True,True
"('CAGL0I09284g', 'orf19.1342')",True,True
"('CAGL0L00957g', 'orf19.1267')",False,True
"('CAGL0C02651g', 'orf19.6374')",True,True
"('CAGL0I00704g', 'orf19.3060')",True,True
"('CAGL0H02343g', 'orf19.6667')",True,True
"('CAGL0M07898g', 'orf19.6610')",True,True
"('CAGL0K05093g', 'orf19.1252')",True,True
"('CAGL0I05016g', 'orf19.2546')",True,True
