gene_pair,in_ygob,in_synergy
"('CAGL0J07700g', 'KLLA0C03069g')",True,True
"('CAGL0D00660g', 'KLLA0B03003g')",True,True
"('CAGL0L02915g', 'KLLA0F01034g')",False,True
"('CAGL0K05115g', 'KLLA0E06689g')",True,True
"('CAGL0F02893g', 'KLLA0A02013g')",True,True
"('CAGL0F06693g', 'KLLA0F25872g')",True,True
"('CAGL0C05027g', 'KLLA0C04169g')",True,True
"('CAGL0E05104g', 'KLLA0E08933g')",True,True
"('CAGL0K10912g', 'KLLA0D12562g')",True,True
"('CAGL0L08162g', 'KLLA0C03564g')",True,True
"('CAGL0J11308g', 'KLLA0D08415g')",True,True
"('CAGL0I04422g', 'KLLA0C04213g')",True,True
"('CAGL0D00814g', 'KLLA0E05039g')",True,True
"('CAGL0K10076g', 'KLLA0C11759g')",True,True
"('CAGL0L05544g', 'KLLA0E15159g')",True,True
"('CAGL0E02123g', 'KLLA0A07381g')",True,True
"('CAGL0J09746g', 'KLLA0A03245g')",True,True
"('CAGL0G07403g', 'KLLA0B01826g')",True,True
"('CAGL0G00330g', 'KLLA0C14025g')",True,True
"('CAGL0L04884g', 'KLLA0B11121g')",True,True
"('CAGL0F09053g', 'KLLA0B03608g')",True,True
"('CAGL0J10230g', 'KLLA0F04796g')",True,True
"('CAGL0I04576g', 'KLLA0E17711g')",True,True
"('CAGL0C05335g', 'KLLA0F14685g')",True,True
"('CAGL0C03223g', 'KLLA0E00683g')",True,True
"('CAGL0G04037g', 'KLLA0E00881g')",True,True
"('CAGL0M13145g', 'KLLA0C12529g')",True,True
"('CAGL0M07491g', 'KLLA0E07613g')",True,False
"('CAGL0L09152g', 'KLLA0E14147g')",True,True
"('CAGL0K02101g', 'KLLA0F12452g')",False,True
"('CAGL0B03443g', 'KLLA0F22946g')",True,True
"('CAGL0M10175g', 'KLLA0B13585g')",True,True
"('CAGL0L11594g', 'KLLA0E21121g')",True,True
"('CAGL0I06985g', 'KLLA0A01551g')",True,True
"('CAGL0H03839g', 'KLLA0D04950g')",True,True
"('CAGL0H08305g', 'KLLA0F18810g')",True,True
"('CAGL0I09086g', 'KLLA0F11077g')",False,True
"('CAGL0H06545g', 'KLLA0A00660g')",True,True
"('CAGL0L05786g', 'KLLA0A04609g')",False,True
"('CAGL0L01001g', 'KLLA0E04335g')",True,True
"('CAGL0M01386g', 'KLLA0E16919g')",True,True
"('CAGL0J02992g', 'KLLA0C08195g')",True,True
"('CAGL0K05753g', 'KLLA0A06930g')",False,True
"('CAGL0F06545g', 'KLLA0A04389g')",False,True
"('CAGL0H09372g', 'KLLA0F15389g')",True,True
"('CAGL0L09581g', 'KLLA0D15697g')",True,True
"('CAGL0C01661g', 'KLLA0F06688g')",True,True
"('CAGL0H06611g', 'KLLA0A00528g')",False,True
"('CAGL0J05412g', 'KLLA0F06666g')",True,True
"('CAGL0J11110g', 'KLLA0D09691g')",True,True
"('CAGL0M03443r', 'KLLA0D02640g')",False,True
"('CAGL0K10692g', 'KLLA0D04664g')",True,True
"('CAGL0A02838g', 'KLLA0E02201g')",True,True
"('CAGL0M12474g', 'KLLA0C08173g')",True,True
"('CAGL0A02486g', 'KLLA0E21671g')",False,True
"('CAGL0D02112g', 'KLLA0B12397g')",False,True
"('CAGL0F09075g', 'KLLA0B03586g')",True,True
"('CAGL0K10472g', 'KLLA0A10857g')",True,False
"('CAGL0K05621g', 'KLLA0A07557g')",False,True
"('CAGL0L08184g', 'KLLA0C03542g')",True,True
"('CAGL0G03927g', 'KLLA0F18106g')",False,True
"('CAGL0K06589g', 'KLLA0E03345g')",True,True
"('CAGL0C03201g', 'KLLA0E00705g')",True,True
"('CAGL0B02189g', 'KLLA0E16061g')",True,True
"('CAGL0F03707g', 'KLLA0C07535g')",False,True
"('CAGL0H08866g', 'KLLA0D11264g')",True,True
"('CAGL0F04081g', 'KLLA0E12497g')",True,True
"('CAGL0J11770g', 'KLLA0C05940g')",False,True
"('CAGL0K05797g', 'KLLA0C01364g')",True,True
"('CAGL0L07458g', 'KLLA0F18502g')",True,True
"('CAGL0K10362g', 'KLLA0E02839g')",True,True
"('CAGL0I05126g', 'KLLA0E19779g')",True,True
"('CAGL0I00770g', 'KLLA0E21957g')",True,True
"('CAGL0L00429g', 'KLLA0D12738g')",True,True
"('CAGL0M08844g', 'KLLA0A07084g')",True,True
"('CAGL0K07920g', 'KLLA0D09086g')",True,True
"('CAGL0M11550g', 'KLLA0F19822g')",True,True
"('CAGL0J02156g', 'KLLA0D13838g')",True,True
