cluster_id,gene_id,species,homology_class,ohnolog_partner,ohnolog_evidence,outgroup_orthologs
Cluster8912,gene-YDR272W,S_cerevisiae,ohnolog,gene-YOR040W,WGD_2:1_pattern,"{'C_albicans': 'orf19.4088', 'K_lactis': 'gene:KLLA0_F16016g'}"
Cluster8912,gene-YOR040W,S_cerevisiae,ohnolog,gene-YDR272W,WGD_2:1_pattern,"{'C_albicans': 'orf19.4088', 'K_lactis': 'gene:KLLA0_F16016g'}"
Cluster383,gene-YPL134C,S_cerevisiae,ohnolog,gene-YOR222W,WGD_2:1_pattern,"{'C_albicans': 'orf19.3518', 'K_lactis': 'gene:KLLA0_D07073g'}"
Cluster383,gene-YOR222W,S_cerevisiae,ohnolog,gene-YPL134C,WGD_2:1_pattern,"{'C_albicans': 'orf19.3518', 'K_lactis': 'gene:KLLA0_D07073g'}"
Cluster2516,gene-YML070W,S_cerevisiae,ohnolog,gene-YFL053W,WGD_2:1_pattern,"{'C_albicans': 'orf19.4777', 'K_lactis': 'gene:KLLA0_B04884g'}"
Cluster2516,gene-YFL053W,S_cerevisiae,ohnolog,gene-YML070W,WGD_2:1_pattern,"{'C_albicans': 'orf19.4777', 'K_lactis': 'gene:KLLA0_B04884g'}"
Cluster9309,gene-YDR003W,S_cerevisiae,ohnolog,gene-YBR005W,WGD_2:1_pattern,"{'C_albicans': 'orf19.3586', 'K_lactis': 'gene:KLLA0_E17469g'}"
Cluster9309,gene-YBR005W,S_cerevisiae,ohnolog,gene-YDR003W,WGD_2:1_pattern,"{'C_albicans': 'orf19.3586', 'K_lactis': 'gene:KLLA0_E17469g'}"
Cluster5696,gene-YDR178W,S_cerevisiae,ohnolog,gene-YOR297C,WGD_2:1_pattern,"{'C_albicans': 'orf19.4022', 'K_lactis': 'gene:KLLA0_F25080g'}"
Cluster5696,gene-YOR297C,S_cerevisiae,ohnolog,gene-YDR178W,WGD_2:1_pattern,"{'C_albicans': 'orf19.4022', 'K_lactis': 'gene:KLLA0_F25080g'}"
