species1,gene1,species2,gene2,cluster_id
K. lactis,gene:KLLA0_D16302g,C. glabrata,CAGL0I10472g,Cluster100
K. lactis,gene:KLLA0_C07150g,C. glabrata,CAGL0L11000g,Cluster1006
K. lactis,gene:KLLA0_E22683g,C. glabrata,CAGL0M08008g,Cluster1007
C. glabrata,CAGL0M08624g,K. lactis,gene:KLLA0_E21825g,Cluster1010
C. glabrata,CAGL0F01045g,K. lactis,gene:KLLA0_F07843g,Cluster1011
K. lactis,gene:KLLA0_E15093g,C. glabrata,CAGL0L05500g,Cluster1012
K. lactis,gene:KLLA0_C10010g,C. glabrata,CAGL0K09108g,Cluster1013
C. glabrata,CAGL0G00264g,K. lactis,gene:KLLA0_C14135g,Cluster1024
C. glabrata,CAGL0K11022g,K. lactis,gene:KLLA0_C15213g,Cluster1025
K. lactis,gene:KLLA0_F15325g,C. glabrata,CAGL0H09328g,Cluster1026
C. glabrata,CAGL0F05203g,K. lactis,gene:KLLA0_F21120g,Cluster1027
C. glabrata,CAGL0G02695g,K. lactis,gene:KLLA0_F04081g,Cluster1028
K. lactis,gene:KLLA0_E10649g,C. glabrata,CAGL0A01430g,Cluster1029
K. lactis,gene:KLLA0_E24597g,C. glabrata,CAGL0M06083g,Cluster1030
K. lactis,gene:KLLA0_F13178g,C. glabrata,CAGL0E04796g,Cluster1031
C. glabrata,CAGL0H05885g,K. lactis,gene:KLLA0_E24377g,Cluster1032
C. glabrata,CAGL0I09218g,K. lactis,gene:KLLA0_F02123g,Cluster1033
K. lactis,gene:KLLA0_A07865g,C. glabrata,CAGL0K05445g,Cluster1036
C. glabrata,CAGL0L03586g,K. lactis,gene:KLLA0_F14124g,Cluster1049
K. lactis,gene:KLLA0_F27621g,C. glabrata,CAGL0L00847g,Cluster1057
C. glabrata,CAGL0H04763g,K. lactis,gene:KLLA0_B00979g,Cluster1059
K. lactis,gene:KLLA0_A08448g,C. glabrata,CAGL0A02090g,Cluster1060
K. lactis,gene:KLLA0_D11792g,C. glabrata,CAGL0L12672g,Cluster1062
C. glabrata,CAGL0H03267g,K. lactis,gene:KLLA0_E19229g,Cluster1063
C. glabrata,CAGL0I00946g,K. lactis,gene:KLLA0_E21869g,Cluster1064
C. glabrata,CAGL0H05907g,K. lactis,gene:KLLA0_E24465g,Cluster1065
K. lactis,gene:KLLA0_D16368g,C. glabrata,CAGL0E01397g,Cluster1066
C. glabrata,CAGL0F01859g,K. lactis,gene:KLLA0_F25212g,Cluster1076
K. lactis,gene:KLLA0_E23585g,C. glabrata,CAGL0M05269g,Cluster1079
C. glabrata,CAGL0I09416g,K. lactis,gene:KLLA0_F01529g,Cluster1081
K. lactis,gene:KLLA0_F01078g,C. glabrata,CAGL0L02849g,Cluster1084
K. lactis,gene:KLLA0_C15565g,C. glabrata,CAGL0K01089g,Cluster1103
K. lactis,gene:KLLA0_D03608g,C. glabrata,CAGL0B04345g,Cluster1110
C. glabrata,CAGL0C01199g,K. lactis,gene:KLLA0_A04169g,Cluster1111
K. lactis,gene:KLLA0_A04169g,C. glabrata,CAGL0F07865g,Cluster1111
C. glabrata,CAGL0K01617g,K. lactis,gene:KLLA0_C03828g,Cluster1112
K. lactis,gene:KLLA0_E16743g,C. glabrata,CAGL0H08085g,Cluster1113
C. glabrata,CAGL0M11440g,K. lactis,gene:KLLA0_F19602g,Cluster1117
K. lactis,gene:KLLA0_C09262g,C. glabrata,CAGL0J03344g,Cluster1121
K. lactis,gene:KLLA0_E02531g,C. glabrata,CAGL0A03014g,Cluster1131
K. lactis,gene:KLLA0_E12607g,C. glabrata,CAGL0E04686g,Cluster1134
K. lactis,gene:KLLA0_D12034g,C. glabrata,CAGL0L12386g,Cluster1135
K. lactis,gene:KLLA0_B12848g,C. glabrata,CAGL0K03355g,Cluster1136
K. lactis,gene:KLLA0_E18987g,C. glabrata,CAGL0H03091g,Cluster1137
C. glabrata,CAGL0I07975g,K. lactis,gene:KLLA0_E17799g,Cluster1138
K. lactis,gene:KLLA0_B02002g,C. glabrata,CAGL0H08976g,Cluster1139
C. glabrata,CAGL0G04037g,K. lactis,gene:KLLA0_E00881g,Cluster1140
K. lactis,gene:KLLA0_F01925g,C. glabrata,CAGL0B03333g,Cluster1141
C. glabrata,CAGL0J04444g,K. lactis,gene:KLLA0_F12584g,Cluster1142
K. lactis,gene:KLLA0_E17205g,C. glabrata,CAGL0C04279g,Cluster1144
K. lactis,gene:KLLA0_F20229g,C. glabrata,CAGL0C03113g,Cluster1146
C. glabrata,CAGL0M07612g,K. lactis,gene:KLLA0_E07789g,Cluster1148
K. lactis,gene:KLLA0_F05588g,C. glabrata,CAGL0J09284g,Cluster1153
K. lactis,gene:KLLA0_F15554g,C. glabrata,CAGL0D03278g,Cluster116
K. lactis,gene:KLLA0_F19404g,C. glabrata,CAGL0B01881g,Cluster1160
K. lactis,gene:KLLA0_F18436g,C. glabrata,CAGL0K12056g,Cluster1162
C. glabrata,CAGL0M13277g,K. lactis,gene:KLLA0_D03696g,Cluster1164
K. lactis,gene:KLLA0_D09625g,C. glabrata,CAGL0G09317g,Cluster1165
K. lactis,gene:KLLA0_F19888g,C. glabrata,CAGL0M11616g,Cluster1166
C. glabrata,CAGL0J05654g,K. lactis,gene:KLLA0_A11594g,Cluster1168
K. lactis,gene:KLLA0_C18722g,C. glabrata,CAGL0C03465g,Cluster1169
C. glabrata,CAGL0K00363g,K. lactis,gene:KLLA0_B14256g,Cluster117
K. lactis,gene:KLLA0_D06831g,C. glabrata,CAGL0M02739g,Cluster1170
K. lactis,gene:KLLA0_F05181g,C. glabrata,CAGL0J09020g,Cluster1176
K. lactis,gene:KLLA0_C18744g,C. glabrata,CAGL0C03443g,Cluster118
C. glabrata,CAGL0D04378g,K. lactis,gene:KLLA0_B06952g,Cluster1185
K. lactis,gene:KLLA0_F08767g,C. glabrata,CAGL0K07315g,Cluster1187
C. glabrata,CAGL0M04455g,K. lactis,gene:KLLA0_D16918g,Cluster1188
C. glabrata,CAGL0L10846g,K. lactis,gene:KLLA0_F05962g,Cluster1189
C. glabrata,CAGL0M06017g,K. lactis,gene:KLLA0_E24729g,Cluster119
K. lactis,gene:KLLA0_F20746g,C. glabrata,CAGL0F05401g,Cluster1190
K. lactis,gene:KLLA0_A05885g,C. glabrata,CAGL0I05940g,Cluster1191
C. glabrata,CAGL0I10945g,K. lactis,gene:KLLA0_F00880g,Cluster1194
K. lactis,gene:KLLA0_C06996g,C. glabrata,CAGL0M11176g,Cluster120
K. lactis,gene:KLLA0_F22605g,C. glabrata,CAGL0I08899g,Cluster1205
K. lactis,gene:KLLA0_C15895g,C. glabrata,CAGL0H01001g,Cluster1207
C. glabrata,CAGL0K09768g,K. lactis,gene:KLLA0_A11660g,Cluster1208
K. lactis,gene:KLLA0_E03543g,C. glabrata,CAGL0K06501g,Cluster1209
K. lactis,gene:KLLA0_A00594g,C. glabrata,CAGL0G02497g,Cluster121
C. glabrata,CAGL0M09493g,K. lactis,gene:KLLA0_E01563g,Cluster1211
K. lactis,gene:KLLA0_C03564g,C. glabrata,CAGL0L08162g,Cluster1212
K. lactis,gene:KLLA0_B00693g,C. glabrata,CAGL0C02431g,Cluster1215
C. glabrata,CAGL0E05632g,K. lactis,gene:KLLA0_F23419g,Cluster1217
C. glabrata,CAGL0F04785g,K. lactis,gene:KLLA0_E07811g,Cluster1219
C. glabrata,CAGL0I04312g,K. lactis,gene:KLLA0_A03157g,Cluster1223
C. glabrata,CAGL0J01870g,K. lactis,gene:KLLA0_A03157g,Cluster1223
C. glabrata,CAGL0J02420g,K. lactis,gene:KLLA0_D16170g,Cluster1224
C. glabrata,CAGL0G09713g,K. lactis,gene:KLLA0_C04809g,Cluster1229
C. glabrata,CAGL0J08371g,K. lactis,gene:KLLA0_C01936g,Cluster1232
K. lactis,gene:KLLA0_D14135g,C. glabrata,CAGL0C03762g,Cluster1234
C. glabrata,CAGL0M09757g,K. lactis,gene:KLLA0_C04796g,Cluster1235
C. glabrata,CAGL0E00913g,K. lactis,gene:KLLA0_D17226g,Cluster1237
K. lactis,gene:KLLA0_C13475g,C. glabrata,CAGL0L03784g,Cluster1246
K. lactis,gene:KLLA0_C02607g,C. glabrata,CAGL0J08008g,Cluster1249
K. lactis,gene:KLLA0_F17567g,C. glabrata,CAGL0K03685g,Cluster1250
K. lactis,gene:KLLA0_C17468g,C. glabrata,CAGL0K03157g,Cluster1251
K. lactis,gene:KLLA0_B11000g,C. glabrata,CAGL0D04950g,Cluster1252
C. glabrata,CAGL0H02585g,K. lactis,gene:KLLA0_C14432g,Cluster1253
K. lactis,gene:KLLA0_C08041g,C. glabrata,CAGL0J03102g,Cluster1255
K. lactis,gene:KLLA0_F05027g,C. glabrata,CAGL0I03784g,Cluster1256
K. lactis,gene:KLLA0_F26653g,C. glabrata,CAGL0L04950g,Cluster1257
K. lactis,gene:KLLA0_B02222g,C. glabrata,CAGL0I09548g,Cluster1258
C. glabrata,CAGL0M05665g,K. lactis,gene:KLLA0_E08867g,Cluster1260
C. glabrata,CAGL0H05137g,K. lactis,gene:KLLA0_E23057g,Cluster1261
C. glabrata,CAGL0J03212g,K. lactis,gene:KLLA0_C07777g,Cluster1263
K. lactis,gene:KLLA0_E11947g,C. glabrata,CAGL0L08690r,Cluster1269
K. lactis,gene:KLLA0_F15642g,C. glabrata,CAGL0D03212g,Cluster1271
C. glabrata,CAGL0I09658g,K. lactis,gene:KLLA0_F08492g,Cluster1275
C. glabrata,CAGL0M05643g,K. lactis,gene:KLLA0_E08845g,Cluster1281
K. lactis,gene:KLLA0_D08811g,C. glabrata,CAGL0K11066g,Cluster1282
C. glabrata,CAGL0G01342g,K. lactis,gene:KLLA0_F03575g,Cluster1283
K. lactis,gene:KLLA0_E24157g,C. glabrata,CAGL0H05731g,Cluster1284
C. glabrata,CAGL0E01507g,K. lactis,gene:KLLA0_E07063g,Cluster1285
C. glabrata,CAGL0M12320g,K. lactis,gene:KLLA0_A03355g,Cluster1287
K. lactis,gene:KLLA0_F09185g,C. glabrata,CAGL0K01925g,Cluster1289
K. lactis,gene:KLLA0_B02629g,C. glabrata,CAGL0D00440g,Cluster1291
K. lactis,gene:KLLA0_F15015g,C. glabrata,CAGL0I08701g,Cluster1292
K. lactis,gene:KLLA0_A05324g,C. glabrata,CAGL0I02222g,Cluster1293
K. lactis,gene:KLLA0_A06259g,C. glabrata,CAGL0G07513g,Cluster1294
C. glabrata,CAGL0F06435g,K. lactis,gene:KLLA0_F26334g,Cluster1295
C. glabrata,CAGL0G03487g,K. lactis,gene:KLLA0_E20835g,Cluster1296
K. lactis,gene:KLLA0_C12815g,C. glabrata,CAGL0I05434g,Cluster1297
C. glabrata,CAGL0K06127g,K. lactis,gene:KLLA0_B01452g,Cluster1298
