species1,gene1,species2,gene2,cluster_id
C. glabrata,CAGL0F03465g,S. cerevisiae,gene-YMR275C,Cluster10004
C. glabrata,CAGL0F03465g,S. cerevisiae,gene-YML111W,Cluster10004
S. cerevisiae,gene-YNR007C,C. glabrata,CAGL0I05808g,Cluster10005
C. glabrata,CAGL0M09559g,S. cerevisiae,gene-YBL097W,Cluster10006
S. cerevisiae,gene-YDL089W,C. glabrata,CAGL0L07084g,Cluster10007
C. glabrata,CAGL0C02167g,S. cerevisiae,gene-YFR039C,Cluster10025
S. cerevisiae,gene-YAL002W,C. glabrata,CAGL0A00781g,Cluster10026
S. cerevisiae,gene-YJR110W,C. glabrata,CAGL0C04895g,Cluster10028
C. glabrata,CAGL0H03267g,S. cerevisiae,gene-YPL190C,Cluster1003
C. glabrata,CAGL0I04400g,S. cerevisiae,gene-YJL140W,Cluster10045
C. glabrata,CAGL0M05885g,S. cerevisiae,gene-YKR063C,Cluster10046
S. cerevisiae,gene-YBR037C,C. glabrata,CAGL0I04796g,Cluster10048
C. glabrata,CAGL0I04796g,S. cerevisiae,gene-YBR024W,Cluster10048
S. cerevisiae,gene-YNL110C,C. glabrata,CAGL0L03806g,Cluster1005
S. cerevisiae,gene-YHR135C,C. glabrata,CAGL0J05940g,Cluster10056
S. cerevisiae,gene-YHR135C,C. glabrata,CAGL0G06138g,Cluster10056
C. glabrata,CAGL0J05940g,S. cerevisiae,gene-YNL154C,Cluster10056
S. cerevisiae,gene-YNL154C,C. glabrata,CAGL0G06138g,Cluster10056
S. cerevisiae,gene-YLR320W,C. glabrata,CAGL0A00913g,Cluster10061
S. cerevisiae,gene-YGL075C,C. glabrata,CAGL0H03421g,Cluster10070
S. cerevisiae,gene-YGL005C,C. glabrata,CAGL0A00539g,Cluster10082
C. glabrata,CAGL0K12826g,S. cerevisiae,gene-YLR075W,Cluster10088
C. glabrata,CAGL0C05489g,S. cerevisiae,gene-YDL234C,Cluster10089
C. glabrata,CAGL0K12848g,S. cerevisiae,gene-YFL045C,Cluster10093
S. cerevisiae,gene-YLR224W,C. glabrata,CAGL0C01155g,Cluster10094
S. cerevisiae,gene-YOR196C,C. glabrata,CAGL0I10923g,Cluster10096
C. glabrata,CAGL0J06930g,S. cerevisiae,gene-YPL118W,Cluster10099
S. cerevisiae,gene-YOL043C,C. glabrata,CAGL0H06303g,Cluster10102
S. cerevisiae,gene-YAL015C,C. glabrata,CAGL0H06303g,Cluster10102
S. cerevisiae,gene-YNL076W,C. glabrata,CAGL0J10274g,Cluster10104
C. glabrata,CAGL0F05511g,S. cerevisiae,gene-YDR198C,Cluster10113
S. cerevisiae,gene-YNR034W-A,C. glabrata,CAGL0M11000g,Cluster10131
C. glabrata,CAGL0J02860g,S. cerevisiae,gene-YER051W,Cluster10134
S. cerevisiae,gene-YIL031W,C. glabrata,CAGL0J02464g,Cluster10137
C. glabrata,CAGL0I08327g,S. cerevisiae,gene-YER025W,Cluster10138
C. glabrata,CAGL0J06952g,S. cerevisiae,gene-YPL117C,Cluster10141
S. cerevisiae,gene-YPR138C,C. glabrata,CAGL0D04928g,Cluster10146
S. cerevisiae,gene-YGR121C,C. glabrata,CAGL0D04928g,Cluster10146
C. glabrata,CAGL0F03003g,S. cerevisiae,gene-YGR014W,Cluster10163
C. glabrata,CAGL0F03003g,S. cerevisiae,gene-YDR420W,Cluster10163
S. cerevisiae,gene-YLR019W,C. glabrata,CAGL0D05610g,Cluster10168
S. cerevisiae,gene-YGL225W,C. glabrata,CAGL0H09196g,Cluster10170
C. glabrata,CAGL0H09196g,S. cerevisiae,gene-YER039C,Cluster10170
C. glabrata,CAGL0I01496g,S. cerevisiae,gene-YLR369W,Cluster10171
C. glabrata,CAGL0K07414g,S. cerevisiae,gene-YMR242C,Cluster10176
C. glabrata,CAGL0A01067g,S. cerevisiae,gene-YPL263C,Cluster10177
C. glabrata,CAGL0C01375g,S. cerevisiae,gene-YIL108W,Cluster10178
C. glabrata,CAGL0C02453g,S. cerevisiae,gene-YGL210W,Cluster10182
C. glabrata,CAGL0C02453g,S. cerevisiae,gene-YER031C,Cluster10182
S. cerevisiae,gene-YGR294W,C. glabrata,CAGL0G10175g,Cluster10196
S. cerevisiae,gene-YOL042W,C. glabrata,CAGL0F01001g,Cluster102
C. glabrata,CAGL0F07557g,S. cerevisiae,gene-YKL095W,Cluster1020
S. cerevisiae,gene-YKL054C,C. glabrata,CAGL0M13035g,Cluster10207
C. glabrata,CAGL0L11880g,S. cerevisiae,gene-YER169W,Cluster10214
S. cerevisiae,gene-YGL148W,C. glabrata,CAGL0E05016g,Cluster10216
S. cerevisiae,gene-YLR103C,C. glabrata,CAGL0M11550g,Cluster10217
S. cerevisiae,gene-YER028C,C. glabrata,CAGL0M04323g,Cluster10218
S. cerevisiae,gene-YKL062W,C. glabrata,CAGL0M04323g,Cluster10218
C. glabrata,CAGL0M04323g,S. cerevisiae,gene-YLR131C,Cluster10218
C. glabrata,CAGL0K08822g,S. cerevisiae,gene-YMR010W,Cluster10220
S. cerevisiae,gene-YPR186C,C. glabrata,CAGL0G10021g,Cluster10221
C. glabrata,CAGL0M11946g,S. cerevisiae,gene-YAL042W,Cluster10222
S. cerevisiae,gene-YJL153C,C. glabrata,CAGL0I06050g,Cluster10223
S. cerevisiae,gene-YDR257C,C. glabrata,CAGL0M08844g,Cluster10227
S. cerevisiae,gene-YDR336W,C. glabrata,CAGL0M01122g,Cluster10228
S. cerevisiae,gene-YLR359W,C. glabrata,CAGL0B02794g,Cluster10230
S. cerevisiae,gene-YBL072C,C. glabrata,CAGL0A04521g,Cluster10231
C. glabrata,CAGL0K10906g,S. cerevisiae,gene-YPL249C-A,Cluster10232
S. cerevisiae,gene-YIL078W,C. glabrata,CAGL0M12991g,Cluster10233
C. glabrata,CAGL0J00385g,S. cerevisiae,gene-YHR049W,Cluster10235
S. cerevisiae,gene-YKR088C,C. glabrata,CAGL0G02343g,Cluster10239
C. glabrata,CAGL0F05687g,S. cerevisiae,gene-YDR186C,Cluster10241
S. cerevisiae,gene-YGR246C,C. glabrata,CAGL0F08151g,Cluster10242
S. cerevisiae,gene-YPR185W,C. glabrata,CAGL0G09999g,Cluster10248
C. glabrata,CAGL0I02508g,S. cerevisiae,gene-YHR175W,Cluster10249
C. glabrata,CAGL0H03333g,S. cerevisiae,gene-YGL080W,Cluster1025
C. glabrata,CAGL0H05907g,S. cerevisiae,gene-YPL104W,Cluster10250
S. cerevisiae,gene-YGR175C,C. glabrata,CAGL0D05940g,Cluster10253
C. glabrata,CAGL0M08778g,S. cerevisiae,gene-YDR260C,Cluster10265
S. cerevisiae,gene-YNCG0036W,C. glabrata,CAGL0M04785r,Cluster10290
C. glabrata,CAGL0J10179g,S. cerevisiae,gene-YNL070W,Cluster10297
C. glabrata,CAGL0M04081g,S. cerevisiae,gene-YNL317W,Cluster10299
S. cerevisiae,gene-YNCH0013C,C. glabrata,CAGL0K05929r,Cluster10309
C. glabrata,CAGL0I04356g,S. cerevisiae,gene-YKR059W,Cluster10326
C. glabrata,CAGL0I04356g,S. cerevisiae,gene-YJL138C,Cluster10326
S. cerevisiae,gene-YMR150C,C. glabrata,CAGL0I00682g,Cluster10327
S. cerevisiae,gene-YOR307C,C. glabrata,CAGL0I09746g,Cluster10328
C. glabrata,CAGL0D01034g,S. cerevisiae,gene-YDL055C,Cluster10332
C. glabrata,CAGL0J03190g,S. cerevisiae,gene-YER071C,Cluster10334
C. glabrata,CAGL0K05599g,S. cerevisiae,gene-YOR080W,Cluster10339
S. cerevisiae,gene-YCR015C,C. glabrata,CAGL0B03531g,Cluster10345
C. glabrata,CAGL0H05181g,S. cerevisiae,gene-YPL065W,Cluster10355
C. glabrata,CAGL0G01166g,S. cerevisiae,gene-YLR348C,Cluster10358
S. cerevisiae,gene-YNCK0010W,C. glabrata,CAGL0F07205r,Cluster10368
S. cerevisiae,gene-YNCG0009C,C. glabrata,CAGL0F07205r,Cluster10368
S. cerevisiae,gene-YIL105C,C. glabrata,CAGL0G02827g,Cluster10385
S. cerevisiae,gene-YNL047C,C. glabrata,CAGL0G02827g,Cluster10385
S. cerevisiae,gene-YHR113W,C. glabrata,CAGL0I01298g,Cluster10386
C. glabrata,CAGL0H03817g,S. cerevisiae,gene-YCL017C,Cluster10387
C. glabrata,CAGL0G01903g,S. cerevisiae,gene-YKR069W,Cluster10395
S. cerevisiae,gene-YDR462W,C. glabrata,CAGL0K06391g,Cluster10439
S. cerevisiae,gene-YDR017C,C. glabrata,CAGL0D04378g,Cluster10452
S. cerevisiae,gene-YGR194C,C. glabrata,CAGL0G09339g,Cluster10471
C. glabrata,CAGL0M09130g,S. cerevisiae,gene-YJR089W,Cluster10474
S. cerevisiae,gene-YGR227W,C. glabrata,CAGL0L06556g,Cluster10475
S. cerevisiae,gene-YDR081C,C. glabrata,CAGL0K10054g,Cluster10488
C. glabrata,CAGL0M13673g,S. cerevisiae,gene-YMR298W,Cluster10500
S. cerevisiae,gene-YMR292W,C. glabrata,CAGL0M13563g,Cluster10528
C. glabrata,CAGL0G09152g,S. cerevisiae,gene-YPL196W,Cluster10529
C. glabrata,CAGL0L08448g,S. cerevisiae,gene-YGR131W,Cluster10531
C. glabrata,CAGL0L08448g,S. cerevisiae,gene-YPR149W,Cluster10531
S. cerevisiae,gene-YKL040C,C. glabrata,CAGL0L01859g,Cluster10540
S. cerevisiae,gene-YAL048C,C. glabrata,CAGL0M12276g,Cluster10545
S. cerevisiae,gene-YPL001W,C. glabrata,CAGL0L09042g,Cluster10547
C. glabrata,CAGL0L10560g,S. cerevisiae,gene-YHR064C,Cluster10552
C. glabrata,CAGL0F01991g,S. cerevisiae,gene-YLR050C,Cluster10554
C. glabrata,CAGL0L05126g,S. cerevisiae,gene-YKL080W,Cluster10556
C. glabrata,CAGL0A02508g,S. cerevisiae,gene-YDR352W,Cluster10572
S. cerevisiae,gene-YKR070W,C. glabrata,CAGL0G01925g,Cluster10581
S. cerevisiae,gene-YKR095W,C. glabrata,CAGL0G02497g,Cluster10591
S. cerevisiae,gene-YGR273C,C. glabrata,CAGL0G00462g,Cluster10604
S. cerevisiae,gene-YMR295C,C. glabrata,CAGL0G00462g,Cluster10604
S. cerevisiae,gene-YMR065W,C. glabrata,CAGL0F06589g,Cluster10615
S. cerevisiae,gene-YLR363C,C. glabrata,CAGL0G05005g,Cluster10616
C. glabrata,CAGL0E00605g,S. cerevisiae,gene-YCR082W,Cluster10620
C. glabrata,CAGL0I05098g,S. cerevisiae,gene-YER087C-B,Cluster10639
S. cerevisiae,gene-YGL245W,C. glabrata,CAGL0C01947g,Cluster10641
C. glabrata,CAGL0J03278g,S. cerevisiae,gene-YER077C,Cluster10644
S. cerevisiae,gene-YPR167C,C. glabrata,CAGL0I08503g,Cluster10647
C. glabrata,CAGL0J10736g,S. cerevisiae,gene-YHR075C,Cluster10648
C. glabrata,CAGL0E01567g,S. cerevisiae,gene-YOL133W,Cluster10649
S. cerevisiae,gene-YKL005C,C. glabrata,CAGL0M10285g,Cluster10650
S. cerevisiae,gene-YHR074W,C. glabrata,CAGL0J10758g,Cluster10652
C. glabrata,CAGL0H05049g,S. cerevisiae,gene-YLR382C,Cluster10655
S. cerevisiae,gene-YOR064C,C. glabrata,CAGL0L10384g,Cluster10660
S. cerevisiae,gene-YER042W,C. glabrata,CAGL0C02233g,Cluster10682
S. cerevisiae,gene-YGR007W,C. glabrata,CAGL0F08723g,Cluster10685
S. cerevisiae,gene-YLR438W,C. glabrata,CAGL0M00880g,Cluster10686
S. cerevisiae,gene-YEL042W,C. glabrata,CAGL0L01243g,Cluster10689
C. glabrata,CAGL0E02849g,S. cerevisiae,gene-YBL011W,Cluster10693
C. glabrata,CAGL0L09537g,S. cerevisiae,gene-YPL171C,Cluster10697
C. glabrata,CAGL0H04785g,S. cerevisiae,gene-YML013W,Cluster10701
S. cerevisiae,gene-YLR287C,C. glabrata,CAGL0M09757g,Cluster10711
S. cerevisiae,gene-YJL068C,C. glabrata,CAGL0J05324g,Cluster10712
C. glabrata,CAGL0G09735g,S. cerevisiae,gene-YOR181W,Cluster10718
S. cerevisiae,gene-YNR050C,C. glabrata,CAGL0C03443g,Cluster10724
C. glabrata,CAGL0G01254g,S. cerevisiae,gene-YGL202W,Cluster10765
S. cerevisiae,gene-YML057W,C. glabrata,CAGL0L11110g,Cluster1077
S. cerevisiae,gene-YLR433C,C. glabrata,CAGL0L11110g,Cluster1077
S. cerevisiae,gene-YJR100C,C. glabrata,CAGL0C04631g,Cluster10778
C. glabrata,CAGL0I04378g,S. cerevisiae,gene-YJL139C,Cluster1078
C. glabrata,CAGL0I04378g,S. cerevisiae,gene-YKR061W,Cluster1078
C. glabrata,CAGL0M09999g,S. cerevisiae,gene-YBR140C,Cluster10780
C. glabrata,CAGL0M09999g,S. cerevisiae,gene-YOL081W,Cluster10780
S. cerevisiae,gene-YBR140C,C. glabrata,CAGL0I07909g,Cluster10780
S. cerevisiae,gene-YOL081W,C. glabrata,CAGL0I07909g,Cluster10780
S. cerevisiae,gene-YJL133C-A,C. glabrata,CAGL0I04328g,Cluster10789
C. glabrata,CAGL0D05808g,S. cerevisiae,gene-YLL001W,Cluster10795
S. cerevisiae,gene-YMR199W,C. glabrata,CAGL0L10648g,Cluster10797
C. glabrata,CAGL0L10648g,S. cerevisiae,gene-YPL256C,Cluster10797
C. glabrata,CAGL0I03718g,S. cerevisiae,gene-YDL145C,Cluster10799
C. glabrata,CAGL0K05841g,S. cerevisiae,gene-YLR256W,Cluster108
S. cerevisiae,gene-YAL040C,C. glabrata,CAGL0M11990g,Cluster10803
S. cerevisiae,gene-YNCF0006W,C. glabrata,CAGL0A01936r,Cluster10804
C. glabrata,CAGL0M00968g,S. cerevisiae,gene-YLR431C,Cluster10807
S. cerevisiae,gene-YPL047W,C. glabrata,CAGL0L12738g,Cluster1081
S. cerevisiae,gene-YOR090C,C. glabrata,CAGL0J08657g,Cluster10815
C. glabrata,CAGL0L05874g,S. cerevisiae,gene-YGL173C,Cluster10816
C. glabrata,CAGL0K00429g,S. cerevisiae,gene-YJR072C,Cluster10818
C. glabrata,CAGL0H02717g,S. cerevisiae,gene-YLR165C,Cluster10820
C. glabrata,CAGL0G04851g,S. cerevisiae,gene-YLR372W,Cluster10822
S. cerevisiae,gene-YML016C,C. glabrata,CAGL0F03223g,Cluster10823
C. glabrata,CAGL0F03223g,S. cerevisiae,gene-YDR436W,Cluster10823
S. cerevisiae,gene-YHR107C,C. glabrata,CAGL0I01188g,Cluster1083
S. cerevisiae,gene-YDR196C,C. glabrata,CAGL0F05555g,Cluster10839
S. cerevisiae,gene-YIL146C,C. glabrata,CAGL0H06545g,Cluster1084
S. cerevisiae,gene-YOL145C,C. glabrata,CAGL0B01375g,Cluster10844
C. glabrata,CAGL0L09933g,S. cerevisiae,gene-YOR043W,Cluster1085
C. glabrata,CAGL0D03322g,S. cerevisiae,gene-YLR023C,Cluster10857
S. cerevisiae,gene-YNCP0016W,C. glabrata,CAGL0B04081r,Cluster1087
S. cerevisiae,gene-YNCP0016W,C. glabrata,CAGL0M13299r,Cluster1087
C. glabrata,CAGL0B04081r,S. cerevisiae,gene-YNCG0027W,Cluster1087
C. glabrata,CAGL0B04081r,S. cerevisiae,gene-YNCG0046W,Cluster1087
S. cerevisiae,gene-YNCG0027W,C. glabrata,CAGL0M13299r,Cluster1087
C. glabrata,CAGL0M13299r,S. cerevisiae,gene-YNCG0046W,Cluster1087
S. cerevisiae,gene-YMR194C-B,C. glabrata,CAGL0K10879g,Cluster10882
C. glabrata,CAGL0L07348g,S. cerevisiae,gene-YDL102W,Cluster10883
S. cerevisiae,gene-YBL025W,C. glabrata,CAGL0K01969g,Cluster10884
C. glabrata,CAGL0I08547g,S. cerevisiae,gene-YER156C,Cluster10895
S. cerevisiae,gene-YMR313C,C. glabrata,CAGL0M13981g,Cluster1095
C. glabrata,CAGL0L09823g,S. cerevisiae,gene-YKL022C,Cluster1096
C. glabrata,CAGL0J07370g,S. cerevisiae,gene-YNL227C,Cluster10965
C. glabrata,CAGL0H01089g,S. cerevisiae,gene-YDR287W,Cluster10966
S. cerevisiae,gene-YDR303C,C. glabrata,CAGL0H01507g,Cluster10969
S. cerevisiae,gene-YPL038W,C. glabrata,CAGL0L12562g,Cluster10971
S. cerevisiae,gene-YDR253C,C. glabrata,CAGL0B02651g,Cluster10974
C. glabrata,CAGL0J01595g,S. cerevisiae,gene-YPR013C,Cluster10976
S. cerevisiae,gene-YDR121W,C. glabrata,CAGL0B01903g,Cluster10982
C. glabrata,CAGL0J03762g,S. cerevisiae,gene-YOR239W,Cluster10999
C. glabrata,CAGL0E05214g,S. cerevisiae,gene-YPL088W,Cluster110
S. cerevisiae,gene-YPL088W,C. glabrata,CAGL0E05236g,Cluster110
C. glabrata,CAGL0D04532r,S. cerevisiae,gene-YNCP0017C,Cluster11012
C. glabrata,CAGL0D04532r,S. cerevisiae,gene-YNCL0047W,Cluster11012
C. glabrata,CAGL0A01325g,S. cerevisiae,gene-YGL025C,Cluster11018
C. glabrata,CAGL0K03333g,S. cerevisiae,gene-YMR100W,Cluster11024
S. cerevisiae,gene-YIR008C,C. glabrata,CAGL0L09471g,Cluster11029
S. cerevisiae,gene-YLR352W,C. glabrata,CAGL0B03113g,Cluster11031
C. glabrata,CAGL0H08349g,S. cerevisiae,gene-YDR049W,Cluster11034
C. glabrata,CAGL0H03531g,S. cerevisiae,gene-YGL068W,Cluster11036
C. glabrata,CAGL0L10758g,S. cerevisiae,gene-YMR205C,Cluster11039
C. glabrata,CAGL0M08206g,S. cerevisiae,gene-YJL171C,Cluster11041
S. cerevisiae,gene-YDR119W-A,C. glabrata,CAGL0B01875g,Cluster11060
C. glabrata,CAGL0E03916g,S. cerevisiae,gene-YHL032C,Cluster11061
C. glabrata,CAGL0J04862g,S. cerevisiae,gene-YJL047C,Cluster11077
S. cerevisiae,gene-YML037C,C. glabrata,CAGL0E04268g,Cluster11078
C. glabrata,CAGL0G05874g,S. cerevisiae,gene-YHR143W-A,Cluster11085
C. glabrata,CAGL0L02035g,S. cerevisiae,gene-YKL029C,Cluster11086
C. glabrata,CAGL0H04653g,S. cerevisiae,gene-YML008C,Cluster11088
S. cerevisiae,gene-YML130C,C. glabrata,CAGL0H06919g,Cluster11089
S. cerevisiae,gene-YPL175W,C. glabrata,CAGL0F03597g,Cluster11093
C. glabrata,CAGL0L06374g,S. cerevisiae,gene-YER180C-A,Cluster11101
S. cerevisiae,gene-YDL113C,C. glabrata,CAGL0H10428g,Cluster11113
C. glabrata,CAGL0I08635g,S. cerevisiae,gene-YER159C,Cluster11114
C. glabrata,CAGL0L12452g,S. cerevisiae,gene-YPL032C,Cluster11142
S. cerevisiae,gene-YLR168C,C. glabrata,CAGL0G08195g,Cluster11143
S. cerevisiae,gene-YHR013C,C. glabrata,CAGL0E04444g,Cluster11152
S. cerevisiae,gene-YKL133C,C. glabrata,CAGL0D02134g,Cluster11157
S. cerevisiae,gene-YMR115W,C. glabrata,CAGL0D02134g,Cluster11157
C. glabrata,CAGL0L03454g,S. cerevisiae,gene-YJL092W,Cluster11166
