cluster_id,gene_id,species,homology_class,ortholog_partners
Cluster100,gene:KLLA0_D16302g,K_lactis,pure_ortholog,"{'C_glabrata': 'CAGL0I10472g', 'S_cerevisiae': 'gene-YGR132C', 'C_albicans': 'orf19.357'}"
Cluster100,CAGL0I10472g,C_glabrata,pure_ortholog,"{'K_lactis': 'gene:KLLA0_D16302g', 'S_cerevisiae': 'gene-YGR132C', 'C_albicans': 'orf19.357'}"
Cluster100,gene-YGR132C,S_cerevisiae,pure_ortholog,"{'K_lactis': 'gene:KLLA0_D16302g', 'C_glabrata': 'CAGL0I10472g', 'C_albicans': 'orf19.357'}"
Cluster100,orf19.357,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_D16302g', 'C_glabrata': 'CAGL0I10472g', 'S_cerevisiae': 'gene-YGR132C'}"
Cluster1006,orf19.1744,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_C07150g', 'S_cerevisiae': 'gene-YOR278W', 'C_glabrata': 'CAGL0L11000g'}"
Cluster1006,gene:KLLA0_C07150g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.1744', 'S_cerevisiae': 'gene-YOR278W', 'C_glabrata': 'CAGL0L11000g'}"
Cluster1006,gene-YOR278W,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.1744', 'K_lactis': 'gene:KLLA0_C07150g', 'C_glabrata': 'CAGL0L11000g'}"
Cluster1006,CAGL0L11000g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.1744', 'K_lactis': 'gene:KLLA0_C07150g', 'S_cerevisiae': 'gene-YOR278W'}"
Cluster1007,orf19.5395,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_E22683g', 'C_glabrata': 'CAGL0M08008g', 'S_cerevisiae': 'gene-YJR033C'}"
Cluster1007,gene:KLLA0_E22683g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.5395', 'C_glabrata': 'CAGL0M08008g', 'S_cerevisiae': 'gene-YJR033C'}"
Cluster1007,CAGL0M08008g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.5395', 'K_lactis': 'gene:KLLA0_E22683g', 'S_cerevisiae': 'gene-YJR033C'}"
Cluster1007,gene-YJR033C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.5395', 'K_lactis': 'gene:KLLA0_E22683g', 'C_glabrata': 'CAGL0M08008g'}"
Cluster1010,gene-YDR268W,S_cerevisiae,pure_ortholog,"{'C_glabrata': 'CAGL0M08624g', 'K_lactis': 'gene:KLLA0_E21825g', 'C_albicans': 'orf19.4299'}"
Cluster1010,CAGL0M08624g,C_glabrata,pure_ortholog,"{'S_cerevisiae': 'gene-YDR268W', 'K_lactis': 'gene:KLLA0_E21825g', 'C_albicans': 'orf19.4299'}"
Cluster1010,gene:KLLA0_E21825g,K_lactis,pure_ortholog,"{'S_cerevisiae': 'gene-YDR268W', 'C_glabrata': 'CAGL0M08624g', 'C_albicans': 'orf19.4299'}"
Cluster1010,orf19.4299,C_albicans,pure_ortholog,"{'S_cerevisiae': 'gene-YDR268W', 'C_glabrata': 'CAGL0M08624g', 'K_lactis': 'gene:KLLA0_E21825g'}"
Cluster1011,orf19.5927,C_albicans,pure_ortholog,"{'S_cerevisiae': 'gene-YOL040C', 'C_glabrata': 'CAGL0F01045g', 'K_lactis': 'gene:KLLA0_F07843g'}"
Cluster1011,gene-YOL040C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.5927', 'C_glabrata': 'CAGL0F01045g', 'K_lactis': 'gene:KLLA0_F07843g'}"
Cluster1011,CAGL0F01045g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.5927', 'S_cerevisiae': 'gene-YOL040C', 'K_lactis': 'gene:KLLA0_F07843g'}"
Cluster1011,gene:KLLA0_F07843g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.5927', 'S_cerevisiae': 'gene-YOL040C', 'C_glabrata': 'CAGL0F01045g'}"
Cluster1012,gene:KLLA0_E15093g,K_lactis,pure_ortholog,"{'C_glabrata': 'CAGL0L05500g', 'S_cerevisiae': 'gene-YJL122W', 'C_albicans': 'orf19.7107'}"
Cluster1012,CAGL0L05500g,C_glabrata,pure_ortholog,"{'K_lactis': 'gene:KLLA0_E15093g', 'S_cerevisiae': 'gene-YJL122W', 'C_albicans': 'orf19.7107'}"
Cluster1012,gene-YJL122W,S_cerevisiae,pure_ortholog,"{'K_lactis': 'gene:KLLA0_E15093g', 'C_glabrata': 'CAGL0L05500g', 'C_albicans': 'orf19.7107'}"
Cluster1012,orf19.7107,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_E15093g', 'C_glabrata': 'CAGL0L05500g', 'S_cerevisiae': 'gene-YJL122W'}"
Cluster1013,gene:KLLA0_C10010g,K_lactis,pure_ortholog,"{'S_cerevisiae': 'gene-YOR249C', 'C_glabrata': 'CAGL0K09108g', 'C_albicans': 'orf19.6861'}"
Cluster1013,gene-YOR249C,S_cerevisiae,pure_ortholog,"{'K_lactis': 'gene:KLLA0_C10010g', 'C_glabrata': 'CAGL0K09108g', 'C_albicans': 'orf19.6861'}"
Cluster1013,CAGL0K09108g,C_glabrata,pure_ortholog,"{'K_lactis': 'gene:KLLA0_C10010g', 'S_cerevisiae': 'gene-YOR249C', 'C_albicans': 'orf19.6861'}"
Cluster1013,orf19.6861,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_C10010g', 'S_cerevisiae': 'gene-YOR249C', 'C_glabrata': 'CAGL0K09108g'}"
Cluster1024,orf19.3831,C_albicans,pure_ortholog,"{'C_glabrata': 'CAGL0G00264g', 'S_cerevisiae': 'gene-YGR280C', 'K_lactis': 'gene:KLLA0_C14135g'}"
Cluster1024,CAGL0G00264g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.3831', 'S_cerevisiae': 'gene-YGR280C', 'K_lactis': 'gene:KLLA0_C14135g'}"
Cluster1024,gene-YGR280C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.3831', 'C_glabrata': 'CAGL0G00264g', 'K_lactis': 'gene:KLLA0_C14135g'}"
