species1,gene1,species2,gene2,source,pillar_id,gene_pair
C. glabrata,CAGL0D00220g,S. cerevisiae,YAL059W,YGOB,0,"('CAGL0D00220g', 'YAL059W')"
S. cerevisiae,YAL059W,C. glabrata,CAGL0D00220g,YGOB,0,"('YAL059W', 'CAGL0D00220g')"
C. glabrata,CAGL0M09405g,S. cerevisiae,YBL103C,YGOB,1,"('CAGL0M09405g', 'YBL103C')"
S. cerevisiae,YBL103C,C. glabrata,CAGL0M09405g,YGOB,1,"('YBL103C', 'CAGL0M09405g')"
C. glabrata,CAGL0E00935g,S. cerevisiae,YDR167W,YGOB,2,"('CAGL0E00935g', 'YDR167W')"
S. cerevisiae,YDR167W,C. glabrata,CAGL0E00935g,YGOB,2,"('YDR167W', 'CAGL0E00935g')"
C. glabrata,CAGL0E00913g,S. cerevisiae,YDR168W,YGOB,8,"('CAGL0E00913g', 'YDR168W')"
S. cerevisiae,YDR168W,C. glabrata,CAGL0E00913g,YGOB,8,"('YDR168W', 'CAGL0E00913g')"
C. glabrata,CAGL0E00891g,S. cerevisiae,YDR169C,YGOB,10,"('CAGL0E00891g', 'YDR169C')"
S. cerevisiae,YDR169C,C. glabrata,CAGL0E00891g,YGOB,10,"('YDR169C', 'CAGL0E00891g')"
C. glabrata,CAGL0E00847g,S. cerevisiae,YDR170C,YGOB,13,"('CAGL0E00847g', 'YDR170C')"
S. cerevisiae,YDR170C,C. glabrata,CAGL0E00847g,YGOB,13,"('YDR170C', 'CAGL0E00847g')"
C. glabrata,CAGL0E00781g,S. cerevisiae,YDR172W,YGOB,14,"('CAGL0E00781g', 'YDR172W')"
S. cerevisiae,YDR172W,C. glabrata,CAGL0E00781g,YGOB,14,"('YDR172W', 'CAGL0E00781g')"
C. glabrata,CAGL0E00759g,S. cerevisiae,YDR173C,YGOB,18,"('CAGL0E00759g', 'YDR173C')"
S. cerevisiae,YDR173C,C. glabrata,CAGL0E00759g,YGOB,18,"('YDR173C', 'CAGL0E00759g')"
C. glabrata,CAGL0E00737g,S. cerevisiae,YDR174W,YGOB,24,"('CAGL0E00737g', 'YDR174W')"
S. cerevisiae,YDR174W,C. glabrata,CAGL0E00737g,YGOB,24,"('YDR174W', 'CAGL0E00737g')"
C. glabrata,CAGL0B00418g,S. cerevisiae,YCL057W,YGOB,25,"('CAGL0B00418g', 'YCL057W')"
S. cerevisiae,YCL057W,C. glabrata,CAGL0B00418g,YGOB,25,"('YCL057W', 'CAGL0B00418g')"
