qseqid,sseqid,pident,qcovs,evalue,bitscore
root_000002;694,orf19.5725,98.988,99,0.0,1382.0
root_000003;358,orf19.6135,98.045,100,0.0,694.0
root_000004;509,orf19.3660,97.839,100,0.0,1019.0
root_000005;241,orf19.5724,97.925,100,1.01e-176,483.0
root_000006;639,orf19.3655,98.592,100,0.0,1293.0
root_000012;111,orf19.4115,98.198,100,3.26e-78,223.0
root_000016;203,orf19.5249,99.507,100,4.08e-149,410.0
root_000019;1043,orf19.4110,98.945,100,0.0,2097.0
root_000021;340,orf19.411,97.941,100,0.0,671.0
root_000027;119,orf19.1599,99.16,100,9.769999999999999e-82,233.0
root_000033;235,orf19.7405,98.298,100,9.53e-171,467.0
root_000035;377,orf19.740,99.204,100,0.0,736.0
root_000042;717,orf19.2513,98.745,100,0.0,1400.0
root_000043;396,orf19.1797,99.495,100,0.0,793.0
root_000046;505,orf19.6635,98.218,100,0.0,990.0
root_000047;343,orf19.6637,98.251,100,0.0,697.0
root_000048;245,orf19.664,97.143,100,1.87e-177,485.0
root_000049;286,orf19.6641,98.252,100,0.0,563.0
root_000049;286,orf19.3879,68.553,56,6.750000000000001e-66,201.0
root_000051;194,orf19.635,98.969,100,5.53e-139,384.0
root_000053;942,orf19.6348,98.089,100,0.0,1873.0
root_000054;162,orf19.6342,98.765,100,4.81e-113,315.0
root_000056;241,orf19.4305,97.095,100,4.31e-166,456.0
root_000058;126,orf19.1162,99.206,100,4e-90,254.0
root_000076;163,orf19.4149,100.0,100,1.31e-115,322.0
root_000080;220,orf19.2512,98.636,100,4.96e-157,431.0
root_000083;94,orf19.3122.2,98.936,100,7.21e-61,178.0
root_000084;148,orf19.3117,100.0,100,8.649999999999999e-104,291.0
root_000084;148,orf19.5636,64.615,88,6.07e-61,186.0
root_000084;148,orf19.5674,55.556,91,9.949999999999999e-54,168.0
root_000084;148,orf19.7114,64.407,93,1.1799999999999998e-52,176.0
root_000084;148,orf19.7114,64.407,93,1.34e-52,176.0
root_000084;148,orf19.7114,58.14,93,1.49e-49,167.0
root_000084;148,orf19.7114,58.416,93,1.25e-39,139.0
root_000084;148,orf19.5635,60.748,72,5.6099999999999995e-42,137.0
root_000086;259,orf19.3125,95.367,100,0.0,495.0
root_000096;102,orf19.33,94.118,100,1.16e-66,193.0
root_000096;102,orf19.7550,77.778,71,2.8200000000000002e-33,119.0
root_000097;220,orf19.6030,97.727,100,3.1700000000000003e-156,429.0
root_000102;121,orf19.3461,98.347,100,9.2e-86,243.0
root_000125;609,orf19.4118,100.0,100,0.0,1248.0
root_000159;102,orf19.787,98.039,100,2.34e-63,185.0
root_000166;513,orf19.5191,98.441,100,0.0,1006.0
root_000166;513,orf19.6896,89.084,100,0.0,847.0
root_000166;513,orf19.5775,91.813,100,0.0,838.0
root_000166;513,orf19.4712,90.058,100,0.0,837.0
root_000166;513,orf19.727,90.643,100,0.0,833.0
root_000166;513,orf19.1234,89.084,100,0.0,829.0
root_000166;513,orf19.3490,90.253,100,0.0,829.0
root_000166;513,orf19.1208,90.0,66,0.0,603.0
root_000167;70,orf19.2472.1,100.0,100,1.24e-49,148.0
root_000168;132,orf19.2475,100.0,100,8.139999999999999e-90,254.0
root_000170;70,orf19.2509.1,100.0,100,1.4200000000000001e-47,143.0
root_000177;253,orf19.5841,97.628,100,9.93e-178,486.0
root_000178;524,orf19.7225,98.282,100,0.0,1055.0
root_000189;112,orf19.1508,99.107,100,3.7400000000000004e-70,203.0
root_000191;508,orf19.1500,99.213,100,0.0,988.0
root_000192;142,orf19.1506,100.0,100,3.13e-96,271.0
root_000193;346,orf19.1505,99.422,100,0.0,691.0
root_000194;241,orf19.4334,100.0,100,4.62e-142,395.0
root_000196;185,orf19.4324,97.838,100,6.81e-129,357.0
root_000197;691,orf19.4330,99.711,100,0.0,1330.0
root_000198;531,orf19.4332,97.175,100,0.0,1036.0
root_000203;115,orf19.2025,96.522,100,4.13e-75,216.0
root_000204;74,orf19.772.1,100.0,100,2.38e-49,147.0
root_000205;120,orf19.2024,97.5,100,2.76e-82,234.0
root_000243;146,orf19.149,98.63,100,4.2000000000000005e-99,279.0
root_000245;78,orf19.4914.1,98.718,100,1.52e-51,153.0
root_000255;329,orf19.6748,100.0,100,0.0,666.0
root_000256;297,orf19.5874,97.306,100,0.0,565.0
root_000258;131,orf19.5876,99.237,100,2.46e-91,258.0
root_000259;431,orf19.3848,98.84,100,0.0,848.0
root_000267;572,orf19.3678,98.601,100,0.0,1130.0
root_000268;115,orf19.3671,97.391,100,1.84e-78,224.0
root_000270;234,orf19.6248,97.863,100,8.089999999999999e-170,465.0
root_000287;101,orf19.2725,97.03,100,1.5799999999999998e-67,196.0
