species1,gene1,species2,gene2,cluster_id
K. lactis,gene:KLLA0_D16302g,S. cerevisiae,gene-YGR132C,Cluster100
K. lactis,gene:KLLA0_C07150g,S. cerevisiae,gene-YOR278W,Cluster1006
K. lactis,gene:KLLA0_E22683g,S. cerevisiae,gene-YJR033C,Cluster1007
K. lactis,gene:KLLA0_D13134g,S. cerevisiae,gene-YHR076W,Cluster101
S. cerevisiae,gene-YDR268W,K. lactis,gene:KLLA0_E21825g,Cluster1010
S. cerevisiae,gene-YOL040C,K. lactis,gene:KLLA0_F07843g,Cluster1011
K. lactis,gene:KLLA0_E15093g,S. cerevisiae,gene-YJL122W,Cluster1012
K. lactis,gene:KLLA0_C10010g,S. cerevisiae,gene-YOR249C,Cluster1013
S. cerevisiae,gene-YGR280C,K. lactis,gene:KLLA0_C14135g,Cluster1024
S. cerevisiae,gene-YDR236C,K. lactis,gene:KLLA0_C15213g,Cluster1025
K. lactis,gene:KLLA0_F15325g,S. cerevisiae,gene-YGR183C,Cluster1026
S. cerevisiae,gene-YBR153W,K. lactis,gene:KLLA0_F21120g,Cluster1027
S. cerevisiae,gene-YIL098C,K. lactis,gene:KLLA0_F04081g,Cluster1028
K. lactis,gene:KLLA0_E10649g,S. cerevisiae,gene-YGL026C,Cluster1029
K. lactis,gene:KLLA0_E24597g,S. cerevisiae,gene-YBR169C,Cluster1030
K. lactis,gene:KLLA0_E24597g,S. cerevisiae,gene-YPL106C,Cluster1030
K. lactis,gene:KLLA0_F13178g,S. cerevisiae,gene-YDR221W,Cluster1031
S. cerevisiae,gene-YPL103C,K. lactis,gene:KLLA0_E24377g,Cluster1032
S. cerevisiae,gene-YBR260C,K. lactis,gene:KLLA0_F02123g,Cluster1033
K. lactis,gene:KLLA0_A07865g,S. cerevisiae,gene-YOR073W,Cluster1036
S. cerevisiae,gene-YJL098W,K. lactis,gene:KLLA0_F14124g,Cluster1049
S. cerevisiae,gene-YKR028W,K. lactis,gene:KLLA0_F14124g,Cluster1049
K. lactis,gene:KLLA0_F27621g,S. cerevisiae,gene-YIL043C,Cluster1057
S. cerevisiae,gene-YPL267W,K. lactis,gene:KLLA0_D00616g,Cluster1058
