qseqid,sseqid,pident,qcovs,evalue,bitscore
CAGL0I00616g,root_008673;193,55.897,99,3.22e-74,221.0
CAGL0L11704g,root_003070;514,98.806,99,0.0,665.0
CAGL0L07810g,root_012214;603,63.395,81,0.0,646.0
CAGL0G03905g,root_009275;269,61.491,63,1.19e-72,222.0
CAGL0G03905g,root_009275;250,74.83,59,2.5299999999999997e-69,213.0
CAGL0M01144g,root_010024;1224,76.374,99,0.0,1972.0
CAGL0L02475g,root_009574;2454,99.677,99,0.0,647.0
CAGL0E05038g,root_012327;1489,52.267,99,0.0,1477.0
CAGL0K03091g,root_010758;400,99.225,99,2.02e-87,259.0
CAGL0K03091g,root_010758;133,54.701,87,1.98e-33,113.0
CAGL0M14047g,root_007860;1680,100.0,99,0.0,756.0
CAGL0M14047g,root_007860;361,78.992,99,0.0,584.0
CAGL0M14047g,root_011421;361,65.352,98,3.3700000000000002e-164,462.0
CAGL0I03014g,root_006317;190,98.758,100,1.41e-114,322.0
CAGL0B02409g,root_000441;672,99.723,99,0.0,744.0
CAGL0E05016g,root_009016;1131,100.0,99,0.0,781.0
CAGL0E05016g,root_009016;376,87.798,100,0.0,692.0
CAGL0J09504g,root_009021;649,65.031,100,0.0,855.0
CAGL0M08624g,root_011689;379,62.534,94,5.25e-174,489.0
CAGL0L04202g,root_011373;240,54.237,96,2.57e-92,271.0
CAGL0J05214g,root_010061;822,99.441,99,0.0,1461.0
CAGL0L06820g,root_010352;501,65.861,90,5.560000000000001e-163,465.0
CAGL0L06820g,root_010352;409,61.812,84,7.780000000000001e-144,413.0
CAGL0D02508g,root_009213;336,53.169,99,3.43e-106,311.0
CAGL0J03080g,root_008881;161,73.418,99,3.43e-82,238.0
CAGL0J03080g,root_008180;165,72.973,94,4.9e-78,228.0
CAGL0M06369g,root_009812;557,94.982,100,0.0,1114.0
CAGL0J04796g,root_012073;670,52.0,98,0.0,610.0
CAGL0K03421g,root_010668;569,82.363,99,0.0,992.0
CAGL0J00561g,root_011922;294,50.508,99,2.52e-108,315.0
CAGL0M12188g,root_009675;175,64.571,98,2.37e-76,225.0
CAGL0L11506g,root_011070;1054,66.258,100,0.0,1468.0
CAGL0J05126g,root_009175;444,73.536,98,0.0,649.0
CAGL0J05126g,root_008151;454,51.887,97,2.01e-155,447.0
CAGL0D06490g,root_008211;313,61.111,76,2.3100000000000003e-129,372.0
CAGL0D06490g,root_008560;301,56.391,75,5e-118,343.0
CAGL0K09064g,root_008384;299,59.044,96,1.64e-128,367.0
CAGL0M14025g,root_009369;349,69.452,99,0.0,519.0
CAGL0H04961g,root_010794;480,83.576,100,0.0,816.0
CAGL0G00836g,root_000011;130,97.692,100,2.26e-93,264.0
CAGL0C05225g,root_011019;966,99.316,99,0.0,1810.0
CAGL0J07392g,root_011857;354,76.88,99,0.0,544.0
CAGL0K03509g,root_010786;532,56.705,99,0.0,596.0
CAGL0J01265g,root_009588;513,76.493,100,0.0,834.0
CAGL0J04246g,root_009508;1145,99.752,99,0.0,838.0
CAGL0J09130g,root_008865;1162,98.986,99,0.0,1203.0
CAGL0E01771g,root_011817;946,53.372,99,6.7500000000000005e-177,522.0
CAGL0J01661g,root_010885;326,54.573,98,6.84e-118,342.0
CAGL0K03223g,root_009480;605,50.487,100,0.0,598.0
CAGL0G06666g,root_009372;1468,66.329,100,0.0,1961.0
CAGL0C05555g,root_010684;496,53.138,97,1.5000000000000002e-179,511.0
CAGL0J10098g,root_009519;180,66.86,92,5.01e-81,238.0
CAGL0G02585g,root_009286;371,83.11,100,0.0,642.0
CAGL0H02673g,root_009161;274,58.498,93,4.71e-107,310.0
CAGL0C00825g,root_006332;1191,99.748,100,0.0,2322.0
CAGL0C00825g,root_006037;2228,62.756,63,0.0,791.0
CAGL0C00825g,root_006037;2228,87.773,63,0.0,719.0
CAGL0C00825g,root_006037;2228,79.01,63,0.0,671.0
CAGL0C00825g,root_006037;2228,74.409,63,0.0,590.0
CAGL0C00825g,root_006037;2228,74.409,63,0.0,590.0
CAGL0C00825g,root_006037;2228,74.409,63,0.0,590.0
CAGL0C00825g,root_006037;2228,74.409,63,0.0,590.0
CAGL0C00825g,root_006038;1243,51.904,74,0.0,748.0
CAGL0C00825g,root_002283;1239,51.652,74,0.0,743.0
CAGL0C00825g,root_006458;4565,61.822,52,1.28e-149,498.0
CAGL0C00825g,root_006458;4565,54.231,52,4.21e-134,452.0
CAGL0C00825g,root_006458;4565,61.461,52,1.33e-93,331.0
CAGL0C00825g,root_011115;2231,52.11,53,5.91e-100,350.0
CAGL0C00825g,root_011115;2231,50.102,53,6.26e-98,344.0
CAGL0C00825g,root_011115;2231,52.043,53,8.93e-98,343.0
CAGL0I09922g,root_007967;695,99.601,99,0.0,1026.0
CAGL0I09922g,root_007967;492,55.01,97,0.0,576.0
CAGL0M01958g,root_012332;958,54.681,99,0.0,996.0
CAGL0H03531g,root_010323;1105,99.432,99,9.469999999999999e-112,342.0
CAGL0H03531g,root_010323;170,63.068,99,1.5199999999999999e-55,172.0
CAGL0F00253g,root_011972;1100,99.793,99,0.0,1002.0
CAGL0F00253g,root_011972;484,71.074,99,0.0,732.0
CAGL0K01529g,root_012405;415,55.61,99,2.17e-168,477.0
CAGL0I01496g,root_008215;655,91.325,97,0.0,1181.0
CAGL0I01496g,root_008508;641,91.153,98,0.0,1174.0
CAGL0I01496g,root_008507;638,56.24,96,0.0,704.0
CAGL0I01496g,root_008506;706,51.03,93,0.0,612.0
CAGL0I01496g,root_008214;651,51.216,93,0.0,584.0
CAGL0I01496g,root_008503;642,50.243,93,0.0,570.0
CAGL0I01496g,root_008506;682,53.069,84,0.0,564.0
CAGL0I01496g,root_008504;639,50.242,94,0.0,556.0
CAGL0H08800g,root_011798;146,80.272,99,3.74e-87,250.0
CAGL0K04653g,root_010981;586,50.485,63,4.27e-24,105.0
CAGL0I08085g,root_008832;162,72.222,81,1.11e-63,191.0
CAGL0L04532g,root_011691;804,74.185,99,0.0,1192.0
CAGL0I00484g,root_010146;448,70.07,96,0.0,652.0
CAGL0K02343g,root_009311;1133,52.563,69,0.0,832.0
CAGL0C00473g,root_009362;2368,53.728,100,0.0,2612.0
CAGL0M11616g,root_009875;4910,51.732,99,0.0,4825.0
CAGL0D03586g,root_009560;121,55.2,100,1.74e-39,127.0
CAGL0H03729g,root_009349;683,98.68,99,0.0,627.0
CAGL0H03729g,root_009349;303,83.553,100,0.0,548.0
CAGL0G08382g,root_002795;534,55.172,77,6.65e-50,177.0
CAGL0A04829g,root_010434;486,77.618,100,0.0,781.0
CAGL0L07678g,root_010143;318,87.774,100,0.0,597.0
CAGL0M00121g,root_011117;3330,85.535,100,0.0,2518.0
CAGL0M00121g,root_011117;3330,69.355,100,0.0,1598.0
CAGL0M00121g,root_011117;3330,79.365,100,0.0,1590.0
CAGL0M00121g,root_011117;3330,79.365,100,0.0,1590.0
CAGL0M00121g,root_011117;3330,77.512,100,0.0,1559.0
CAGL0M00121g,root_007904;4498,71.036,100,0.0,1986.0
CAGL0M00121g,root_007904;4498,69.925,100,0.0,1350.0
CAGL0M00121g,root_007904;4498,73.913,100,0.0,1346.0
CAGL0M00121g,root_007904;4498,63.166,100,0.0,1323.0
CAGL0M00121g,root_007904;4498,68.508,100,0.0,1307.0
CAGL0M00121g,root_007904;4498,68.508,100,0.0,1307.0
CAGL0M00121g,root_007904;4498,68.491,100,0.0,1306.0
CAGL0M00121g,root_007904;4498,70.112,100,0.0,1297.0
CAGL0M00121g,root_007904;4498,70.282,100,0.0,1296.0
CAGL0M00121g,root_007904;4498,65.918,100,0.0,1291.0
CAGL0M00121g,root_007904;4498,66.0,100,0.0,1288.0
CAGL0M00121g,root_011116;2111,66.818,100,0.0,1838.0
CAGL0M00121g,root_011116;2111,73.049,100,0.0,1509.0
CAGL0M00121g,root_011115;2231,65.865,99,0.0,1798.0
CAGL0M00121g,root_011115;2231,69.126,99,0.0,1408.0
CAGL0M00121g,root_007596;1990,63.849,100,0.0,1421.0
CAGL0M00121g,root_007596;1990,71.675,100,0.0,1118.0
CAGL0M00121g,root_007903;2386,56.669,100,0.0,1017.0
CAGL0M00121g,root_007599;10375,67.764,70,0.0,1205.0
CAGL0M00121g,root_007599;10375,66.486,70,0.0,878.0
CAGL0M00121g,root_011113;1570,59.213,99,0.0,1163.0
CAGL0M00121g,root_011113;1570,50.257,99,0.0,720.0
CAGL0M00121g,root_001717;2216,61.812,67,0.0,1051.0
CAGL0M00121g,root_001717;2216,59.919,67,0.0,1032.0
CAGL0M00121g,root_001717;2216,64.717,67,0.0,1008.0
CAGL0M00121g,root_001717;2216,55.388,67,0.0,739.0
CAGL0M00121g,root_002254;5656,51.751,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_002254;5656,51.244,78,0.0,872.0
CAGL0M00121g,root_007905;956,56.459,99,0.0,832.0
CAGL0M00121g,root_007905;956,81.862,99,0.0,620.0
CAGL0M00121g,root_007905;956,51.429,99,2.7599999999999998e-92,321.0
CAGL0M00121g,root_006037;2228,50.358,70,0.0,811.0
CAGL0M00121g,root_011113;1408,53.371,99,0.0,643.0
CAGL0M00121g,root_011113;1408,53.04,99,2.47e-102,359.0
CAGL0M00121g,root_006509;2698,51.27,67,1.06e-79,292.0
CAGL0M00121g,root_001959;3390,53.279,52,4.16e-22,103.0
CAGL0M00121g,root_001959;3390,51.562,52,3.0000000000000003e-21,101.0
CAGL0M00121g,root_001959;3390,50.781,52,5.230000000000001e-21,100.0
CAGL0M00121g,root_001959;3390,50.781,52,5.230000000000001e-21,100.0
CAGL0M00121g,root_001718;2792,53.892,54,4.46e-26,117.0
CAGL0M00121g,root_001718;2792,58.537,54,3.76e-13,74.3
CAGL0M00121g,root_001718;2792,53.409,54,7.01e-13,73.6
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
CAGL0M00121g,root_001718;2792,69.565,54,7.23e-11,67.0
