root_id,calb_id,forward_pident,forward_qcovs,forward_evalue,forward_bitscore,reverse_pident,reverse_qcovs,reverse_evalue,reverse_bitscore
root_000002;694,orf19.5725,98.988,99,0.0,1382.0,98.988,99,0.0,1382.0
root_000003;358,orf19.6135,98.045,100,0.0,694.0,98.045,100,0.0,694.0
root_000004;509,orf19.3660,97.839,100,0.0,1019.0,97.839,100,0.0,1019.0
root_000005;241,orf19.5724,97.925,100,1.01e-176,483.0,97.925,100,3.02e-176,483.0
root_000006;639,orf19.3655,98.592,100,0.0,1293.0,98.592,100,0.0,1293.0
root_000012;111,orf19.4115,98.198,100,3.26e-78,223.0,98.198,100,9.75e-78,223.0
root_000016;203,orf19.5249,99.507,100,4.08e-149,410.0,99.507,100,1.2200000000000001e-148,410.0
root_000019;1043,orf19.4110,98.945,100,0.0,2097.0,98.945,100,0.0,2097.0
root_000021;340,orf19.411,97.941,100,0.0,671.0,97.941,100,0.0,671.0
root_000027;119,orf19.1599,99.16,100,9.769999999999999e-82,233.0,99.16,100,2.92e-81,233.0
root_000033;235,orf19.7405,98.298,100,9.53e-171,467.0,98.298,100,2.8499999999999998e-170,467.0
root_000035;377,orf19.740,99.204,100,0.0,736.0,99.204,100,0.0,736.0
root_000042;717,orf19.2513,98.745,100,0.0,1400.0,98.745,100,0.0,1400.0
root_000043;396,orf19.1797,99.495,100,0.0,793.0,99.495,100,0.0,793.0
root_000046;505,orf19.6635,98.218,100,0.0,990.0,98.218,100,0.0,990.0
root_000047;343,orf19.6637,98.251,100,0.0,697.0,98.251,100,0.0,697.0
root_000048;245,orf19.664,97.143,100,1.87e-177,485.0,97.143,100,5.59e-177,485.0
root_000049;286,orf19.6641,98.252,100,0.0,563.0,98.252,100,0.0,563.0
root_000051;194,orf19.635,98.969,100,5.53e-139,384.0,98.969,100,1.65e-138,384.0
root_000053;942,orf19.6348,98.089,100,0.0,1873.0,98.089,100,0.0,1873.0
root_000054;162,orf19.6342,98.765,100,4.81e-113,315.0,98.765,100,1.44e-112,315.0
root_000056;241,orf19.4305,97.095,100,4.31e-166,456.0,97.095,100,1.29e-165,456.0
root_000058;126,orf19.1162,99.206,100,4e-90,254.0,99.206,100,1.1899999999999999e-89,254.0
root_000076;163,orf19.4149,100.0,100,1.31e-115,322.0,100.0,100,3.92e-115,322.0
root_000080;220,orf19.2512,98.636,100,4.96e-157,431.0,98.636,100,1.4800000000000002e-156,431.0
root_000083;94,orf19.3122.2,98.936,100,7.21e-61,178.0,98.936,100,2.15e-60,178.0
root_000084;148,orf19.3117,100.0,100,8.649999999999999e-104,291.0,100.0,100,2.58e-103,291.0
root_000086;259,orf19.3125,95.367,100,0.0,495.0,95.367,100,1.91e-180,495.0
root_000096;102,orf19.33,94.118,100,1.16e-66,193.0,94.118,100,3.4700000000000004e-66,193.0
root_000097;220,orf19.6030,97.727,100,3.1700000000000003e-156,429.0,97.727,100,9.48e-156,429.0
root_000102;121,orf19.3461,98.347,100,9.2e-86,243.0,98.347,100,2.75e-85,243.0
root_000125;609,orf19.4118,100.0,100,0.0,1248.0,100.0,100,0.0,1248.0
root_000159;102,orf19.787,98.039,100,2.34e-63,185.0,98.039,100,6.98e-63,185.0
root_000166;513,orf19.5191,98.441,100,0.0,1006.0,98.441,100,0.0,1006.0
root_000167;70,orf19.2472.1,100.0,100,1.24e-49,148.0,100.0,100,3.7e-49,148.0
root_000168;132,orf19.2475,100.0,100,8.139999999999999e-90,254.0,100.0,100,2.43e-89,254.0
root_000170;70,orf19.2509.1,100.0,100,1.4200000000000001e-47,143.0,100.0,100,4.2600000000000004e-47,143.0
root_000177;253,orf19.5841,97.628,100,9.93e-178,486.0,97.628,100,2.97e-177,486.0
root_000178;524,orf19.7225,98.282,100,0.0,1055.0,98.282,100,0.0,1055.0
root_000189;112,orf19.1508,99.107,100,3.7400000000000004e-70,203.0,99.107,100,1.12e-69,203.0
root_000191;508,orf19.1500,99.213,100,0.0,988.0,99.213,100,0.0,988.0
root_000192;142,orf19.1506,100.0,100,3.13e-96,271.0,100.0,100,9.36e-96,271.0
root_000193;346,orf19.1505,99.422,100,0.0,691.0,99.422,100,0.0,691.0
root_000194;241,orf19.4334,100.0,100,4.62e-142,395.0,100.0,100,1.38e-141,395.0
root_000196;185,orf19.4324,97.838,100,6.81e-129,357.0,97.838,100,2.03e-128,357.0
root_000197;691,orf19.4330,99.711,100,0.0,1330.0,99.711,100,0.0,1330.0
root_000198;531,orf19.4332,97.175,100,0.0,1036.0,97.175,100,0.0,1036.0
root_000203;115,orf19.2025,96.522,100,4.13e-75,216.0,96.522,100,1.24e-74,216.0
root_000204;74,orf19.772.1,100.0,100,2.38e-49,147.0,100.0,100,7.13e-49,147.0
root_000205;120,orf19.2024,97.5,100,2.76e-82,234.0,97.5,100,8.239999999999999e-82,234.0
root_000243;146,orf19.149,98.63,100,4.2000000000000005e-99,279.0,98.63,100,1.26e-98,279.0
root_000245;78,orf19.4914.1,98.718,100,1.52e-51,153.0,98.718,100,4.55e-51,153.0
root_000255;329,orf19.6748,100.0,100,0.0,666.0,100.0,100,0.0,666.0
root_000256;297,orf19.5874,97.306,100,0.0,565.0,97.306,100,0.0,565.0
root_000258;131,orf19.5876,99.237,100,2.46e-91,258.0,99.237,100,7.35e-91,258.0
root_000259;431,orf19.3848,98.84,100,0.0,848.0,98.84,100,0.0,848.0
root_000267;572,orf19.3678,98.601,100,0.0,1130.0,98.601,100,0.0,1130.0
root_000268;115,orf19.3671,97.391,100,1.84e-78,224.0,97.391,100,5.5e-78,224.0
root_000270;234,orf19.6248,97.863,100,8.089999999999999e-170,465.0,97.863,100,2.42e-169,465.0
root_000287;101,orf19.2725,97.03,100,1.5799999999999998e-67,196.0,97.03,100,4.7199999999999994e-67,196.0
root_000290;322,orf19.178,97.826,100,0.0,614.0,97.826,100,0.0,614.0
root_000291;413,orf19.1780,99.274,100,0.0,832.0,99.274,100,0.0,832.0
root_000292;105,orf19.1778,100.0,100,1.76e-73,211.0,100.0,100,5.2700000000000007e-73,211.0
root_000294;501,orf19.3813,97.804,100,0.0,1010.0,97.804,100,0.0,1010.0
root_000295;544,orf19.6658,99.265,100,0.0,1116.0,99.265,100,0.0,1116.0
root_000296;392,orf19.6661,97.704,100,0.0,781.0,97.704,100,0.0,781.0
root_000301;332,orf19.2661,98.193,100,0.0,660.0,98.193,100,0.0,660.0
root_000321;63,orf19.5342.2,100.0,100,7.82e-38,117.0,100.0,100,2.34e-37,117.0
root_000323;411,orf19.4517,100.0,100,0.0,803.0,100.0,100,0.0,803.0
root_000324;291,orf19.5350,97.595,100,0.0,572.0,97.595,100,0.0,572.0
root_000325;325,orf19.5353,99.077,100,0.0,654.0,99.077,100,0.0,654.0
root_000326;862,orf19.3148,99.304,100,0.0,1686.0,99.304,100,0.0,1686.0
root_000327;247,orf19.3147,99.595,100,1.03e-174,478.0,99.595,100,3.07e-174,478.0
root_000329;110,orf19.3140,94.545,100,1.63e-71,206.0,94.545,100,4.88e-71,206.0
root_000330;400,orf19.3142,99.5,100,0.0,805.0,99.5,100,0.0,805.0
root_000334;247,orf19.4758,99.595,100,0.0,502.0,99.595,100,0.0,502.0
root_000343;226,orf19.5549,98.673,100,5.01e-158,434.0,98.673,100,1.5e-157,434.0
root_000349;108,orf19.3284,99.074,100,2.0600000000000003e-73,211.0,99.074,100,6.160000000000001e-73,211.0
root_000350;462,orf19.3285,98.268,100,0.0,929.0,98.268,100,0.0,929.0
root_000369;104,orf19.4055,98.077,100,6.33e-73,209.0,98.077,100,1.89e-72,209.0
root_000371;1132,orf19.5555,98.145,100,0.0,2268.0,98.145,100,0.0,2268.0
root_000382;103,orf19.5556,99.029,100,3.53e-67,195.0,99.029,100,1.0600000000000001e-66,195.0
root_000384;585,orf19.2663,98.974,100,0.0,1173.0,98.974,100,0.0,1173.0
root_000390;103,orf19.7024,97.087,100,5.48e-71,204.0,97.087,100,1.64e-70,204.0
root_000391;343,orf19.7022,98.542,100,0.0,677.0,98.542,100,0.0,677.0
root_000393;1004,orf19.7032,99.004,100,0.0,1943.0,99.004,100,0.0,1943.0
root_000397;147,orf19.4057,98.639,100,9.170000000000001e-103,288.0,98.639,100,2.74e-102,288.0
root_000398;154,orf19.4046,98.701,100,2.1200000000000002e-110,308.0,98.701,100,6.35e-110,308.0
root_000416;109,orf19.6949,100.0,100,1.64e-71,206.0,100.0,100,4.9e-71,206.0
root_000417;132,orf19.7608,100.0,100,9.87e-92,259.0,100.0,100,2.95e-91,259.0
root_000418;463,orf19.2451,99.568,100,0.0,897.0,99.568,100,0.0,897.0
root_000419;416,orf19.2452,100.0,100,0.0,823.0,100.0,100,0.0,823.0
root_000420;591,orf19.2449,100.0,100,0.0,1144.0,100.0,100,0.0,1144.0
root_000428;217,orf19.2392,98.618,100,4.96e-157,431.0,98.618,100,1.4800000000000002e-156,431.0
root_000431;695,orf19.5019,97.986,100,0.0,1367.0,97.986,100,0.0,1367.0
root_000432;199,orf19.5012,97.487,100,3.7099999999999997e-140,387.0,97.487,100,1.11e-139,387.0
root_000433;341,orf19.5020,98.534,100,0.0,662.0,98.534,100,0.0,662.0
root_000436;122,orf19.5532,100.0,100,4.25e-87,246.0,100.0,100,1.2700000000000001e-86,246.0
root_000437;100,orf19.647.3,98.0,100,3.59e-69,199.0,98.0,100,1.07e-68,199.0
root_000440;452,orf19.6465,97.788,100,0.0,894.0,97.788,100,0.0,894.0
root_000442;343,orf19.1529,98.834,100,0.0,687.0,98.834,100,0.0,687.0
root_000443;174,orf19.1530,99.425,100,2.85e-123,342.0,99.425,100,8.520000000000001e-123,342.0
root_000444;185,orf19.1527,100.0,100,1.51e-137,379.0,100.0,100,4.51e-137,379.0
root_000445;125,orf19.7609,100.0,100,7.89e-82,234.0,100.0,100,2.36e-81,234.0
root_000446;342,orf19.7614,98.538,100,0.0,686.0,98.538,100,0.0,686.0
root_000451;158,orf19.398,99.359,99,1.47e-109,306.0,99.359,99,4.41e-109,306.0
root_000452;247,orf19.5518,99.595,100,3.3699999999999998e-180,492.0,99.595,100,1.01e-179,492.0
root_000454;288,orf19.2398,98.611,100,0.0,556.0,98.611,100,0.0,556.0
root_000475;495,orf19.5393,99.596,100,0.0,1017.0,99.596,100,0.0,1017.0
root_000476;510,orf19.5392,99.804,100,0.0,1041.0,99.804,100,0.0,1041.0
root_000482;704,orf19.3919,99.148,100,0.0,1421.0,99.148,100,0.0,1421.0
root_000483;528,orf19.3916,98.485,100,0.0,1041.0,98.485,100,0.0,1041.0
root_000484;90,orf19.3919.1,100.0,100,4.3300000000000005e-58,171.0,100.0,100,1.29e-57,171.0
root_000499;157,orf19.2936,98.726,100,7.66e-114,317.0,98.726,100,2.2899999999999998e-113,317.0
root_000508;95,orf19.6072.1,95.789,100,1.44e-62,182.0,95.789,100,4.3e-62,182.0
root_000509;448,orf19.6072,98.214,100,0.0,910.0,98.214,100,0.0,910.0
root_000510;300,orf19.6079,98.667,100,0.0,617.0,98.667,100,0.0,617.0
root_000511;386,orf19.2344,99.741,100,0.0,686.0,99.741,100,0.0,686.0
root_000512;1211,orf19.3694,99.67,100,0.0,2417.0,99.67,100,0.0,2417.0
root_000513;293,orf19.5785,98.976,100,0.0,569.0,98.976,100,0.0,569.0
root_000516;98,orf19.69.2,98.98,100,1.1700000000000001e-65,191.0,98.98,100,3.5e-65,191.0
root_000521;309,orf19.7194,98.058,100,0.0,601.0,98.058,100,0.0,601.0
root_000525;296,orf19.5797,100.0,100,0.0,611.0,100.0,100,0.0,611.0
root_000527;256,orf19.7443,99.219,100,0.0,513.0,99.219,100,0.0,513.0
root_000529;200,orf19.5462,80.319,94,5.640000000000001e-103,293.0,80.319,94,4e-101,290.0
root_000531;209,orf19.5464,89.474,100,6.51e-130,362.0,89.474,100,3.5900000000000006e-129,361.0
root_000532;104,orf19.5468,98.077,100,2.5000000000000003e-72,208.0,98.077,100,7.46e-72,208.0
root_000533;170,orf19.5467,98.824,100,1.47e-120,335.0,98.824,100,4.4e-120,335.0
root_000537;189,orf19.5402,84.127,100,5.31e-94,270.0,84.127,100,2.44e-65,198.0
root_000545;227,orf19.5144,98.678,100,8.66e-159,436.0,98.678,100,2.59e-158,436.0
root_000546;668,orf19.6687,99.401,100,0.0,1318.0,99.401,100,0.0,1318.0
root_000547;327,orf19.6688,98.777,100,0.0,645.0,98.777,100,0.0,645.0
root_000548;317,orf19.540,97.161,100,0.0,635.0,97.161,100,0.0,635.0
root_000553;119,orf19.1286,99.16,100,4.07e-85,241.0,99.16,100,1.22e-84,241.0
root_000555;491,orf19.4495,99.796,100,0.0,1014.0,99.796,100,0.0,1014.0
root_000556;236,orf19.4498,99.153,100,2.2500000000000002e-169,464.0,99.153,100,6.71e-169,464.0
root_000557;78,orf19.450,98.718,100,3.86e-52,155.0,98.718,100,1.15e-51,155.0
root_000559;307,orf19.6391,97.068,100,0.0,617.0,97.068,100,0.0,617.0
root_000560;101,orf19.6390,97.03,100,1.08e-63,186.0,97.03,100,3.22e-63,186.0
root_000561;346,orf19.6392,97.977,100,0.0,695.0,97.977,100,0.0,695.0
root_000562;220,orf19.3074,99.091,100,9.58e-158,433.0,99.091,100,2.8600000000000003e-157,433.0
root_000569;475,orf19.4783,98.947,100,0.0,974.0,98.947,100,0.0,974.0
root_000576;565,orf19.2285,98.23,100,0.0,1150.0,98.23,100,0.0,1150.0
root_000580;340,orf19.2284,98.235,100,0.0,685.0,98.235,100,0.0,685.0
root_000601;326,orf19.955,98.16,100,0.0,627.0,98.16,100,0.0,627.0
root_000605;515,orf19.7071,99.612,100,0.0,1054.0,99.612,100,0.0,1054.0
root_000606;134,orf19.3460,100.0,100,1.13e-94,267.0,100.0,100,3.3599999999999996e-94,267.0
root_000614;1095,orf19.7006,98.265,100,0.0,2170.0,98.265,100,0.0,2170.0
root_000615;396,orf19.7002,97.98,100,0.0,807.0,97.98,100,0.0,807.0
root_000616;143,orf19.7007,97.902,100,1.02e-101,285.0,97.902,100,3.05e-101,285.0
root_000650;210,orf19.2433,99.048,100,3.0099999999999998e-146,403.0,99.048,100,9e-146,403.0
root_000651;1120,orf19.6277,98.839,100,0.0,2191.0,98.839,100,0.0,2191.0
root_000652;118,orf19.6280,99.153,100,3.6800000000000003e-79,226.0,99.153,100,1.1e-78,226.0
root_000653;874,orf19.6276,97.941,100,0.0,1684.0,97.941,100,0.0,1684.0
root_000654;114,orf19.2431,100.0,100,1.44e-77,222.0,100.0,100,4.3e-77,222.0
root_000655;862,orf19.6269,98.028,100,0.0,1682.0,98.028,100,0.0,1682.0
root_000657;355,orf19.4080,99.155,100,0.0,688.0,99.155,100,0.0,688.0
root_000658;167,orf19.4081,97.605,100,1.7599999999999998e-119,332.0,97.605,100,5.27e-119,332.0
root_000659;264,orf19.4079,99.621,100,0.0,521.0,99.621,100,0.0,521.0
root_000660;278,orf19.4070,98.561,100,0.0,569.0,98.561,100,0.0,569.0
root_000667;683,orf19.2210,97.95,100,0.0,1369.0,97.95,100,0.0,1369.0
root_000671;591,orf19.1037,99.323,100,0.0,1214.0,99.323,100,0.0,1214.0
root_000672;285,orf19.104,98.947,100,0.0,564.0,98.947,100,0.0,564.0
root_000673;153,orf19.6487,100.0,100,4.58e-110,307.0,100.0,100,1.37e-109,307.0
root_000674;570,orf19.6488,97.895,100,0.0,1121.0,97.895,100,0.0,1121.0
root_000675;153,orf19.6484,100.0,100,1.63e-110,308.0,100.0,100,4.88e-110,308.0
root_000676;153,orf19.6486,100.0,100,6.3e-110,307.0,100.0,100,1.88e-109,307.0
root_000677;131,orf19.6493,98.473,100,5e-88,249.0,98.473,100,1.49e-87,249.0
root_000680;111,orf19.1257,97.297,100,2.24e-75,216.0,97.297,100,6.69e-75,216.0
root_000681;238,orf19.1258,97.899,100,2.1e-161,444.0,97.899,100,6.27e-161,444.0
root_000682;217,orf19.4280,97.235,100,3.88e-160,439.0,97.235,100,1.16e-159,439.0
root_000683;336,orf19.4283,99.405,100,0.0,675.0,99.405,100,0.0,675.0
root_000685;325,orf19.4286,99.077,100,0.0,657.0,99.077,100,0.0,657.0
root_000690;735,orf19.4404,98.231,100,0.0,1441.0,98.231,100,0.0,1441.0
root_000692;693,orf19.4407,97.98,100,0.0,1390.0,97.98,100,0.0,1390.0
root_000694;174,orf19.2639,98.851,100,1.14e-124,346.0,98.851,100,3.42e-124,346.0
root_000701;111,orf19.1873,99.099,100,7.03e-78,223.0,99.099,100,2.1e-77,223.0
root_000705;496,orf19.7632,97.984,100,0.0,991.0,97.984,100,0.0,991.0
root_000708;267,orf19.6431,97.378,100,0.0,524.0,97.378,100,0.0,524.0
root_000709;341,orf19.3894,97.947,100,0.0,693.0,97.947,100,0.0,693.0
root_000710;421,orf19.3897,98.337,100,0.0,834.0,98.337,100,0.0,834.0
root_000711;124,orf19.389,96.774,100,2.05e-83,238.0,96.774,100,6.11e-83,238.0
root_000712;96,orf19.3888.2,95.833,100,2.85e-64,187.0,95.833,100,8.510000000000001e-64,187.0
root_000713;513,orf19.3490,98.246,100,0.0,1003.0,98.246,100,0.0,1003.0
root_000737;279,orf19.193,99.283,100,0.0,528.0,99.283,100,0.0,528.0
root_000738;177,orf19.1925,98.87,100,1.0099999999999999e-126,351.0,98.87,100,3.0099999999999996e-126,351.0
root_000739;240,orf19.5259,99.583,100,2.59e-177,484.0,99.583,100,7.75e-177,484.0
root_000741;144,orf19.5262,98.611,100,2.15e-100,282.0,98.611,100,6.44e-100,282.0
root_000749;236,orf19.6864,98.729,100,3.7099999999999995e-172,471.0,98.729,100,1.11e-171,471.0
root_000751;158,orf19.6859,99.367,100,1.22e-110,309.0,99.367,100,3.65e-110,309.0
root_000772;310,orf19.6048,97.742,100,0.0,615.0,97.742,100,0.0,615.0
root_000773;434,orf19.1948,97.235,100,0.0,828.0,97.235,100,0.0,828.0
root_000774;446,orf19.6710,99.327,100,0.0,885.0,99.327,100,0.0,885.0
root_000775;614,orf19.6703,98.534,100,0.0,1234.0,98.534,100,0.0,1234.0
root_000776;226,orf19.6704,99.115,100,9.19e-164,449.0,99.115,100,2.7500000000000002e-163,449.0
root_000787;220,orf19.1708,98.636,100,1.49e-152,420.0,98.636,100,4.4699999999999995e-152,420.0
root_000788;128,orf19.1709,100.0,100,3.4400000000000002e-87,247.0,100.0,100,1.03e-86,247.0
root_000789;112,orf19.3186,95.536,100,7.2e-67,195.0,95.536,100,1.45e-75,218.0
root_000791;304,orf19.4567,99.671,100,0.0,632.0,99.671,100,0.0,632.0
root_000792;550,orf19.4571,99.091,100,0.0,1121.0,99.091,100,0.0,1121.0
root_000793;147,orf19.4570,99.32,100,1.42e-108,303.0,99.32,100,4.24e-108,303.0
root_000797;214,orf19.3102,97.196,100,3.4e-154,424.0,97.196,100,1.02e-153,424.0
root_000798;1039,orf19.3100,97.498,100,0.0,2009.0,97.498,100,0.0,2009.0
root_000801;126,orf19.4803,99.206,100,1.87e-87,248.0,99.206,100,5.58e-87,248.0
root_000803;467,orf19.4804,99.358,100,0.0,942.0,99.358,100,0.0,942.0
root_000841;775,orf19.936,98.065,100,0.0,1590.0,98.065,100,0.0,1590.0
root_000842;354,orf19.935,98.87,100,0.0,697.0,98.87,100,0.0,697.0
