gene_pair,in_ygob,in_synergy
"('YOR026W', 'orf19.2655')",True,True
"('YBL040C', 'orf19.2756')",True,True
"('YPL083C', 'orf19.7361')",True,True
"('YGL257C', 'orf19.4270')",False,True
"('YGR288W', 'orf19.7319')",True,False
"('YNL229C', 'orf19.155')",True,True
"('YGL005C', 'orf19.5397')",True,True
"('YHR148W', 'orf19.7488')",True,True
"('YPR004C', 'orf19.2150')",True,True
"('YOR329C', 'orf19.7295')",True,True
"('YIL134W', 'orf19.6532')",True,True
"('YDR466W', 'orf19.1196')",True,True
"('YCL054W', 'orf19.76')",True,True
"('YMR139W', 'orf19.792')",False,True
"('YLR306W', 'orf19.5411')",True,True
"('YDR378C', 'orf19.7509.2')",True,True
"('YOR136W', 'orf19.5791')",True,True
"('YCR067C', 'orf19.3409')",True,True
"('YGL106W', 'orf19.2416.1')",True,True
"('YAL039C', 'orf19.1957')",True,True
"('YLR328W', 'orf19.7499')",True,True
"('YGL065C', 'orf19.1221')",True,True
"('YPL112C', 'orf19.5575')",True,True
"('YGL197W', 'orf19.6760')",True,True
"('YPL178W', 'orf19.763')",True,True
"('YHR091C', 'orf19.3341')",False,True
"('YLL015W', 'orf19.6382')",True,False
"('YFR003C', 'orf19.7227')",True,True
"('YBR015C', 'orf19.1995')",False,True
"('YBR001C', 'orf19.7479')",False,True
"('YAL009W', 'orf19.6885')",True,True
"('YMR014W', 'orf19.3287')",True,True
"('YKL027W', 'orf19.2115')",True,True
"('YNL224C', 'orf19.2400')",True,True
"('YAL012W', 'orf19.6402')",True,True
"('YDR332W', 'orf19.2797')",False,True
"('YPL107W', 'orf19.4600')",True,True
"('YLR224W', 'orf19.5587')",True,True
"('YMR156C', 'orf19.1547')",True,True
"('YGL071W', 'orf19.2272')",False,True
"('YOR128C', 'orf19.5906')",True,True
"('YJR107W', 'orf19.4678')",True,True
"('YLR129W', 'orf19.5106')",True,True
"('YBR246W', 'orf19.2191')",True,True
"('YBR002C', 'orf19.4028')",True,True
"('YKR097W', 'orf19.7514')",True,True
"('YPL225W', 'orf19.7322')",True,True
"('YGR117C', 'orf19.6255')",True,True
"('YIL009C-A', 'orf19.5423')",True,True
"('YML110C', 'orf19.3577')",True,True
"('YIL108W', 'orf19.246')",True,True
