species1,gene1,species2,gene2,cluster_id
C. albicans,orf19.607,S. cerevisiae,gene-YJR035W,Cluster10002
S. cerevisiae,gene-YNR069C,C. albicans,orf19.4629,Cluster10003
C. glabrata,CAGL0F03465g,S. cerevisiae,gene-YMR275C,Cluster10004
C. glabrata,CAGL0F03465g,S. cerevisiae,gene-YML111W,Cluster10004
C. glabrata,CAGL0F03465g,K. lactis,gene:KLLA0_D01793g,Cluster10004
C. glabrata,CAGL0F03465g,C. albicans,orf19.5094,Cluster10004
S. cerevisiae,gene-YMR275C,K. lactis,gene:KLLA0_D01793g,Cluster10004
S. cerevisiae,gene-YMR275C,C. albicans,orf19.5094,Cluster10004
S. cerevisiae,gene-YML111W,K. lactis,gene:KLLA0_D01793g,Cluster10004
S. cerevisiae,gene-YML111W,C. albicans,orf19.5094,Cluster10004
K. lactis,gene:KLLA0_D01793g,C. albicans,orf19.5094,Cluster10004
K. lactis,gene:KLLA0_F06402g,S. cerevisiae,gene-YNR007C,Cluster10005
K. lactis,gene:KLLA0_F06402g,C. glabrata,CAGL0I05808g,Cluster10005
K. lactis,gene:KLLA0_F06402g,C. albicans,orf19.6020,Cluster10005
S. cerevisiae,gene-YNR007C,C. glabrata,CAGL0I05808g,Cluster10005
S. cerevisiae,gene-YNR007C,C. albicans,orf19.6020,Cluster10005
C. glabrata,CAGL0I05808g,C. albicans,orf19.6020,Cluster10005
K. lactis,gene:KLLA0_E06733g,C. glabrata,CAGL0M09559g,Cluster10006
K. lactis,gene:KLLA0_E06733g,S. cerevisiae,gene-YBL097W,Cluster10006
K. lactis,gene:KLLA0_E06733g,C. albicans,orf19.1251,Cluster10006
C. glabrata,CAGL0M09559g,S. cerevisiae,gene-YBL097W,Cluster10006
C. glabrata,CAGL0M09559g,C. albicans,orf19.1251,Cluster10006
S. cerevisiae,gene-YBL097W,C. albicans,orf19.1251,Cluster10006
C. albicans,orf19.5041,K. lactis,gene:KLLA0_F07205g,Cluster10007
C. albicans,orf19.5041,S. cerevisiae,gene-YDL089W,Cluster10007
C. albicans,orf19.5041,C. glabrata,CAGL0L07084g,Cluster10007
K. lactis,gene:KLLA0_F07205g,S. cerevisiae,gene-YDL089W,Cluster10007
K. lactis,gene:KLLA0_F07205g,C. glabrata,CAGL0L07084g,Cluster10007
S. cerevisiae,gene-YDL089W,C. glabrata,CAGL0L07084g,Cluster10007
C. albicans,orf19.3604,S. cerevisiae,gene-YNL215W,Cluster10009
C. albicans,orf19.3604,K. lactis,gene:KLLA0_D19250g,Cluster10009
S. cerevisiae,gene-YNL215W,K. lactis,gene:KLLA0_D19250g,Cluster10009
C. albicans,orf19.6843,K. lactis,gene:KLLA0_D04136g,Cluster10019
C. albicans,orf19.5213,K. lactis,gene:KLLA0_F13442g,Cluster1002
C. albicans,orf19.5213,S. cerevisiae,gene-YDR228C,Cluster1002
K. lactis,gene:KLLA0_F13442g,S. cerevisiae,gene-YDR228C,Cluster1002
K. lactis,gene:KLLA0_F13442g,C. albicans,orf19.684,Cluster1002
S. cerevisiae,gene-YDR228C,C. albicans,orf19.684,Cluster1002
K. lactis,gene:KLLA0_B10142g,S. cerevisiae,gene-YDR318W,Cluster10024
K. lactis,gene:KLLA0_B10142g,C. albicans,orf19.3494,Cluster10024
S. cerevisiae,gene-YDR318W,C. albicans,orf19.3494,Cluster10024
C. glabrata,CAGL0C02167g,S. cerevisiae,gene-YFR039C,Cluster10025
C. albicans,orf19.5387,K. lactis,gene:KLLA0_C18491g,Cluster10026
C. albicans,orf19.5387,S. cerevisiae,gene-YAL002W,Cluster10026
C. albicans,orf19.5387,C. glabrata,CAGL0A00781g,Cluster10026
K. lactis,gene:KLLA0_C18491g,S. cerevisiae,gene-YAL002W,Cluster10026
